a,b,c
65/64,33,2113/64
33/16,34,545/16
201/64,35,2249/64
17/4,36,145/4
345/64,37,2393/64
105/16,38,617/16
497/64,39,2545/64
9,40,41
657/64,41,2705/64
185/16,42,697/16
825/64,43,2873/64
57/4,44,185/4
1001/64,45,3049/64
273/16,46,785/16
1185/64,47,3233/64
20,48,52
1377/64,49,3425/64
369/16,50,881/16
1577/64,51,3625/64
105/4,52,233/4
1785/64,53,3833/64
473/16,54,985/16
2001/64,55,4049/64
33,56,65
2225/64,57,4273/64
585/16,58,1097/16
2457/64,59,4505/64
161/4,60,289/4
2697/64,61,4745/64
705/16,62,1217/16
2945/64,63,4993/64
48,64,80
3201/64,65,5249/64
833/16,66,1345/16
3465/64,67,5513/64
225/4,68,353/4
3737/64,69,5785/64
969/16,70,1481/16
4017/64,71,6065/64
65,72,97
4305/64,73,6353/64
1113/16,74,1625/16
4601/64,75,6649/64
297/4,76,425/4
4905/64,77,6953/64
1265/16,78,1777/16
5217/64,79,7265/64
84,80,116
5537/64,81,7585/64
1425/16,82,1937/16
5865/64,83,7913/64
377/4,84,505/4
6201/64,85,8249/64
1593/16,86,2105/16
6545/64,87,8593/64
105,88,137
6897/64,89,8945/64
1769/16,90,2281/16
7257/64,91,9305/64
465/4,92,593/4
7625/64,93,9673/64
1953/16,94,2465/16
8001/64,95,10049/64
128,96,160
8385/64,97,10433/64
2145/16,98,2657/16
8777/64,99,10825/64
561/4,100,689/4
