a,b,c
71133621831769/70368744177664,47,3308095854004313/70368744177664
575187995886993/281474976710656,48,845189807786073/17592186044416
435980262839875/140737488355328,49,6909904727184963/140737488355328
1174852076705347/281474976710656,50,3530675251348881/70368744177664
185482831120473/35184372088832,51,1803963947206745/35184372088832
899496121227531/140737488355328,52,7373420585572619/140737488355328
2120240857179181/281474976710656,53,3767022446467339/70368744177664
2447608493136139/281474976710656,54,3848864355456579/70368744177664
1390547575162969/140737488355328,55,7864472039508057/140737488355328
1560350414374289/140737488355328,56,8034274878719377/140737488355328
1733212764202029/140737488355328,57,8207137228547117/140737488355328
1909134624646189/140737488355328,58,8383059088991277/140737488355328
2088115995706769/140737488355328,59,8562040460051857/140737488355328
2270156877383769/140737488355328,60,8744081341728857/140737488355328
1227628634838595/70368744177664,61,4464590867011139/70368744177664
1321708586293515/70368744177664,62,4558670818466059/70368744177664
2834636586113291/140737488355328,63,2327140262614595/35184372088832
757228877563993/35184372088832,64,2375709993650265/35184372088832
3226253945015073/140737488355328,65,303130575292505/4398046511104
3426651890390595/140737488355328,66,2475144088683921/35184372088832
453763668297817/17592186044416,67,1263004226340953/17592186044416
1918313156495449/70368744177664,68,5155275388667993/70368744177664
115/4,69,299/4
2129419389028441/70368744177664,70,5366381621200985/70368744177664
559316784564313/17592186044416,71,1368557342607449/17592186044416
4693289285588547/140737488355328,72,2791803437483409/35184372088832
4915103805279009/140737488355328,73,355907133425753/4398046511104
1284994458896473/35184372088832,74,2903475574982745/35184372088832
5367911376509195/140737488355328,75,2960458960213571/35184372088832
2799452214024459/70368744177664,76,6036414446197003/70368744177664
2916478495102531/70368744177664,77,6153440727275075/70368744177664
3035034531488813/70368744177664,78,6271996763661357/70368744177664
394390040397913/8796093022208,79,799010319419481/8796093022208
1638367935093003/35184372088832,80,3256849051179275/35184372088832
1699940586248459/35184372088832,81,3318421702334731/35184372088832
440569528764505/8796093022208,82,845189807786073/8796093022208
3650761043043373/70368744177664,83,6887723275215917/70368744177664
3778495611278915/70368744177664,84,7015457843451459/70368744177664
3907759934822667/70368744177664,85,7144722166995211/70368744177664
2019277006837315/35184372088832,86,3637758122923587/35184372088832
2085438923917401/35184372088832,87,3703920040003673/35184372088832
4304731437303185/70368744177664,88,7541693669475729/70368744177664
4440114782079777/70368744177664,89,7677077014252321/70368744177664
1144256970541145/17592186044416,90,1953497528584281/17592186044416
4715470737557593/70368744177664,91,7952432969730137/70368744177664
69,92,115
4996945714268249/70368744177664,93,8233907946440793/70368744177664
1284994458896473/17592186044416,94,2094235016939609/17592186044416
5284539712211745/70368744177664,95,8521501944384289/70368744177664
5430631344145809/70368744177664,96,8667593576318353/70368744177664
2789126365694041/35184372088832,97,4407607481780313/35184372088832
2863701936969283/35184372088832,98,4482183053055555/35184372088832
5878084771797259/70368744177664,99,2278761750992451/17592186044416
6030295424964163/70368744177664,100,2316814414284177/17592186044416
