a,b,c
70986013863433/70368744177664,58,4082004431990281/70368744177664
35801641774601/17592186044416,59,1038556246306313/17592186044416
866646638819651/281474976710656,60,4227680077831761/70368744177664
582702583365919/140737488355328,61,8604739419619615/140737488355328
734550926065089/140737488355328,62,8756587762318785/140737488355328
888868347507335/140737488355328,63,8910905183761031/140737488355328
65353427980791/8796093022208,64,566730730246647/8796093022208
602455213310527/70368744177664,65,4613473631437375/70368744177664
1366635084292527/140737488355328,66,586791995034139/8796093022208
382707205176769/35184372088832,67,2388216414240193/35184372088832
848745817932351/70368744177664,68,4859764236059199/70368744177664
1866623529765403/140737488355328,69,2472165091504775/35184372088832
509556125602295/35184372088832,70,2515065334665719/35184372088832
2212294553796033/140737488355328,71,159911427969527/2199023255552
1194416841962981/70368744177664,72,5205435260089829/70368744177664
2567841892798967/140737488355328,73,1323734841131583/17592186044416
343664897551881/17592186044416,74,1346419502083593/17592186044416
2933265546774205/140737488355328,75,2738825595756975/35184372088832
3119680991876437/140737488355328,76,2785429457032533/35184372088832
1654282757860873/70368744177664,77,5665301175987721/70368744177664
3499919118310131/140737488355328,78,2880488988640957/35184372088832
3693741799641591/140737488355328,79,1464472329486911/17592186044416
3890033559716127/140737488355328,80,372252199874057/4398046511104
1022198599633435/35184372088832,81,3027707808696859/35184372088832
1072506079023607/35184372088832,82,3078015288087031/35184372088832
280857707024887/8796093022208,83,782235009290743/8796093022208
587486423430629/17592186044416,84,1590241027962341/17592186044416
1227132135308737/35184372088832,85,3232641344372161/35184372088832
1279908693441985/35184372088832,86,3285417902505409/35184372088832
666651260630501/17592186044416,87,1669405865162213/17592186044416
346828404691447/8796093022208,88,848205706957303/8796093022208
1441941985956343/35184372088832,89,3447451195019767/35184372088832
1497187622832667/35184372088832,90,3502696831896091/35184372088832
194131316174345/4398046511104,91,444819967307273/4398046511104
804765352821311/17592186044416,92,1807519957353023/17592186044416
3333256303152505/70368744177664,93,7344274721279353/70368744177664
3448685734391305/70368744177664,94,7459704152518153/70368744177664
3565349705001643/70368744177664,95,7576368123128491/70368744177664
1841624107491759/35184372088832,96,3847133316555183/35184372088832
950595316084233/17592186044416,97,1953349920615945/17592186044416
980687213265471/17592186044416,98,1983441817797183/17592186044416
4044350981158373/70368744177664,99,8055369399285221/70368744177664
4167187648626401/70368744177664,100,8178206066753249/70368744177664
