a,b,c,k,b^2/k
1.0111111111111128,46,46.01111111111111,45,47.022222222222226
2.0444444444444443,47,47.044444444444444,45,49.08888888888889
3.1000000000000014,48,48.1,45,51.2
4.177777777777777,49,49.17777777777778,45,53.355555555555554
5.277777777777779,50,50.27777777777778,45,55.55555555555556
6.399999999999999,51,51.4,45,57.8
7.544444444444444,52,52.544444444444444,45,60.08888888888889
8.711111111111112,53,53.71111111111111,45,62.422222222222224
9.899999999999999,54,54.9,45,64.8
11.111111111111114,55,56.111111111111114,45,67.22222222222223
12.344444444444441,56,57.34444444444444,45,69.68888888888888
13.600000000000001,57,58.6,45,72.2
14.87777777777778,58,59.87777777777778,45,74.75555555555556
16.177777777777777,59,61.17777777777778,45,77.35555555555555
17.5,60,62.5,45,80.0
18.84444444444444,61,63.84444444444444,45,82.68888888888888
20.21111111111111,62,65.21111111111111,45,85.42222222222222
21.6,63,66.6,45,88.2
23.011111111111113,64,68.01111111111112,45,91.02222222222223
24.444444444444443,65,69.44444444444444,45,93.88888888888889
25.9,66,70.9,45,96.8
27.37777777777778,67,72.37777777777778,45,99.75555555555556
28.87777777777778,68,73.87777777777778,45,102.75555555555556
30.4,69,75.4,45,105.8
31.944444444444443,70,76.94444444444444,45,108.88888888888889
33.51111111111111,71,78.51111111111112,45,112.02222222222223
35.1,72,80.1,45,115.2
36.71111111111111,73,81.71111111111111,45,118.42222222222222
38.34444444444444,74,83.34444444444443,45,121.68888888888888
40.0,75,85.0,45,125.0
41.67777777777778,76,86.67777777777778,45,128.35555555555555
43.37777777777778,77,88.37777777777778,45,131.75555555555556
45.099999999999994,78,90.1,45,135.2
46.84444444444445,79,91.84444444444445,45,138.6888888888889
48.611111111111114,80,93.61111111111111,45,142.22222222222223
50.400000000000006,81,95.4,45,145.8
52.21111111111111,82,97.21111111111111,45,149.42222222222222
54.04444444444445,83,99.04444444444445,45,153.0888888888889
55.900000000000006,84,100.9,45,156.8
57.77777777777777,85,102.77777777777777,45,160.55555555555554
59.67777777777778,86,104.67777777777778,45,164.35555555555555
61.599999999999994,87,106.6,45,168.2
63.54444444444445,88,108.54444444444445,45,172.0888888888889
65.5111111111111,89,110.5111111111111,45,176.0222222222222
67.5,90,112.5,45,180.0
69.5111111111111,91,114.5111111111111,45,184.0222222222222
71.54444444444445,92,116.54444444444445,45,188.0888888888889
73.6,93,118.6,45,192.2
75.67777777777778,94,120.67777777777778,45,196.35555555555555
77.77777777777777,95,122.77777777777777,45,200.55555555555554
79.9,96,124.9,45,204.8
82.04444444444445,97,127.04444444444445,45,209.0888888888889
84.21111111111111,98,129.2111111111111,45,213.42222222222222
86.4,99,131.4,45,217.8
88.61111111111111,100,133.61111111111111,45,222.22222222222223
