a,b,c
1177077175335471/1125899906842624,12,847623509412771/70368744177664
1228254443828317/562949953421312,13,7420703931462749/562949953421312
1919147568481745/562949953421312,14,8111597056116177/562949953421312
665304490407005/140737488355328,15,2213416862315613/140737488355328
1727232811633571/281474976710656,16,4823457555450787/281474976710656
2149445276699555/281474976710656,17,5245670020516771/281474976710656
1298623188005981/140737488355328,18,2846735559914589/140737488355328
3070636109570793/281474976710656,19,6166860853388009/281474976710656
3569614477376047/281474976710656,20,6665839221193263/281474976710656
1023545369856931/70368744177664,21,1797601555811235/70368744177664
33/2,22,55/2
1305020346567587/70368744177664,23,2079076532521891/70368744177664
5821414291061295/281474976710656,24,8917639034878511/281474976710656
6448335830098665/281474976710656,25,1193070071739485/35184372088832
3550423001691229/140737488355328,26,5098535373599837/140737488355328
3889472405456337/140737488355328,27,5437584777364945/140737488355328
4241316126344657/140737488355328,28,5789428498253265/140737488355328
4605954164356189/140737488355328,29,6154066536264797/140737488355328
1245846629872733/35184372088832,30,1632874722849885/35184372088832
5373613191748887/140737488355328,31,6921725563657495/140737488355328
2888317090565027/70368744177664,32,3662373276519331/70368744177664
44,33,55
3310529555631011/70368744177664,34,4084585741585315/70368744177664
7062463052012823/140737488355328,35,8610575423921431/140737488355328
1879165327471709/35184372088832,36,2266193420448861/35184372088832
7983653884884061/140737488355328,37,2382941564198167/35184372088832
4231720388502249/70368744177664,38,5005776574456553/70368744177664
4478010993124073/70368744177664,39,5252067179078377/70368744177664
4730698756307503/70368744177664,40,5504754942261807/70368744177664
2494891839026269/35184372088832,41,2881919932003421/35184372088832
1313816439589795/17592186044416,42,1507330486078371/17592186044416
5527144997227427/70368744177664,43,6301201183181731/70368744177664
165/2,44,187/2
6090094950648739/70368744177664,45,6864151136603043/70368744177664
1595291416300451/17592186044416,46,1788805462789027/17592186044416
3339316769158237/35184372088832,47,3726344862135389/35184372088832
6982498569992751/70368744177664,48,7756554755947055/70368744177664
7292760760230633/70368744177664,49,8066816946184937/70368744177664
7609420109030121/70368744177664,50,8383476294984425/70368744177664
7932476616391215/70368744177664,51,8706532802345519/70368744177664
4130965141156957/35184372088832,52,4517993234134109/35184372088832
2149445276699555/17592186044416,53,2342959323188131/17592186044416
4470014544922065/35184372088832,54,4857042637899217/35184372088832
132,55,143
4821858265810385/35184372088832,56,5208886358787537/35184372088832
2501288997587875/17592186044416,57,2694803044076451/17592186044416
5186496303821917/35184372088832,58,5573524396799069/35184372088832
5373613191748887/35184372088832,59,5760641284726039/35184372088832
1390982164739165/8796093022208,60,1487739187983453/8796093022208
1439360676361309/8796093022208,61,1536117699605597/8796093022208
5954155331214615/35184372088832,62,6341183424191767/35184372088832
6154066536264797/35184372088832,63,6541094629241949/35184372088832
3178588160297891/17592186044416,64,3372102206786467/17592186044416
6563484684207569/35184372088832,65,6950512777184721/35184372088832
385/2,66,407/2
6985697149273553/35184372088832,67,7372725242250705/35184372088832
3600800625363875/17592186044416,68,3794314671852451/17592186044416
7420703931462749/35184372088832,69,7807732024439901/35184372088832
7643005191478551/35184372088832,70,8030033284455703/35184372088832
1967126257693789/8796093022208,71,2063883280938077/8796093022208
2024300862338141/8796093022208,72,2121057885582429/8796093022208
8329100447210775/35184372088832,73,8716128540187927/35184372088832
8564196024349789/35184372088832,74,8951224117326941/35184372088832
4401245090384803/17592186044416,75,4594759136873379/17592186044416
4521991458235113/17592186044416,76,4715505504723689/17592186044416
264,77,275
4768282062856937/17592186044416,78,4961796109345513/17592186044416
4893826299628451/17592186044416,79,5087340346117027/17592186044416
5020969826040367/17592186044416,80,5214483872528943/17592186044416
1287428160523171/4398046511104,81,1335806672145315/4398046511104
2640027373892701/8796093022208,82,2736784397136989/8796093022208
2705998071559261/8796093022208,83,2802755094803549/8796093022208
1386384207023011/4398046511104,84,1434762718645155/4398046511104
5680676802705967/17592186044416,85,5874190849194543/17592186044416
5817416066960291/17592186044416,86,6010930113448867/17592186044416
5955754620855017/17592186044416,87,6149268667343593/17592186044416
693/2,88,715/2
6237229597565673/17592186044416,89,6430743644054249/17592186044416
6380366020381603/17592186044416,90,6573880066870179/17592186044416
6525101732837935/17592186044416,91,6718615779326511/17592186044416
1667859183733667/4398046511104,92,1716237695355811/4398046511104
3409685513335901/8796093022208,93,3506442536580189/8796093022208
3484452304024669/8796093022208,94,3581209327268957/8796093022208
1780009369766819/4398046511104,95,1828387881388963/4398046511104
7272769639725615/17592186044416,96,7466283686214191/17592186044416
7427101090024355/17592186044416,97,7620615136512931/17592186044416
7583031829963497/17592186044416,98,7776545876452073/17592186044416
440,99,451
7899691178762985/17592186044416,100,8093205225251561/17592186044416
