a,b,c
577023702256845/562949953421312,21,2959005692670771/140737488355328
1182194902184755/562949953421312,22,3110298492652749/140737488355328
1815513599783731/562949953421312,23,3268628167052493/140737488355328
2476979795053773/562949953421312,24,3433994715870003/140737488355328
45/8,25,205/8
971088669651763/140737488355328,26,3785838436758323/140737488355328
1157565841722573/140737488355328,27,3972315608829133/140737488355328
1351079888211149/140737488355328,28,4165829655317709/140737488355328
1551630809117491/140737488355328,29,4366380576224051/140737488355328
25/2,30,65/2
1973843274183475/140737488355328,31,4788593041290035/140737488355328
2195504818343117/140737488355328,32,5010254585449677/140737488355328
2424203236920525/140737488355328,33,5238953004027085/140737488355328
2659938529915699/140737488355328,34,5474688297022259/140737488355328
165/8,35,325/8
3152519739159347/140737488355328,36,5967269506265907/140737488355328
3409365655407821/140737488355328,37,6224115422514381/140737488355328
3673248446074061/140737488355328,38,6487998213180621/140737488355328
3944168111158067/140737488355328,39,6758917878264627/140737488355328
30,40,50
4507118064579379/140737488355328,41,7321867831685939/140737488355328
4799148352916685/140737488355328,42,7613898120023245/140737488355328
5098215515671757/140737488355328,43,7912965282778317/140737488355328
5404319552844595/140737488355328,44,8219069319951155/140737488355328
325/8,45,485/8
6037638250443571/140737488355328,46,8852388017550131/140737488355328
6364852910869709/140737488355328,47,2294900669494067/35184372088832
6699104445713613/140737488355328,48,2378463553205043/35184372088832
7040392854975283/140737488355328,49,2463785655520461/35184372088832
105/2,50,145/2
1936020074187981/35184372088832,51,2639707515964621/35184372088832
2026619832316723/35184372088832,52,2730307274093363/35184372088832
2118978809049907/35184372088832,53,2822666250826547/35184372088832
2213097004387533/35184372088832,54,2916784446164173/35184372088832
525/8,55,685/8
2406611050876109/35184372088832,56,3110298492652749/35184372088832
2506006902027059/35184372088832,57,3209694343803699/35184372088832
2607161971782451/35184372088832,58,3310849413559091/35184372088832
2710076260142285/35184372088832,59,3413763701918925/35184372088832
80,60,100
2921182492675277/35184372088832,61,3624869934451917/35184372088832
3029374436848435/35184372088832,62,3733061878625075/35184372088832
3139325599626035/35184372088832,63,3843013041402675/35184372088832
3251035981008077/35184372088832,64,3954723422784717/35184372088832
765/8,65,925/8
3479734399585485/35184372088832,66,4183421841362125/35184372088832
3596722436780851/35184372088832,67,4300409878557491/35184372088832
3715469692580659/35184372088832,68,4419157134357299/35184372088832
3835976166984909/35184372088832,69,4539663608761549/35184372088832
225/2,70,265/2
4082266771606733/35184372088832,71,4785954213383373/35184372088832
4208050901824307/35184372088832,72,4911738343600947/35184372088832
4335594250646323/35184372088832,73,5039281692422963/35184372088832
4464896818072781/35184372088832,74,5168584259849421/35184372088832
1045/8,75,1205/8
4728779608739021/35184372088832,76,5432467050515661/35184372088832
4863359831978803/35184372088832,77,5567047273755443/35184372088832
4999699273823027/35184372088832,78,5703386715599667/35184372088832
5137797934271693/35184372088832,79,5841485376048333/35184372088832
150,80,170
5419272910982349/35184372088832,81,6122960352758989/35184372088832
5562649227244339/35184372088832,82,6266336669020979/35184372088832
5707784762110771/35184372088832,83,6411472203887411/35184372088832
5854679515581645/35184372088832,84,6558366957358285/35184372088832
1365/8,85,1525/8
6153746678336717/35184372088832,86,6857434120113357/35184372088832
6305919087620915/35184372088832,87,7009606529397555/35184372088832
6459850715509555/35184372088832,88,7163538157286195/35184372088832
6615541562002637/35184372088832,89,7319229003779277/35184372088832
385/2,90,425/2
6932200910802125/35184372088832,91,7635888352578765/35184372088832
7093169413108531/35184372088832,92,7796856854885171/35184372088832
7255897134019379/35184372088832,93,7959584575796019/35184372088832
7420384073534669/35184372088832,94,8124071515311309/35184372088832
1725/8,95,1885/8
7754635608378573/35184372088832,96,8458323050155213/35184372088832
7924400203707187/35184372088832,97,8628087645483827/35184372088832
8095924017640243/35184372088832,98,8799611459416883/35184372088832
8269207050177741/35184372088832,99,8972894491954381/35184372088832
240,100,260
