a,b,c
71671869069843/70368744177664,28,1971627961866771/70368744177664
1167599903392351/562949953421312,29,511476520180243/17592186044416
891337426250411/281474976710656,30,8491161797438123/281474976710656
604649949971039/140737488355328,31,4404562135564895/140737488355328
192210921596397/35184372088832,32,1142188967994861/35184372088832
1876499844737707/281474976710656,33,2369081053981355/70368744177664
2225737315841669/281474976710656,34,2456390421757345/70368744177664
2585399786083063/281474976710656,35,1273153019658847/35184372088832
21/2,36,75/2
3335999723978145/281474976710656,37,341744502973933/8796093022208
1863468595815917/140737488355328,38,5663380781409773/140737488355328
4128299658422955/281474976710656,39,2932031007402667/70368744177664
4540087124351507/281474976710656,40,3034977873884805/70368744177664
4962299589417491/281474976710656,41,3140530990151301/70368744177664
2697468526810453/140737488355328,42,6497380712404309/140737488355328
2918999758480877/140737488355328,43,6718911944074733/140737488355328
3145743489720017/140737488355328,44,6945655675313873/140737488355328
24,45,51
3614868450904443/140737488355328,46,7414780636498299/140737488355328
1928624840424865/70368744177664,47,3828580933221793/70368744177664
4104843410363733/140737488355328,48,7904755595957589/140737488355328
1089412409861613/35184372088832,49,2039390456260077/35184372088832
4615668368097887/140737488355328,50,8415580553691743/140737488355328
4878899596318037/140737488355328,51,8678811781911893/140737488355328
643417915513363/17592186044416,52,1118406938712595/17592186044416
2710499775732243/70368744177664,53,4610455868529171/70368744177664
81/2,54,135/2
2991974752442899/70368744177664,55,4891930845239827/70368744177664
784155403868691/17592186044416,56,1259144427067923/17592186044416
6567749456581973/140737488355328,57,2591915410543957/35184372088832
6867468181783135/140737488355328,58,333355636480531/4398046511104
1793099851638253/35184372088832,59,2743077898036717/35184372088832
3741271565445803/70368744177664,60,5641227658242731/70368744177664
3898949677399457/70368744177664,61,5798905770196385/70368744177664
2029617019568735/35184372088832,62,2979595065967199/35184372088832
60,63,87
548452688995821/8796093022208,64,785947200595437/8796093022208
4555724623057655/70368744177664,65,6455680715854583/70368744177664
4726433983933099/70368744177664,66,6626390076730027/70368744177664
4899749594592901/70368744177664,67,6799705687389829/70368744177664
5075671455037061/70368744177664,68,6975627547833989/70368744177664
5254199565265579/70368744177664,69,7154155658062507/70368744177664
5435333925278455/70368744177664,70,7335290018075383/70368744177664
702384316884461/8796093022208,71,939878828484077/8796093022208
165/2,72,219/2
2997187252011615/35184372088832,73,3947165298410079/35184372088832
6185933863173537/70368744177664,74,8085889955970465/70368744177664
6380099472108203/70368744177664,75,8280055564905131/70368744177664
3288435665413613/35184372088832,76,4238413711812077/35184372088832
6776249439330607/70368744177664,77,8676205532127535/70368744177664
6978233797618347/70368744177664,78,8878189890415275/70368744177664
1795706101422611/17592186044416,79,2270695124621843/17592186044416
7390021263546899/70368744177664,80,2322494339085957/17592186044416
108,81,135
7812233728612883/70368744177664,82,2428047455352453/17592186044416
2006812333955603/17592186044416,83,2481801357154835/17592186044416
4122435596408149/35184372088832,84,5072413642806613/35184372088832
529068706224659/4398046511104,85,647815962024467/4398046511104
4343966828078573/35184372088832,86,5293944874477037/35184372088832
4456687131252053/35184372088832,87,5406665177650517/35184372088832
4570710559317713/35184372088832,88,5520688605716177/35184372088832
4686037112275551/35184372088832,89,5636015158674015/35184372088832
273/2,90,327/2
1230149898216941/8796093022208,91,1467644409816557/8796093022208
5039835520502139/35184372088832,92,5989813566900603/35184372088832
5160374573028693/35184372088832,93,6110352619427157/35184372088832
2641108375223713/17592186044416,94,3116097398422945/17592186044416
2702681026379169/17592186044416,95,3177670049578401/17592186044416
5529810479961429/35184372088832,96,6479788526359893/35184372088832
5655562032056699/35184372088832,97,6605540078455163/35184372088832
1445654177261037/8796093022208,98,1683148688860653/8796093022208
168,99,195
6040635437695583/35184372088832,100,6990613484094047/35184372088832
