a,b,c
283860357869221/281474976710656,60,4222720995949481/70368744177664
143122869513893/70368744177664,61,4294878775996069/70368744177664
216473340139763/70368744177664,62,4368229246621939/70368744177664
582033002689831/140737488355328,63,8885544815654183/140737488355328
733504706258701/140737488355328,64,2259254129805763/35184372088832
110920223873267/17592186044416,65,1148859200493811/17592186044416
130450532109017/17592186044416,66,1168389508729561/17592186044416
300558025979175/35184372088832,67,2376435979220263/35184372088832
681622666059915/70368744177664,68,4833378572542091/70368744177664
381660985370381/35184372088832,69,2457538938611469/35184372088832
1692427932001783/140737488355328,70,1249492468120767/17592186044416
1860597303680607/140737488355328,71,317628409895155/4398046511104
507788014129499/35184372088832,72,2583665967370587/35184372088832
1102046095256975/70368744177664,73,5253802001739151/70368744177664
2379417705668469/140737488355328,74,2670732379658205/35184372088832
2557128601981553/140737488355328,75,678790025934119/8796093022208
2737224879453201/140737488355328,76,690046043276097/8796093022208
2919706538083415/140737488355328,77,1402902293880971/17592186044416
3104573577872193/140737488355328,78,178251334231821/2199023255552
205739124926221/8796093022208,79,724708613236493/8796093022208
870365950231361/35184372088832,80,2946243903472449/35184372088832
3673486984189917/140737488355328,81,2994249699288567/35184372088832
3867895548612955/140737488355328,82,3042851840394327/35184372088832
2032344747097279/70368744177664,83,6184100653579455/70368744177664
4263868820934725/140737488355328,84,3141845158474769/35184372088832
2232716764416729/70368744177664,85,6384472670898905/70368744177664
4669383617890755/140737488355328,86,3243223857713777/35184372088832
2437859544053309/70368744177664,87,6589615450535485/70368744177664
1271109984870261/35184372088832,88,3346987938111349/35184372088832
1323886543003509/35184372088832,89,3399764496244597/35184372088832
2754518892852797/70368744177664,90,6906274799334973/70368744177664
1431228695138929/35184372088832,91,3507106648380017/35184372088832
2971588578282201/70368744177664,92,7123344484764377/70368744177664
3081912456865827/70368744177664,93,7233668363348003/70368744177664
3193429026028735/70368744177664,94,7345184932510911/70368744177664
1653069142885463/35184372088832,95,3728947096126551/35184372088832
3420040236092399/70368744177664,96,7571796142574575/70368744177664
1767567438496577/35184372088832,97,3843445391737665/35184372088832
456427776059149/8796093022208,98,975397264369421/8796093022208
3768902230532513/70368744177664,99,7920658137014689/70368744177664
3887574943171115/70368744177664,100,8039330849653291/70368744177664
