a,b,c
142301238225943/140737488355328,46,6475488214215703/140737488355328
287729976193115/140737488355328,47,6620916952182875/140737488355328
436286213901517/140737488355328,48,6769473189891277/140737488355328
146992487837787/35184372088832,49,1730289231835227/35184372088832
742781188542009/140737488355328,50,7075968164531769/140737488355328
900719925474099/140737488355328,51,7233906901463859/140737488355328
1061786162147419/140737488355328,52,7394973138137179/140737488355328
2451959797123937/281474976710656,53,472447929659483/8796093022208
1393301134717747/140737488355328,54,7726488110707507/140737488355328
390937467653689/35184372088832,55,1974234211651129/35184372088832
1737326106252993/140737488355328,56,8070513082242753/140737488355328
1914029841632461/140737488355328,57,8247216817622221/140737488355328
1046930538376579/70368744177664,58,4213524026371459/70368744177664
569204952903771/35184372088832,59,2152501696901211/35184372088832
35/2,60,125/2
2652119780562625/140737488355328,61,8985306756552385/140737488355328
177778813415515/8796093022208,62,573602999414875/8796093022208
3039929748475085/140737488355328,63,2343279181116211/35184372088832
3238525982043159/140737488355328,64,1196464119754115/17592186044416
1720124857676231/70368744177664,65,4886718345671111/70368744177664
3645100948402995/140737488355328,66,2494571981098189/35184372088832
1926539840597379/70368744177664,67,5093133328592259/70368744177664
2032092956863875/70368744177664,68,5198686444858755/70368744177664
4278419646001971/140737488355328,69,2652901655497933/35184372088832
2247890439008711/70368744177664,70,5414483927003591/70368744177664
4716269609774103/140737488355328,71,1381182073220483/17592186044416
4939885841272013/140737488355328,72,2818268204315443/35184372088832
322914348281947/8796093022208,73,718738534281307/8796093022208
5396500803491521/140737488355328,74,183276371554395/2199023255552
40,75,85
1466406441168987/35184372088832,76,3049703185166427/35184372088832
3052439747440003/70368744177664,77,6219033235434883/70368744177664
1586815181206323/35184372088832,78,3170111925203763/35184372088832
3296384727255905/70368744177664,79,6462978215250785/70368744177664
1710351420984889/35184372088832,80,3293648164982329/35184372088832
1773292353277133/35184372088832,81,3356589097274573/35184372088832
459253790126171/8796093022208,82,855077976125531/8796093022208
1901519842667543/35184372088832,83,3484816586664983/35184372088832
1966806399765709/35184372088832,84,3550103143763149/35184372088832
1016437415899591/17592186044416,85,1808085787898311/17592186044416
2099725138767963/35184372088832,86,3683021882765403/35184372088832
2167357320672051/35184372088832,87,3750654064669491/35184372088832
2235771377511447/35184372088832,88,3819068121508887/35184372088832
4609934618572299/70368744177664,89,7776528106567179/70368744177664
135/2,90,225/2
4891409595282955/70368744177664,91,8058003083277835/70368744177664
2517246354222103/35184372088832,92,4100543098219543/35184372088832
2589569785738035/35184372088832,93,4172866529735475/35184372088832
2662675092189275/35184372088832,94,4245971836186715/35184372088832
1368281136787911/17592186044416,95,2159929508786631/17592186044416
2811231329897677/35184372088832,96,4394528073895117/35184372088832
2886682261154839/35184372088832,97,4469979005152279/35184372088832
740728766836827/8796093022208,98,1136552952836187/8796093022208
3039929748475085/35184372088832,99,4623226492472525/35184372088832
3117726304538169/35184372088832,100,4701023048535609/35184372088832
