a,b,c
286887957032015/281474976710656,27,7605237351509071/281474976710656
584601874706747/281474976710656,28,7902951269183803/281474976710656
893141753024197/281474976710656,29,8211491147501253/281474976710656
303126897996091/70368744177664,30,2132714246615355/70368744177664
1542699391587249/281474976710656,31,8861048786064305/281474976710656
470929287958213/70368744177664,32,2300516636577477/70368744177664
558890218180293/70368744177664,33,2388477566799557/70368744177664
2598230554252209/281474976710656,34,619786246795579/17592186044416
742931549106491/70368744177664,35,2572518897725755/70368744177664
3356047799242437/281474976710656,36,2668599298429873/70368744177664
3751195362701627/281474976710656,37,2767386189294671/70368744177664
4157168886803535/281474976710656,38,717219892580037/17592186044416
65/4,39,169/4
5001593816935503/281474976710656,40,769996450713285/17592186044416
1360011305741391/70368744177664,41,3189598654360655/70368744177664
1472330647409585/70368744177664,42,3301917996028849/70368744177664
1587356479238459/70368744177664,43,3416943827857723/70368744177664
3410177602456025/140737488355328,44,7069352299694553/140737488355328
1825527613378245/70368744177664,45,3655114961997509/70368744177664
1948672915689157/70368744177664,46,3778260264308421/70368744177664
4149049416321497/140737488355328,47,7808224113560025/140737488355328
2203082990793019/70368744177664,48,4032670339412283/70368744177664
2334347763585969/70368744177664,49,4163935112205233/70368744177664
2468319026539599/70368744177664,50,4297906375158863/70368744177664
5209993559307815/140737488355328,51,8869168256546343/140737488355328
39,52,65
5772943512729127/140737488355328,53,1179014776245957/17592186044416
3031268979960911/70368744177664,54,4860856328580175/70368744177664
3178772693717937/70368744177664,55,5008360042337201/70368744177664
3328982897635643/70368744177664,56,5158570246254907/70368744177664
6963799183428057/140737488355328,57,1327871735083323/17592186044416
3637522775953093/70368744177664,58,5467110124572357/70368744177664
3795852450352837/70368744177664,59,5625439798972101/70368744177664
989222153728315/17592186044416,60,1446618990883131/17592186044416
4120631269634363/70368744177664,61,5950218618253627/70368744177664
4287080414516145/70368744177664,62,6116667763135409/70368744177664
4456236049558607/70368744177664,63,6285823398177871/70368744177664
1157024543690437/17592186044416,64,1614421380845253/17592186044416
273/4,65,377/4
1244985473912517/17592186044416,66,1702382311067333/17592186044416
5159923491335247/70368744177664,67,6989510839954511/70368744177664
5342611577181105/70368744177664,68,7172198925800369/70368744177664
5528006153187643/70368744177664,69,7357593501806907/70368744177664
1429026804838715/17592186044416,70,1886423641993531/17592186044416
5906914775682757/70368744177664,71,7736502124302021/70368744177664
6100428822171333/70368744177664,72,7930016170790597/70368744177664
1574162339705147/17592186044416,73,2031559176859963/17592186044416
6495576385630523/70368744177664,74,8325163734249787/70368744177664
6697209902601137/70368744177664,75,8526797251220401/70368744177664
6901549909732431/70368744177664,76,8731137258351695/70368744177664
1777149101756101/17592186044416,77,2234545938910917/17592186044416
104,78,130
1882702218022597/17592186044416,79,2340099055177413/17592186044416
7745974839864399/70368744177664,80,598472636780229/4398046511104
7963847297799089/70368744177664,81,612089665401147/4398046511104
2046106561473615/17592186044416,82,2503503398628431/17592186044416
2101927921037627/17592186044416,83,2559324758192443/17592186044416
2158425903141809/17592186044416,84,2615822740296625/17592186044416
2215600507786161/17592186044416,85,2672997344940977/17592186044416
2273451734970683/17592186044416,86,2730848572125499/17592186044416
2331979584695375/17592186044416,87,2789376421850191/17592186044416
4782368113920473/35184372088832,88,5697161788230105/35184372088832
4902130303530535/35184372088832,89,5816923977840167/35184372088832
2511622869110469/17592186044416,90,2969019706265285/17592186044416
585/4,91,689/4
2634768171421381/17592186044416,92,3092165008576197/17592186044416
5394711512774183/35184372088832,93,6309505187083815/35184372088832
5521239927785945/35184372088832,94,6436033602095577/35184372088832
2824560793939023/17592186044416,95,3281957631093839/17592186044416
2889178246525243/17592186044416,96,3346575083680059/17592186044416
2954472321651633/17592186044416,97,3411869158806449/17592186044416
3020443019318193/17592186044416,98,3477839856473009/17592186044416
3087090339524923/17592186044416,99,3544487176679739/17592186044416
3154414282271823/17592186044416,100,3611811119426639/17592186044416
