a,b,c
8865903284289/8796093022208,64,563019763683393/8796093022208
285942833483841/140737488355328,65,143006321872961/2199023255552
216132571402825/70368744177664,66,4649363454595657/70368744177664
145205345128513/35184372088832,67,2361820786724929/35184372088832
365805773304523/70368744177664,68,4799036656497355/70368744177664
884635641090633/140737488355328,69,1218887175934537/17592186044416
259973415989703/35184372088832,70,2476588857586119/35184372088832
74836600950849/8796093022208,71,628990461349953/8796093022208
1357111494854949/140737488355328,72,2555893315310153/35184372088832
1519071302882905/140737488355328,73,1298191633658571/17592186044416
1683265039297455/140737488355328,74,659357925355195/8796093022208
1849692704098597/140737488355328,75,2679038617621065/35184372088832
2018354297286331/140737488355328,76,2721204015917999/35184372088832
1094624909430329/70368744177664,77,5527855792623161/70368744177664
2362379268821577/140737488355328,78,1403605129400905/17592186044416
2537742647169089/140737488355328,79,178190693961793/2199023255552
2715339953903193/140737488355328,80,1447725215036107/17592186044416
1447585594511945/70368744177664,81,5880816477704777/70368744177664
769309088132795/35184372088832,82,2985924529729211/35184372088832
1630767722212531/70368744177664,83,6063998605405363/70368744177664
49/2,84,175/2
3636835413372603/140737488355328,85,3125824294939567/35184372088832
1913918145213131/70368744177664,86,6347149028405963/70368744177664
2010535547933257/70368744177664,87,6443766431126089/70368744177664
4216539829693359/140737488355328,88,817687599754939/8796093022208
1103560622976699/35184372088832,89,3320176064573115/35184372088832
2307089541253413/70368744177664,90,6740320424446245/70368744177664
602043700186681/17592186044416,91,1710351420984889/17592186044416
2510377024433331/70368744177664,92,6943607907626163/70368744177664
1306848106156617/35184372088832,93,3523463547753033/35184372088832
1359066182193217/35184372088832,94,3575681623789633/35184372088832
1411842740326465/35184372088832,95,3628458181922881/35184372088832
1465177780556361/35184372088832,96,3681793222152777/35184372088832
3038142605765811/70368744177664,97,7471373488958643/70368744177664
786761653653049/17592186044416,98,1895069374451257/17592186044416
3257067587651877/70368744177664,99,7690298470844709/70368744177664
1684102762442427/35184372088832,100,3900718204038843/35184372088832
