a,b,c
284347170350561/281474976710656,50,439894407161647/8796093022208
574438727980931/281474976710656,51,3591678146700769/70368744177664
435137336445555/140737488355328,52,7331274265856627/140737488355328
585927502540549/140737488355328,53,7482064431951621/140737488355328
92448732784431/17592186044416,54,954465848960815/17592186044416
224031103912563/35184372088832,55,1948065336265331/35184372088832
15/2,56,113/2
1217810103319573/140737488355328,57,8113947032730645/140737488355328
691480618807045/70368744177664,58,4139549083512581/70368744177664
1550984565548513/140737488355328,59,8447121494959585/140737488355328
215235010890355/17592186044416,60,1077252127066739/17592186044416
1895647802337071/140737488355328,61,8791784731748143/140737488355328
2072287711191207/140737488355328,62,8968424640602279/140737488355328
16,63,65
2434184109819193/140737488355328,64,1166290129903783/17592186044416
654860149898261/35184372088832,65,2378894382251029/35184372088832
1403784641503399/70368744177664,66,4851853106208935/70368744177664
1499285080030229/70368744177664,67,4947353544735765/70368744177664
1596221615377011/70368744177664,68,5044290080082547/70368744177664
3389188495087491/140737488355328,69,2571331356124641/35184372088832
51/2,70,149/2
1895647802337071/70368744177664,71,5343716267042607/70368744177664
3996657449927325/140737488355328,72,2723198594834599/35184372088832
1051222872205103/35184372088832,73,2775257104557871/35184372088832
1103999430338351/35184372088832,74,2828033662691119/35184372088832
4629976147526301/140737488355328,75,2881528269234343/35184372088832
2423413383669551/70368744177664,76,5871481848375087/70368744177664
36,77,85
5289144587884419/140737488355328,78,3046320379323873/35184372088832
2757305894308467/70368744177664,79,6205374359014003/70368744177664
2871475591494677/70368744177664,80,6319544056200213/70368744177664
2987081385500839/70368744177664,81,6435149850206375/70368744177664
1552061638163477/35184372088832,82,3276095870516245/35184372088832
3222601263973021/70368744177664,83,6670669728678557/70368744177664
95/2,84,193/2
865966382431253/17592186044416,85,1727983498607637/17592186044416
448331475978867/8796093022208,86,879340034067059/8796093022208
927718545689203/17592186044416,87,1789735661865587/17592186044416
239783290906415/4398046511104,88,455287569950511/4398046511104
3963627223068421/70368744177664,89,7411695687773957/70368744177664
2046078944227077/35184372088832,90,3770113176579845/35184372088832
60,91,109
2176763754842739/35184372088832,92,3900797987195507/35184372088832
1121591616382767/17592186044416,93,1983608732559151/17592186044416
4620641518196611/70368744177664,94,8068709982902147/70368744177664
4756352667682105/70368744177664,95,8204421132387641/70368744177664
4893499913987553/70368744177664,96,8341568378693089/70368744177664
629010407139119/8796093022208,97,1060018965227311/8796093022208
147/2,98,245/2
664194779227951/8796093022208,99,1095203337316143/8796093022208
5456449867408865/70368744177664,100,8904518332114401/70368744177664
