a,b,c
285278692612151/281474976710656,38,1337481603863303/35184372088832
578164817027293/281474976710656,39,2748184738830391/70368744177664
439329186622713/140737488355328,40,5646616255769849/140737488355328
593379680633275/140737488355328,41,5800666749780411/140737488355328
187808472636333/35184372088832,42,1489630239923117/35184372088832
1825783632717769/281474976710656,43,1530044721376505/35184372088832
269588364518483/35184372088832,44,1571410131805267/35184372088832
1247618815690475/140737488355328,45,6454905884837611/140737488355328
2841375778417027/281474976710656,46,3313987479177825/70368744177664
3195121357256095/281474976710656,47,425302984235949/8796093022208
1778237183949077/140737488355328,48,6985524253096213/140737488355328
1962717405171601/140737488355328,49,7170004474318737/140737488355328
2151001342295621/140737488355328,50,7358288411442757/140737488355328
146443062207571/8796093022208,51,471898504029267/8796093022208
2538980364248147/140737488355328,52,7746267433395283/140737488355328
2738675449076653/140737488355328,53,7945962518223789/140737488355328
1471087124903327/70368744177664,54,4074730659476895/70368744177664
3149476766438151/140737488355328,55,8356763835585287/140737488355328
3360582998971143/140737488355328,56,8567870068118279/140737488355328
1787746473702815/70368744177664,57,4391390008276383/70368744177664
3794206611741613/140737488355328,58,9001493680888749/140737488355328
4016723991979091/140737488355328,59,2306002765281557/35184372088832
265190318007379/8796093022208,60,590645759829075/8796093022208
4473169900158533/140737488355328,61,2420114242326417/35184372088832
4707098428100497/140737488355328,62,619649093577977/8796093022208
4944830671943957/140737488355328,63,2538029435272773/35184372088832
324147914480557/8796093022208,64,649603356302253/8796093022208
2715853153667681/70368744177664,65,5319496688241249/70368744177664
5680849698883307/140737488355328,66,2722034192007611/35184372088832
1483449201583187/35184372088832,67,2785270968869971/35184372088832
1547636907420921/35184372088832,68,2849458674707705/35184372088832
1612775542234029/35184372088832,69,2914597309520813/35184372088832
3357730212045021/70368744177664,70,5961373746618589/70368744177664
3491811197572733/70368744177664,71,6095454732146301/70368744177664
3627794041051191/70368744177664,72,6231437575624759/70368744177664
1882839371240199/35184372088832,73,3184661138526983/35184372088832
111/2,74,185/2
2023576859595527/35184372088832,75,3325398626882311/35184372088832
4190743994472503/70368744177664,76,6794387529046071/70368744177664
4336236127704701/70368744177664,77,6939879662278269/70368744177664
4483630118887645/70368744177664,78,7087273653461213/70368744177664
2316462984010669/35184372088832,79,3618284751297453/35184372088832
2392061837552889/35184372088832,80,3693883604839673/35184372088832
2468611620070483/35184372088832,81,3770433387357267/35184372088832
2546112331563451/35184372088832,82,3847934098850235/35184372088832
5249127944063585/70368744177664,83,7852771478637153/70368744177664
675991635368877/8796093022208,84,1001447077190573/8796093022208
2784320039894597/35184372088832,85,4086141807181381/35184372088832
5731248934578121/70368744177664,86,8334892469151689/70368744177664
5895759647317795/70368744177664,87,8499403181891363/70368744177664
757771527251027/8796093022208,88,1083226969072723/8796093022208
3115243323324693/35184372088832,89,4417065090611477/35184372088832
3200351466620651/35184372088832,90,4502173233907435/35184372088832
6572821077783967/70368744177664,91,286764519136173/2199023255552
6746841080277379/70368744177664,92,2337621153712737/17592186044416
6922762940721539/70368744177664,93,2381601618823777/17592186044416
7100586659116447/70368744177664,94,303257193552813/2199023255552
3640156117731051/35184372088832,95,4941977885017835/35184372088832
3730969834879253/35184372088832,96,5032791602166037/35184372088832
955683620250707/8796093022208,97,1281139062072403/8796093022208
3915450056101777/35184372088832,98,5217271823388561/35184372088832
1002279140044025/8796093022208,99,1327734581865721/8796093022208
4103733993225797/35184372088832,100,5405555760512581/35184372088832
