a,b,c
141546324495301/140737488355328,88,3096426952852209/35184372088832
284710321270549/140737488355328,89,3132217952046021/35184372088832
214745995162871/70368744177664,90,6336826738619639/70368744177664
287945665830441/70368744177664,91,6410026409287209/70368744177664
723908345275969/140737488355328,92,202626091127961/2199023255552
873543031171001/140737488355328,93,1639713064760567/17592186044416
256198847336495/35184372088832,94,3317239219064879/35184372088832
588832709900453/70368744177664,95,6710913453357221/70368744177664
1332153122535777/140737488355328,96,424259831545291/4398046511104
1488258497550595/140737488355328,97,3433104996116033/35184372088832
1645981544845359/140737488355328,98,868133939484931/8796093022208
902661132210035/70368744177664,99,7024741875666803/70368744177664
983140328137363/70368744177664,100,7105221071594131/70368744177664
