a,b,c
141502366009433/140737488355328,93,1636168911837451/17592186044416
71133621831769/35184372088832,94,3308095854004313/35184372088832
429096363952929/140737488355328,95,418029540395097/4398046511104
575187995886993/140737488355328,96,845189807786073/8796093022208
361404691564633/70368744177664,97,6835329155909721/70368744177664
435980262839875/70368744177664,98,6909904727184963/70368744177664
1022641423538443/140737488355328,99,3492622588057155/35184372088832
1174852076705347/140737488355328,100,3530675251348881/35184372088832
