a,b,c,k,b^2/k
1.1666666666666665,4,4.166666666666666,3,5.333333333333333
2.666666666666667,5,5.666666666666667,3,8.333333333333334
4.5,6,7.5,3,12.0
6.666666666666666,7,9.666666666666666,3,16.333333333333332
9.166666666666666,8,12.166666666666666,3,21.333333333333332
12.0,9,15.0,3,27.0
15.166666666666668,10,18.166666666666668,3,33.333333333333336
18.666666666666668,11,21.666666666666668,3,40.333333333333336
22.5,12,25.5,3,48.0
26.666666666666668,13,29.666666666666668,3,56.333333333333336
31.166666666666664,14,34.166666666666664,3,65.33333333333333
36.0,15,39.0,3,75.0
41.166666666666664,16,44.166666666666664,3,85.33333333333333
46.666666666666664,17,49.666666666666664,3,96.33333333333333
52.5,18,55.5,3,108.0
58.666666666666664,19,61.666666666666664,3,120.33333333333333
65.16666666666667,20,68.16666666666667,3,133.33333333333334
72.0,21,75.0,3,147.0
79.16666666666667,22,82.16666666666667,3,161.33333333333334
86.66666666666667,23,89.66666666666667,3,176.33333333333334
94.5,24,97.5,3,192.0
102.66666666666667,25,105.66666666666667,3,208.33333333333334
111.16666666666667,26,114.16666666666667,3,225.33333333333334
120.0,27,123.0,3,243.0
129.16666666666666,28,132.16666666666666,3,261.3333333333333
138.66666666666666,29,141.66666666666666,3,280.3333333333333
148.5,30,151.5,3,300.0
158.66666666666666,31,161.66666666666666,3,320.3333333333333
169.16666666666666,32,172.16666666666666,3,341.3333333333333
180.0,33,183.0,3,363.0
191.16666666666666,34,194.16666666666666,3,385.3333333333333
202.66666666666666,35,205.66666666666666,3,408.3333333333333
214.5,36,217.5,3,432.0
226.66666666666666,37,229.66666666666666,3,456.3333333333333
239.16666666666666,38,242.16666666666666,3,481.3333333333333
252.0,39,255.0,3,507.0
265.1666666666667,40,268.1666666666667,3,533.3333333333334
278.6666666666667,41,281.6666666666667,3,560.3333333333334
292.5,42,295.5,3,588.0
306.6666666666667,43,309.6666666666667,3,616.3333333333334
321.1666666666667,44,324.1666666666667,3,645.3333333333334
336.0,45,339.0,3,675.0
351.1666666666667,46,354.1666666666667,3,705.3333333333334
366.6666666666667,47,369.6666666666667,3,736.3333333333334
382.5,48,385.5,3,768.0
398.6666666666667,49,401.6666666666667,3,800.3333333333334
415.1666666666667,50,418.1666666666667,3,833.3333333333334
432.0,51,435.0,3,867.0
449.1666666666667,52,452.1666666666667,3,901.3333333333334
466.6666666666667,53,469.6666666666667,3,936.3333333333334
484.5,54,487.5,3,972.0
502.6666666666667,55,505.6666666666667,3,1008.3333333333334
521.1666666666666,56,524.1666666666666,3,1045.3333333333333
540.0,57,543.0,3,1083.0
559.1666666666666,58,562.1666666666666,3,1121.3333333333333
578.6666666666666,59,581.6666666666666,3,1160.3333333333333
598.5,60,601.5,3,1200.0
618.6666666666666,61,621.6666666666666,3,1240.3333333333333
639.1666666666666,62,642.1666666666666,3,1281.3333333333333
660.0,63,663.0,3,1323.0
681.1666666666666,64,684.1666666666666,3,1365.3333333333333
702.6666666666666,65,705.6666666666666,3,1408.3333333333333
724.5,66,727.5,3,1452.0
746.6666666666666,67,749.6666666666666,3,1496.3333333333333
769.1666666666666,68,772.1666666666666,3,1541.3333333333333
792.0,69,795.0,3,1587.0
815.1666666666666,70,818.1666666666666,3,1633.3333333333333
838.6666666666666,71,841.6666666666666,3,1680.3333333333333
862.5,72,865.5,3,1728.0
886.6666666666666,73,889.6666666666666,3,1776.3333333333333
911.1666666666666,74,914.1666666666666,3,1825.3333333333333
936.0,75,939.0,3,1875.0
961.1666666666666,76,964.1666666666666,3,1925.3333333333333
986.6666666666666,77,989.6666666666666,3,1976.3333333333333
1012.5,78,1015.5,3,2028.0
1038.6666666666667,79,1041.6666666666667,3,2080.3333333333335
1065.1666666666667,80,1068.1666666666667,3,2133.3333333333335
1092.0,81,1095.0,3,2187.0
1119.1666666666667,82,1122.1666666666667,3,2241.3333333333335
1146.6666666666667,83,1149.6666666666667,3,2296.3333333333335
1174.5,84,1177.5,3,2352.0
1202.6666666666667,85,1205.6666666666667,3,2408.3333333333335
1231.1666666666667,86,1234.1666666666667,3,2465.3333333333335
1260.0,87,1263.0,3,2523.0
1289.1666666666667,88,1292.1666666666667,3,2581.3333333333335
1318.6666666666667,89,1321.6666666666667,3,2640.3333333333335
1348.5,90,1351.5,3,2700.0
1378.6666666666667,91,1381.6666666666667,3,2760.3333333333335
1409.1666666666667,92,1412.1666666666667,3,2821.3333333333335
1440.0,93,1443.0,3,2883.0
1471.1666666666667,94,1474.1666666666667,3,2945.3333333333335
1502.6666666666667,95,1505.6666666666667,3,3008.3333333333335
1534.5,96,1537.5,3,3072.0
1566.6666666666667,97,1569.6666666666667,3,3136.3333333333335
1599.1666666666667,98,1602.1666666666667,3,3201.3333333333335
1632.0,99,1635.0,3,3267.0
1665.1666666666667,100,1668.1666666666667,3,3333.3333333333335
