a,b,c
141910300758289/140737488355328,61,8586159602077969/140737488355328
71541556580625/35184372088832,62,2182603881910545/35184372088832
216383888346317/70368744177664,63,4438508539006157/70368744177664
581714951868689/140737488355328,64,564122765824273/8796093022208
733007751850667/140737488355328,65,2294314263292587/35184372088832
443323088319283/70368744177664,66,4665447738979123/70368744177664
260657556558097/35184372088832,67,2371719881888017/35184372088832
300239975158033/35184372088832,68,2411302300487953/35184372088832
680817599918899/70368744177664,69,4902942250578739/70368744177664
1524656123849387/140737488355328,70,2492226356292267/35184372088832
1690022672666897/140737488355328,71,633391998374161/8796093022208
928867423145165/70368744177664,72,5150992073805005/70368744177664
506948161179921/35184372088832,73,2618010486509841/35184372088832
2200196067954961/140737488355328,74,665277835579665/8796093022208
135/8,75,615/8
2552039788843281/140737488355328,76,687268068135185/8796093022208
682870021624081/35184372088832,77,2793932346954001/35184372088832
1456633004477645/70368744177664,78,5678757655137485/70368744177664
3097397556220177/140737488355328,79,721352928596241/8796093022208
3283874728290987/140737488355328,80,2932031007402667/35184372088832
1736348762583859/70368744177664,81,5958473413243699/70368744177664
915966486712593/35184372088832,82,3027028812042513/35184372088832
964344998334737/35184372088832,83,3075407323664657/35184372088832
2026619832316723/70368744177664,84,6248744482976563/70368744177664
4251444960733867/140737488355328,85,3173923565513387/35184372088832
4451995881640209/140737488355328,86,806015323934993/8796093022208
2327446213676237/70368744177664,87,6549570864336077/70368744177664
1215033649467665/35184372088832,88,3326095974797585/35184372088832
2533861196597385/70368744177664,89,6755985847257225/70368744177664
75/2,90,195/2
2744967429130377/70368744177664,91,6967092079790217/70368744177664
1426139882000657/35184372088832,92,3537202207330577/35184372088832
2960764911275213/70368744177664,93,7182889561935053/70368744177664
3070422870952073/70368744177664,94,7292547521611913/70368744177664
3181253643031893/70368744177664,95,7403378293691733/70368744177664
3293257227514675/70368744177664,96,7515381878174515/70368744177664
1703216812200209/35184372088832,97,3814279137530129/35184372088832
1760391416844561/35184372088832,98,3871453742174481/35184372088832
3636304855380787/70368744177664,99,7858429506040627/70368744177664
3752999689475413/70368744177664,100,7975124340135253/70368744177664
