a,b,c
8863755276225/8796093022208,66,580609801719745/8796093022208
285805360967743/140737488355328,67,147402220376001/2199023255552
215977914822215/70368744177664,68,4789946286370375/70368744177664
145067872612415/35184372088832,69,2432052058386495/35184372088832
365376171691717/70368744177664,70,4939344543239877/70368744177664
883398388445751/140737488355328,71,1253916891442759/17592186044416
259552406409153/35184372088832,72,2546536592183233/35184372088832
74699128434751/8796093022208,73,646445174878271/8796093022208
338581919100991/35184372088832,74,2625566104875071/35184372088832
1515634489980455/140737488355328,75,1332946404134597/17592186044416
839553247842745/70368744177664,76,5413521619390905/70368744177664
1844743693519069/140737488355328,77,2748170109153847/35184372088832
1006273041740595/70368744177664,78,5580241413288755/70368744177664
136407104098241/8796093022208,79,708153150541761/8796093022208
2354646439791065/140737488355328,80,1437822897860923/17592186044416
2528944406138817/140737488355328,81,182451267956799/2199023255552
2705407564615113/140737488355328,82,1481668038463929/17592186044416
180252244701247/8796093022208,83,751998291144767/8796093022208
3064829457953335/140737488355328,84,1526595775131207/17592186044416
1623894096407631/70368744177664,85,6197862467955791/70368744177664
3432912119805731/140737488355328,86,3145212215725513/35184372088832
3620201238924745/140737488355328,87,1596017247752633/17592186044416
1904827775086151/70368744177664,88,6478796146634311/70368744177664
2000637526774201/70368744177664,89,6574605898322361/70368744177664
2097529874526523/70368744177664,90,6671498246074683/70368744177664
2195504818343117/70368744177664,91,6769473189891277/70368744177664
1147281179111991/35184372088832,92,3434265364886071/35184372088832
74834452942785/2199023255552,93,217770964553665/2199023255552
77997663318079/2199023255552,94,220934174928959/2199023255552
2598230554252209/70368744177664,95,7172198925800369/70368744177664
1350809239195081/35184372088832,96,3637793424969161/35184372088832
1403044499296193/35184372088832,97,3690028685070273/35184372088832
1455821057429441/35184372088832,98,3742805243203521/35184372088832
1509138913594825/35184372088832,99,3796123099368905/35184372088832
3125996135584689/70368744177664,100,7699964507132849/70368744177664
