a,b,c
581714951868689/562949953421312,16,564122765824273/35184372088832
300239975158033/140737488355328,17,2411302300487953/140737488355328
928867423145165/281474976710656,18,5150992073805005/281474976710656
2552039788843281/562949953421312,19,687268068135185/35184372088832
3283874728290987/562949953421312,20,2932031007402667/140737488355328
2026619832316723/281474976710656,21,6248744482976563/281474976710656
1215033649467665/140737488355328,22,3326095974797585/140737488355328
1426139882000657/140737488355328,23,3537202207330577/140737488355328
3293257227514675/281474976710656,24,7515381878174515/281474976710656
3752999689475413/281474976710656,25,7975124340135253/281474976710656
4231507149883529/281474976710656,26,8453631800543369/281474976710656
4728779608739021/281474976710656,27,8950904259398861/281474976710656
2622408533020945/140737488355328,28,4733470858350865/140737488355328
5779619521792137/281474976710656,29,1250218021556497/35184372088832
45/2,30,75/2
863189928579345/35184372088832,31,1390955509911825/35184372088832
3748308439863569/140737488355328,32,5859370765193489/140737488355328
2026619832316723/70368744177664,33,3082150994981683/70368744177664
1091888347156753/35184372088832,34,1619653928489233/35184372088832
4691249611844267/140737488355328,35,6802311937174187/140737488355328
2512164167142605/70368744177664,36,3567695329807565/70368744177664
5366789555949841/140737488355328,37,7477851881279761/140737488355328
5718633276838161/140737488355328,38,7829695602168081/140737488355328
3039929748475085/70368744177664,39,4095460911140045/70368744177664
6450468216285867/140737488355328,40,8561530541615787/140737488355328
1707614858711313/35184372088832,41,2235380440043793/35184372088832
3609916576314163/70368744177664,42,4665447738979123/70368744177664
7618589369635089/140737488355328,43,608103230935313/8796093022208
2006682021466385/35184372088832,44,2534447602798865/35184372088832
60,45,75
2217788253999377/35184372088832,46,2745553835331857/35184372088832
4653719614949513/70368744177664,47,5709250777614473/70368744177664
4876553971512115/70368744177664,48,5932085134177075/70368744177664
2552039788843281/35184372088832,49,3079805370175761/35184372088832
5336296433472853/70368744177664,50,6391827596137813/70368744177664
5573204538870989/70368744177664,51,6628735701535949/70368744177664
5814803893880969/70368744177664,52,6870335056545929/70368744177664
6061094498502793/70368744177664,53,7116625661167753/70368744177664
6312076352736461/70368744177664,54,7367607515401421/70368744177664
6567749456581973/70368744177664,55,7623280619246933/70368744177664
3414056905019665/35184372088832,56,3941822486352145/35184372088832
7093169413108531/70368744177664,57,8148700575773491/70368744177664
7362916265789577/70368744177664,58,8418447428454537/70368744177664
3818677184041233/35184372088832,59,4346442765373713/35184372088832
225/2,60,255/2
4100152160751889/35184372088832,61,4627917742084369/35184372088832
1061102021579025/8796093022208,62,1193043416912145/8796093022208
2195504818343117/17592186044416,63,2459387609009357/17592186044416
4539956811862289/35184372088832,64,5067722393194769/35184372088832
4691249611844267/35184372088832,65,5219015193176747/35184372088832
2422444018316083/17592186044416,66,2686326808982323/17592186044416
1250218021556497/8796093022208,67,1382159416889617/8796093022208
1289800440156433/8796093022208,68,1421741835489553/8796093022208
2659938529915699/17592186044416,69,2923821320581939/17592186044416
5482897983842987/35184372088832,70,6010663565175467/35184372088832
5648264532660497/35184372088832,71,6176030113992977/35184372088832
2907988353141965/17592186044416,72,3171871143808205/17592186044416
1496508626178321/8796093022208,73,1628450021511441/8796093022208
6158437927948561/35184372088832,74,6686203509281041/35184372088832
180,75,195
6510281648836881/35184372088832,76,7038047230169361/35184372088832
1672430486622481/8796093022208,77,1804371881955601/8796093022208
3435753934474445/17592186044416,78,3699636725140685/17592186044416
7055639416213777/35184372088832,79,7583404997546257/35184372088832
7242116588284587/35184372088832,80,7769882169617067/35184372088832
3715469692580659/17592186044416,81,3979352483246899/17592186044416
1905526951710993/8796093022208,82,2037468347044113/8796093022208
1953905463333137/8796093022208,83,2085846858666257/8796093022208
4005740762313523/17592186044416,84,4269623552979763/17592186044416
8209686820727467/35184372088832,85,8737452402059947/35184372088832
8410237741633809/35184372088832,86,8938003322966289/35184372088832
4306567143673037/17592186044416,87,4570449934339277/17592186044416
2204594114466065/8796093022208,88,2336535509799185/8796093022208
4512982126594185/17592186044416,89,4776864917260425/17592186044416
525/2,90,555/2
4724088359127177/17592186044416,91,4987971149793417/17592186044416
2415700346999057/8796093022208,92,2547641742332177/8796093022208
4939885841272013/17592186044416,93,5203768631938253/17592186044416
5049543800948873/17592186044416,94,5313426591615113/17592186044416
5160374573028693/17592186044416,95,5424257363694933/17592186044416
5272378157511475/17592186044416,96,5536260948177715/17592186044416
2692777277198609/8796093022208,97,2824718672531729/8796093022208
2749951881842961/8796093022208,98,2881893277176081/8796093022208
5615425785377587/17592186044416,99,5879308576043827/17592186044416
5732120619472213/17592186044416,100,5996003410138453/17592186044416
