a,b,c
2476979795053773/2251799813685248,6,3433994715870003/562949953421312
1351079888211149/562949953421312,7,4165829655317709/562949953421312
2195504818343117/562949953421312,8,5010254585449677/562949953421312
3152519739159347/562949953421312,9,5967269506265907/562949953421312
15/2,10,25/2
5404319552844595/562949953421312,11,8219069319951155/562949953421312
6699104445713613/562949953421312,12,2378463553205043/140737488355328
2026619832316723/140737488355328,13,2730307274093363/140737488355328
2406611050876109/140737488355328,14,3110298492652749/140737488355328
20,15,25
3251035981008077/140737488355328,16,3954723422784717/140737488355328
3715469692580659/140737488355328,17,4419157134357299/140737488355328
4208050901824307/140737488355328,18,4911738343600947/140737488355328
4728779608739021/140737488355328,19,5432467050515661/140737488355328
75/2,20,85/2
5854679515581645/140737488355328,21,6558366957358285/140737488355328
6459850715509555/140737488355328,22,7163538157286195/140737488355328
7093169413108531/140737488355328,23,7796856854885171/140737488355328
7754635608378573/140737488355328,24,8458323050155213/140737488355328
60,25,65
2290502622982963/35184372088832,26,2466424483427123/35184372088832
2476979795053773/35184372088832,27,2652901655497933/35184372088832
2670493841542349/35184372088832,28,2846415701986509/35184372088832
2871044762448691/35184372088832,29,3046966622892851/35184372088832
175/2,30,185/2
3293257227514675/35184372088832,31,3469179087958835/35184372088832
3514918771674317/35184372088832,32,3690840632118477/35184372088832
3743617190251725/35184372088832,33,3919539050695885/35184372088832
3979352483246899/35184372088832,34,4155274343691059/35184372088832
120,35,125
4471933692490547/35184372088832,36,4647855552934707/35184372088832
4728779608739021/35184372088832,37,4904701469183181/35184372088832
4992662399405261/35184372088832,38,5168584259849421/35184372088832
5263582064489267/35184372088832,39,5439503924933427/35184372088832
315/2,40,325/2
5826532017910579/35184372088832,41,6002453878354739/35184372088832
6118562306247885/35184372088832,42,6294484166692045/35184372088832
6417629469002957/35184372088832,43,6593551329447117/35184372088832
6723733506175795/35184372088832,44,6899655366619955/35184372088832
200,45,205
7357052203774771/35184372088832,46,7532974064218931/35184372088832
7684266864200909/35184372088832,47,7860188724645069/35184372088832
8018518399044813/35184372088832,48,8194440259488973/35184372088832
8359806808306483/35184372088832,49,8535728668750643/35184372088832
495/2,50,505/2
2265873562520781/8796093022208,51,2309854027631821/8796093022208
2356473320649523/8796093022208,52,2400453785760563/8796093022208
2448832297382707/8796093022208,53,2492812762493747/8796093022208
2542950492720333/8796093022208,54,2586930957831373/8796093022208
300,55,305
2736464539208909/8796093022208,56,2780445004319949/8796093022208
2835860390359859/8796093022208,57,2879840855470899/8796093022208
2937015460115251/8796093022208,58,2980995925226291/8796093022208
3039929748475085/8796093022208,59,3083910213586125/8796093022208
715/2,60,725/2
3251035981008077/8796093022208,61,3295016446119117/8796093022208
3359227925181235/8796093022208,62,3403208390292275/8796093022208
3469179087958835/8796093022208,63,3513159553069875/8796093022208
3580889469340877/8796093022208,64,3624869934451917/8796093022208
420,65,425
3809587887918285/8796093022208,66,3853568353029325/8796093022208
3926575925113651/8796093022208,67,3970556390224691/8796093022208
4045323180913459/8796093022208,68,4089303646024499/8796093022208
4165829655317709/8796093022208,69,4209810120428749/8796093022208
975/2,70,985/2
4412120259939533/8796093022208,71,4456100725050573/8796093022208
4537904390157107/8796093022208,72,4581884855268147/8796093022208
4665447738979123/8796093022208,73,4709428204090163/8796093022208
4794750306405581/8796093022208,74,4838730771516621/8796093022208
560,75,565
5058633097071821/8796093022208,76,5102613562182861/8796093022208
5193213320311603/8796093022208,77,5237193785422643/8796093022208
5329552762155827/8796093022208,78,5373533227266867/8796093022208
5467651422604493/8796093022208,79,5511631887715533/8796093022208
1275/2,80,1285/2
5749126399315149/8796093022208,81,5793106864426189/8796093022208
5892502715577139/8796093022208,82,5936483180688179/8796093022208
6037638250443571/8796093022208,83,6081618715554611/8796093022208
6184533003914445/8796093022208,84,6228513469025485/8796093022208
720,85,725
6483600166669517/8796093022208,86,6527580631780557/8796093022208
6635772575953715/8796093022208,87,6679753041064755/8796093022208
6789704203842355/8796093022208,88,6833684668953395/8796093022208
6945395050335437/8796093022208,89,6989375515446477/8796093022208
1615/2,90,1625/2
7262054399134925/8796093022208,91,7306034864245965/8796093022208
7423022901441331/8796093022208,92,7467003366552371/8796093022208
7585750622352179/8796093022208,93,7629731087463219/8796093022208
7750237561867469/8796093022208,94,7794218026978509/8796093022208
900,95,905
8084489096711373/8796093022208,96,8128469561822413/8796093022208
8254253692039987/8796093022208,97,8298234157151027/8796093022208
8425777505973043/8796093022208,98,8469757971084083/8796093022208
8599060538510541/8796093022208,99,8643041003621581/8796093022208
1995/2,100,2005/2
