a,b,c
71403578650865/70368744177664,35,2463940880691441/70368744177664
579507304992527/281474976710656,36,634353532072177/17592186044416
440839485583601/140737488355328,37,5225914089664753/140737488355328
298032328281871/70368744177664,38,2690569630322447/70368744177664
755429165436687/140737488355328,39,5540503769517839/140737488355328
229733253050609/35184372088832,40,1426001904070897/35184372088832
271644049215247/35184372088832,41,1467912700235535/35184372088832
2516717438824689/281474976710656,42,755429165436687/17592186044416
2868561159713009/281474976710656,43,777419397992207/17592186044416
403585444548367/35184372088832,44,1599854095568655/35184372088832
449635578605809/35184372088832,45,1645904229626097/35184372088832
1986882188545807/140737488355328,46,6771956792626959/140737488355328
1089680700280591/70368744177664,47,3482218002321167/70368744177664
2375979950469361/140737488355328,48,7161054554550513/140737488355328
322092229783793/17592186044416,49,920226555293937/17592186044416
1390817531982065/70368744177664,50,3783354834022641/70368744177664
85/4,51,221/4
1601923764515057/70368744177664,52,3994461066555633/70368744177664
427645346050289/17592186044416,53,1025779671560433/17592186044416
3642617345667313/140737488355328,54,8427691949748465/140737488355328
1934105630412559/70368744177664,55,4326642932453135/70368744177664
4097944513875727/140737488355328,56,8883019117956879/140737488355328
1082954276204785/35184372088832,57,2279222927225073/35184372088832
1142457258413839/35184372088832,58,2338725909434127/35184372088832
601497537548047/17592186044416,59,1199631863058191/17592186044416
632283863125775/17592186044416,60,1230418188635919/17592186044416
1327175211880207/35184372088832,61,2523443862900495/35184372088832
1390817531982065/35184372088832,62,2587086183002353/35184372088832
5821978746228495/140737488355328,63,662940834394353/8796093022208
3042413351210767/70368744177664,64,5434950653251343/70368744177664
6351813996507377/140737488355328,65,696055537536783/8796093022208
827867578560753/17592186044416,66,1426001904070897/17592186044416
3449103299178737/70368744177664,67,5841640601219313/70368744177664
51,68,85
3730578275889393/70368744177664,69,6123115577929969/70368744177664
968605066916081/17592186044416,70,1566739392426225/17592186044416
502541491048207/8796093022208,71,801608653803279/8796093022208
4168313258053391/70368744177664,72,6560850560093967/70368744177664
539795532083441/8796093022208,73,838862694838513/8796093022208
2235242462114033/35184372088832,74,3431511113134321/35184372088832
2312337630367503/35184372088832,75,3508606281387791/35184372088832
1195233816547087/17592186044416,76,1793368142057231/17592186044416
1234816235147023/17592186044416,77,1832950560657167/17592186044416
2549832141967119/35184372088832,78,3746100792987407/35184372088832
2631066648113393/35184372088832,79,3827335299133681/35184372088832
678333997183217/8796093022208,80,977401159938289/8796093022208
5593280327651087/70368744177664,81,7985817629691663/70368744177664
720244793347855/8796093022208,82,1019311956102927/8796093022208
1483176508715249/17592186044416,83,2081310834225393/17592186044416
6105523391885553/70368744177664,84,8498060693926129/70368744177664
357/4,85,493/4
6457367112773873/70368744177664,86,8849904414814449/70368744177664
1659098369159409/17592186044416,87,2257232694669553/17592186044416
852186188680975/8796093022208,88,1151253351436047/8796093022208
7000655211204367/70368744177664,89,587074532077809/4398046511104
898236322738417/8796093022208,90,1197303485493489/8796093022208
3686597810778353/35184372088832,91,4882866461798641/35184372088832
3781285165076239/35184372088832,92,4977553816096527/35184372088832
1938503676923663/17592186044416,93,2536638002433807/17592186044416
1986882188545807/17592186044416,94,2585016514055951/17592186044416
4071556234809103/35184372088832,95,5267824885829391/35184372088832
4170382926999793/35184372088832,96,5366651578020081/35184372088832
1067561113415921/8796093022208,97,1366628276170993/8796093022208
546392601850097/4398046511104,98,695926183227633/4398046511104
1118268002602767/8796093022208,99,1417335165357839/8796093022208
2288019020247281/17592186044416,100,2886153345757425/17592186044416
