a,b,c
283988146145573/281474976710656,57,4011646710485577/70368744177664
286501315580489/140737488355328,58,8167800663478857/140737488355328
867043455046217/281474976710656,59,2078705268855369/35184372088832
583055308900645/140737488355328,60,8464354656799013/140737488355328
735102059713097/140737488355328,61,8616401407611465/140737488355328
444830989980233/70368744177664,62,4385480663929417/70368744177664
119/16,63,1015/16
603160664379977/70368744177664,64,4543810338329161/70368744177664
1368420757312073/140737488355328,65,1156215013151305/17592186044416
1533033355299109/140737488355328,66,2353583175799369/35184372088832
1700159122721061/140737488355328,67,2395364617654857/35184372088832
1869798059577929/140737488355328,68,1218887175934537/17592186044416
1020975082934857/70368744177664,69,4961624756884041/70368744177664
63/4,70,287/4
1196896943379017/70368744177664,71,5137546617328201/70368744177664
2573485501354569/140737488355328,72,1306848106156617/17592186044416
2755690285386021/140737488355328,73,2659247408321097/35184372088832
2940408238852389/140737488355328,74,2705426896687689/35184372088832
3127639361753673/140737488355328,75,1376117338706505/17592186044416
1658691827044937/70368744177664,76,5599341500994121/70368744177664
399/16,77,1295/16
1852205873533513/70368744177664,78,5792855547482697/70368744177664
3901695547707977/140737488355328,79,1472874361950793/17592186044416
4101492517783845/140737488355328,80,2995697966420553/35184372088832
4303802657294629/140737488355328,81,3046275501298249/35184372088832
4508625966240329/140737488355328,82,1548740664267337/17592186044416
2357981222310473/70368744177664,83,6298630896259657/70368744177664
35,84,91
2569087454843465/70368744177664,85,6509737128792649/70368744177664
2676525448186149/70368744177664,86,6617175122135333/70368744177664
1392610013123145/35184372088832,87,3362934850097737/35184372088832
1447585594511945/35184372088832,88,3417910431486537/35184372088832
3006378936518949/70368744177664,89,6947028610468133/70368744177664
3118843268731465/70368744177664,90,7059492942680649/70368744177664
735/16,91,1631/16
3347541687308873/70368744177664,92,7288191361258057/70368744177664
3463775773673765/70368744177664,93,7404425447622949/70368744177664
1790633222378057/35184372088832,94,3760958059352649/35184372088832
1850006850277961/35184372088832,95,3820331687252553/35184372088832
3820017541073189/70368744177664,96,7760667215022373/70368744177664
3941277966307913/70368744177664,97,7881927640257097/70368744177664
231/4,98,455/4
4187568570929737/70368744177664,99,8128218244878921/70368744177664
4312598750316837/70368744177664,100,8253248424266021/70368744177664
