a,b,c
284825869290545/281474976710656,43,756673430696131/17592186044416
576353523740867/281474976710656,44,3099575636397105/70368744177664
874582963350967/281474976710656,45,1587066498149815/35184372088832
294878547030211/70368744177664,46,3250365802492099/70368744177664
1491147198050499/281474976710656,47,3328274054974513/70368744177664
1809481993139931/281474976710656,48,3407857753746871/70368744177664
2134518573389141/281474976710656,49,3489116898809173/70368744177664
2466256938798129/281474976710656,50,893012872540355/17592186044416
1402348544683447/140737488355328,51,7313323055607223/140737488355328
787459756273859/70368744177664,52,3742947011735747/70368744177664
875420686495939/70368744177664,53,3830907941957827/70368744177664
1930114126015927/140737488355328,54,7841088636939703/140737488355328
264092221452483/17592186044416,55,1002964035317955/17592186044416
2298712309803691/140737488355328,56,8209686820727467/140737488355328
1244018870283703/70368744177664,57,4199506125745591/70368744177664
1340357031955505/70368744177664,58,4295844287417393/70368744177664
1438370639917251/70368744177664,59,4393857895379139/70368744177664
3076119388337883/140737488355328,60,8987093899261659/140737488355328
1639424194710577/70368744177664,61,4594911450172465/70368744177664
435616035385539/17592186044416,62,1174487849251011/17592186044416
105/4,63,273/4
488392593518787/17592186044416,64,1227264407384259/17592186044416
2061636659776561/70368744177664,65,5017123915238449/70368744177664
4342756783535835/140737488355328,66,2563432823614903/35184372088832
2282795570049219/70368744177664,67,5238282825511107/70368744177664
2395888194620465/70368744177664,68,5351375450082353/70368744177664
2510656265481655/70368744177664,69,5466143520943543/70368744177664
5254199565265579/140737488355328,70,2791293519047339/35184372088832
686304686518467/17592186044416,71,1425176500383939/17592186044416
5730026311609783/140737488355328,72,1455125102816695/17592186044416
2986483011825859/70368744177664,73,5941970267287747/70368744177664
3109628314136771/70368744177664,74,6065115569598659/70368744177664
3234449062737627/70368744177664,75,6189936318199515/70368744177664
840236314407107/17592186044416,76,1579108128272579/17592186044416
3489116898809173/70368744177664,77,6444604154271061/70368744177664
3618963986279863/70368744177664,78,6574451241741751/70368744177664
3750486520040497/70368744177664,79,6705973775502385/70368744177664
3883684500091075/70368744177664,80,6839171755552963/70368744177664
2009278963215799/35184372088832,81,3487022590946743/35184372088832
4155106799062065/70368744177664,82,7110594054523953/70368744177664
1073332779495619/17592186044416,83,1812204593361091/17592186044416
63,84,105
1143701523673283/17592186044416,85,1882573337538755/17592186044416
4718056752483377/70368744177664,86,7673544007945265/70368744177664
2431491428281783/35184372088832,87,3909235056012727/35184372088832
5009584406933699/70368744177664,88,7965071662395587/70368744177664
5157861403593777/70368744177664,89,8113348659055665/70368744177664
5307813846543799/70368744177664,90,8263301102005687/70368744177664
5459441735783765/70368744177664,91,8414928991245653/70368744177664
1403186267828419/17592186044416,92,2142058081693891/17592186044416
5767723853133531/70368744177664,93,8723211108595419/70368744177664
5924378081243331/70368744177664,94,8879865336705219/70368744177664
6082707755643075/70368744177664,95,2259548752776241/17592186044416
6242712876332763/70368744177664,96,2299550032948663/17592186044416
1601098360828099/17592186044416,97,2339970174693571/17592186044416
6567749456581973/70368744177664,98,2380809178010965/17592186044416
6732780916141495/70368744177664,99,1211033521450423/8796093022208
6899487821990961/70368744177664,100,615935942340803/4398046511104
