a,b,c
35393802875075/35184372088832,85,2990881058336963/35184372088832
284825869290545/140737488355328,86,756673430696131/8796093022208
214875986685367/70368744177664,87,6125850497609143/70368744177664
576353523740867/140737488355328,88,3099575636397105/35184372088832
724630520400945/140737488355328,89,784161221390531/8796093022208
874582963350967/140737488355328,90,1587066498149815/17592186044416
1026210852590933/140737488355328,91,3212039968609621/35184372088832
294878547030211/35184372088832,92,3250365802492099/35184372088832
1334492969940699/140737488355328,93,3289110497947063/35184372088832
1491147198050499/140737488355328,94,3328274054974513/35184372088832
1649476872450243/140737488355328,95,3367856473574449/35184372088832
1809481993139931/140737488355328,96,3407857753746871/35184372088832
492790640029891/35184372088832,97,3448277895491779/35184372088832
2134518573389141/140737488355328,98,3489116898809173/35184372088832
2299550032948663/140737488355328,99,1765187381849527/17592186044416
2466256938798129/140737488355328,100,893012872540355/8796093022208
