a,b,c
1219724899079509/1125899906842624,7,7975124340135253/1125899906842624
2627099782632789/1125899906842624,8,2345624805922133/281474976710656
15/4,9,39/4
3002399751580331/562949953421312,10,6380099472108203/562949953421312
3987562170067627/562949953421312,11,7365261890595499/562949953421312
9,12,15
6239361983752875/562949953421312,13,2404265426070187/140737488355328
3752999689475413/281474976710656,14,5441849549739349/281474976710656
63/4,15,87/4
5160374573028693/281474976710656,16,6849224433292629/281474976710656
5934430758982997/281474976710656,17,7623280619246933/281474976710656
24,18,30
7623280619246933/281474976710656,19,2328032619877717/70368744177664
4269037146778283/140737488355328,20,5113462076910251/140737488355328
135/4,21,159/4
5254199565265579/140737488355328,22,6098624495397547/140737488355328
5781965146598059/140737488355328,23,6626390076730027/140737488355328
45,24,51
6907865053440683/140737488355328,25,7752289983572651/140737488355328
7505999378950827/140737488355328,26,8350424309082795/140737488355328
231/4,27,255/4
4386318387074389/70368744177664,28,4808530852140373/70368744177664
4720569921918293/70368744177664,29,5142782386984277/70368744177664
72,30,78
5424257363694933/70368744177664,31,5846469828760917/70368744177664
5793693270627669/70368744177664,32,6215905735693653/70368744177664
351/4,33,375/4
6567749456581973/70368744177664,34,6989961921647957/70368744177664
6972369735603541/70368744177664,35,7394582200669525/70368744177664
105,36,111
7816794665735509/70368744177664,37,8239007130801493/70368744177664
8256599316845909/70368744177664,38,8678811781911893/70368744177664
495/4,39,519/4
4585696495577771/35184372088832,40,4796802728110763/35184372088832
4823191007177387/35184372088832,41,5034297239710379/35184372088832
144,42,150
5315772216421035/35184372088832,43,5526878448954027/35184372088832
5570858914065067/35184372088832,44,5781965146598059/35184372088832
663/4,45,687/4
6098624495397547/35184372088832,46,6309730727930539/35184372088832
6371303379085995/35184372088832,47,6582409611618987/35184372088832
189,48,195
6934253332507307/35184372088832,49,7145359565040299/35184372088832
7224524402240171/35184372088832,50,7435630634773163/35184372088832
855/4,51,879/4
7822658727750315/35184372088832,52,8033764960283307/35184372088832
8130521983527595/35184372088832,53,8341628216060587/35184372088832
240,54,246
8763840681126571/35184372088832,55,8974946913659563/35184372088832
4544648061474133/17592186044416,56,4650201177740629/17592186044416
1071/4,57,1095/4
4878899596318037/17592186044416,58,4984452712584533/17592186044416
5050423410251093/17592186044416,59,5155976526517589/17592186044416
297,60,303
5402267131139413/17592186044416,61,5507820247405909/17592186044416
5582587038094677/17592186044416,62,5688140154361173/17592186044416
1311/4,63,1335/4
5952022945027413/17592186044416,64,6057576061293909/17592186044416
6141138945004885/17592186044416,65,6246692061271381/17592186044416
360,66,366
6528167037982037/17592186044416,67,6633720154248533/17592186044416
6726079130981717/17592186044416,68,6831632247248213/17592186044416
1575/4,69,1599/4
7130699410003285/17592186044416,70,7236252526269781/17592186044416
7337407596025173/17592186044416,71,7442960712291669/17592186044416
429,72,435
7759620061091157/17592186044416,73,7865173177357653/17592186044416
7975124340135253/17592186044416,74,8080677456401749/17592186044416
1863/4,75,1887/4
8414928991245653/17592186044416,76,8520482107512149/17592186044416
8639229363311957/17592186044416,77,8744782479578453/17592186044416
504,78,510
4548313100233387/8796093022208,79,4601089658366635/8796093022208
4664861332777643/8796093022208,80,4717637890910891/8796093022208
2175/4,81,2199/4
4902355844377259/8796093022208,82,4955132402510507/8796093022208
5023302123432619/8796093022208,83,5076078681565867/8796093022208
585,84,591
5269592728054443/8796093022208,85,5322369286187691/8796093022208
5394937053620907/8796093022208,86,5447713611754155/8796093022208
2511/4,87,2535/4
5650023751264939/8796093022208,88,5702800309398187/8796093022208
5779766123342507/8796093022208,89,5832542681475755/8796093022208
672,90,678
6043648914008747/8796093022208,91,6096425472141995/8796093022208
6177789332597419/8796093022208,92,6230565890730667/8796093022208
2871/4,93,2895/4
6450468216285867/8796093022208,94,6503244774419115/8796093022208
6589006681385643/8796093022208,95,6641783239518891/8796093022208
765,96,771
6870481658096299/8796093022208,97,6923258216229547/8796093022208
7013418169707179/8796093022208,98,7066194727840427/8796093022208
3255/4,99,3279/4
7303689239440043/8796093022208,100,7356465797573291/8796093022208
