a,b,c
584601874706747/562949953421312,14,7902951269183803/562949953421312
303126897996091/140737488355328,15,2132714246615355/140737488355328
470929287958213/140737488355328,16,2300516636577477/140737488355328
2598230554252209/562949953421312,17,619786246795579/35184372088832
3356047799242437/562949953421312,18,2668599298429873/140737488355328
4157168886803535/562949953421312,19,717219892580037/35184372088832
5001593816935503/562949953421312,20,769996450713285/35184372088832
1472330647409585/140737488355328,21,3301917996028849/140737488355328
3410177602456025/281474976710656,22,7069352299694553/281474976710656
1948672915689157/140737488355328,23,3778260264308421/140737488355328
2203082990793019/140737488355328,24,4032670339412283/140737488355328
2468319026539599/140737488355328,25,4297906375158863/140737488355328
39/2,26,65/2
3031268979960911/140737488355328,27,4860856328580175/140737488355328
3328982897635643/140737488355328,28,5158570246254907/140737488355328
3637522775953093/140737488355328,29,5467110124572357/140737488355328
989222153728315/35184372088832,30,1446618990883131/35184372088832
4287080414516145/140737488355328,31,6116667763135409/140737488355328
1157024543690437/35184372088832,32,1614421380845253/35184372088832
1244985473912517/35184372088832,33,1702382311067333/35184372088832
5342611577181105/140737488355328,34,7172198925800369/140737488355328
1429026804838715/35184372088832,35,1886423641993531/35184372088832
6100428822171333/140737488355328,36,7930016170790597/140737488355328
6495576385630523/140737488355328,37,8325163734249787/140737488355328
6901549909732431/140737488355328,38,8731137258351695/140737488355328
52,39,65
7745974839864399/140737488355328,40,598472636780229/8796093022208
2046106561473615/35184372088832,41,2503503398628431/35184372088832
2158425903141809/35184372088832,42,2615822740296625/35184372088832
2273451734970683/35184372088832,43,2730848572125499/35184372088832
4782368113920473/70368744177664,44,5697161788230105/70368744177664
2511622869110469/35184372088832,45,2969019706265285/35184372088832
2634768171421381/35184372088832,46,3092165008576197/35184372088832
5521239927785945/70368744177664,47,6436033602095577/70368744177664
2889178246525243/35184372088832,48,3346575083680059/35184372088832
3020443019318193/35184372088832,49,3477839856473009/35184372088832
3154414282271823/35184372088832,50,3611811119426639/35184372088832
6582184070772263/70368744177664,51,7496977745081895/70368744177664
195/2,52,221/2
7145134024193575/70368744177664,53,8059927698503207/70368744177664
3717364235693135/35184372088832,54,4174761072847951/35184372088832
3864867949450161/35184372088832,55,4322264786604977/35184372088832
4015078153367867/35184372088832,56,4472474990522683/35184372088832
8335989694892505/70368744177664,57,1156347921150267/8796093022208
4323618031685317/35184372088832,58,4781014868840133/35184372088832
4481947706085061/35184372088832,59,4939344543239877/35184372088832
1160745967661371/8796093022208,60,1275095176950075/8796093022208
4806726525366587/35184372088832,61,5264123362521403/35184372088832
4973175670248369/35184372088832,62,5430572507403185/35184372088832
5142331305290831/35184372088832,63,5599728142445647/35184372088832
1328548357623493/8796093022208,64,1442897566912197/8796093022208
156,65,169
1416509287845573/8796093022208,66,1530858497134277/8796093022208
5846018747067471/35184372088832,67,6303415584222287/35184372088832
6028706832913329/35184372088832,68,6486103670068145/35184372088832
6214101408919867/35184372088832,69,6671498246074683/35184372088832
1600550618771771/8796093022208,70,1714899828060475/8796093022208
6593010031414981/35184372088832,71,7050406868569797/35184372088832
6786524077903557/35184372088832,72,7243920915058373/35184372088832
1745686153638203/8796093022208,73,1860035362926907/8796093022208
7181671641362747/35184372088832,74,7639068478517563/35184372088832
7383305158333361/35184372088832,75,7840701995488177/35184372088832
7587645165464655/35184372088832,76,8045042002619471/35184372088832
1948672915689157/8796093022208,77,2063022124977861/8796093022208
455/2,78,481/2
2054226031955653/8796093022208,79,2168575241244357/8796093022208
8432070095596623/35184372088832,80,8889466932751439/35184372088832
8649942553531313/35184372088832,81,569208711917883/2199023255552
2217630375406671/8796093022208,82,2331979584695375/8796093022208
2273451734970683/8796093022208,83,2387800944259387/8796093022208
2329949717074865/8796093022208,84,2444298926363569/8796093022208
2387124321719217/8796093022208,85,2501473531007921/8796093022208
2444975548903739/8796093022208,86,2559324758192443/8796093022208
2503503398628431/8796093022208,87,2617852607917135/8796093022208
5125415741786585/17592186044416,88,5354114160363993/17592186044416
5245177931396647/17592186044416,89,5473876349974055/17592186044416
2683146683043525/8796093022208,90,2797495892332229/8796093022208
312,91,325
2806291985354437/8796093022208,92,2920641194643141/8796093022208
5737759140640295/17592186044416,93,5966457559217703/17592186044416
5864287555652057/17592186044416,94,6092985974229465/17592186044416
2996084607872079/8796093022208,95,3110433817160783/8796093022208
3060702060458299/8796093022208,96,3175051269747003/8796093022208
3125996135584689/8796093022208,97,3240345344873393/8796093022208
3191966833251249/8796093022208,98,3306316042539953/8796093022208
3258614153457979/8796093022208,99,3372963362746683/8796093022208
3325938096204879/8796093022208,100,3440287305493583/8796093022208
