a,b,c
141803681448929/140737488355328,67,294702434778143/4398046511104
71434937271265/35184372088832,68,2393603495134177/35184372088832
431808202908393/140737488355328,69,1215060304295005/17592186044416
36250565182433/8796093022208,70,616792704648161/8796093022208
91292783639583/17592186044416,71,1252377062571039/17592186044416
882807881501603/140737488355328,72,2542870528238313/35184372088832
64837867504609/8796093022208,73,645380006970337/8796093022208
597068132416543/70368744177664,74,5241405248142367/70368744177664
1352999035779631/140737488355328,75,665104579201955/8796093022208
1513994192913377/140737488355328,76,337583388261407/4398046511104
1677121736234325/140737488355328,77,2741448991921493/35184372088832
460595416435619/35184372088832,78,2782763974298531/35184372088832
502443495359457/35184372088832,79,2824612053222369/35184372088832
1089649341660191/70368744177664,80,5733986457386015/70368744177664
1175477885695069/70368744177664,81,5819815001420893/70368744177664
315593155705887/17592186044416,82,1476677434637343/17592186044416
337583388261407/17592186044416,83,1498667667192863/17592186044416
1439360676361309/70368744177664,84,6083697792087133/70368744177664
1529453992770591/70368744177664,85,6173791108496415/70368744177664
810306751136737/35184372088832,86,3132475308999649/35184372088832
856419602434979/35184372088832,87,3178588160297891/35184372088832
3612262201120085/140737488355328,88,3225234108142933/35184372088832
3800978378687457/140737488355328,89,409051644066847/4398046511104
3991826942442031/140737488355328,90,830031323368355/8796093022208
2092403946191903/70368744177664,91,6736741061917727/70368744177664
273745076782049/8796093022208,92,854287216247777/8796093022208
2288583475414481/70368744177664,93,6932920591140305/70368744177664
597068132416543/17592186044416,94,1758152411347999/17592186044416
311128472126433/8796093022208,95,891670611592161/8796093022208
647712304362589/17592186044416,96,1808796583294045/17592186044416
1346868425491425/35184372088832,97,3669036983354337/35184372088832
174855667350559/4398046511104,98,465126737083423/4398046511104
165/4,99,429/4
188049806883871/4398046511104,100,478320876616735/4398046511104
