a,b,c
283901485130575/281474976710656,59,1038090633396789/17592186044416
286327993550495/140737488355328,60,8449102318159519/140737488355328
216565876477811/70368744177664,61,4297953038782323/70368744177664
145590505195167/35184372088832,62,2186284086347423/35184372088832
734018797025633/140737488355328,63,8896793121634657/140737488355328
444051040845259/70368744177664,64,4525438203149771/70368744177664
522305937387661/70368744177664,65,4603693099692173/70368744177664
601774088140023/70368744177664,66,4683161250444535/70368744177664
682455493102345/70368744177664,67,4763842655406857/70368744177664
382175076137313/35184372088832,68,2422868657289569/35184372088832
1694916131313735/140737488355328,69,1232211306990345/17592186044416
232944808312267/17592186044416,70,1253291598888395/17592186044416
2034627310102457/140737488355328,71,1274675204338935/17592186044416
1104061331063349/70368744177664,72,5185448493367861/70368744177664
1192022261285429/70368744177664,73,5273409423589941/70368744177664
2562392891434937/140737488355328,74,1340645902005495/17592186044416
342895971089867/17592186044416,75,1363242761665995/17592186044416
2926369154422855/140737488355328,76,1386142934878985/17592186044416
777999262136673/35184372088832,77,2818692843288929/35184372088832
1650025725545225/70368744177664,78,5731412887849737/70368744177664
1745266181027063/70368744177664,79,5826653343331575/70368744177664
1841719890718861/70368744177664,80,5923107053023373/70368744177664
1939386854620619/70368744177664,81,6020774016925131/70368744177664
4076534145464673/140737488355328,82,382478389689803/4398046511104
1069180272527007/35184372088832,83,3109873853679263/35184372088832
2239667271585651/70368744177664,84,6321054433890163/70368744177664
4684374504654495/140737488355328,85,401473400914485/4398046511104
611480121819701/17592186044416,86,1631826912395829/17592186044416
145/4,87,377/4
664256679952949/17592186044416,88,1684603470529077/17592186044416
2764399717393231/70368744177664,89,6845786879697743/70368744177664
2872985969184627/70368744177664,90,6954373131489139/70368744177664
1491392737592991/35184372088832,91,3532086318745247/35184372088832
3093798235397297/70368744177664,92,7175185397701809/70368744177664
3206024249818571/70368744177664,93,7287411412123083/70368744177664
3319463518449805/70368744177664,94,7400850680754317/70368744177664
3434116041290999/70368744177664,95,7515503203595511/70368744177664
3549981818342153/70368744177664,96,7631368980646665/70368744177664
1833530424801633/35184372088832,97,3874224005953889/35184372088832
3785353135074339/70368744177664,98,7866740297378851/70368744177664
976214668688843/17592186044416,99,1996561459264971/17592186044416
4025577468646365/70368744177664,100,8106964630950877/70368744177664
