a,b,c
70844208665351/70368744177664,75,5278131277812487/70368744177664
285278692612151/140737488355328,76,1337481603863303/17592186044416
430770825844349/140737488355328,77,2711336241034655/35184372088832
578164817027293/140737488355328,78,2748184738830391/35184372088832
363730333080493/70368744177664,79,5571017402227629/70368744177664
439329186622713/70368744177664,80,5646616255769849/70368744177664
515878969140307/70368744177664,81,5723166038287443/70368744177664
593379680633275/70368744177664,82,5800666749780411/70368744177664
1343662642203233/140737488355328,83,367444899390547/4398046511104
187808472636333/17592186044416,84,1489630239923117/17592186044416
831587388964421/70368744177664,85,6038874458111557/70368744177664
1825783632717769/140737488355328,86,1530044721376505/17592186044416
1990294345457443/140737488355328,87,3101217120937929/35184372088832
269588364518483/17592186044416,88,1571410131805267/17592186044416
1162510672394517/70368744177664,89,6369797741541653/70368744177664
1247618815690475/70368744177664,90,6454905884837611/70368744177664
2667355775923615/140737488355328,91,408810309819309/4398046511104
2841375778417027/140737488355328,92,3313987479177825/35184372088832
3017297638861187/140737488355328,93,3357967944288865/35184372088832
3195121357256095/140737488355328,94,425302984235949/4398046511104
1687423466800875/70368744177664,95,6894710535948011/70368744177664
1778237183949077/70368744177664,96,6985524253096213/70368744177664
467500457518163/17592186044416,97,1769322224804947/17592186044416
1962717405171601/70368744177664,98,7170004474318737/70368744177664
514095977311481/17592186044416,99,1815917744598265/17592186044416
2151001342295621/70368744177664,100,7358288411442757/70368744177664
