a,b,c,k,b^2/k
1.0499999999999998,11,11.05,10,12.1
2.2,12,12.2,10,14.4
3.4499999999999993,13,13.45,10,16.9
4.800000000000001,14,14.8,10,19.6
6.25,15,16.25,10,22.5
7.800000000000001,16,17.8,10,25.6
9.45,17,19.45,10,28.9
11.2,18,21.2,10,32.4
13.05,19,23.05,10,36.1
15.0,20,25.0,10,40.0
17.05,21,27.05,10,44.1
19.2,22,29.2,10,48.4
21.45,23,31.45,10,52.9
23.8,24,33.8,10,57.6
26.25,25,36.25,10,62.5
28.799999999999997,26,38.8,10,67.6
31.450000000000003,27,41.45,10,72.9
34.2,28,44.2,10,78.4
37.05,29,47.05,10,84.1
40.0,30,50.0,10,90.0
43.05,31,53.05,10,96.1
46.2,32,56.2,10,102.4
49.45,33,59.45,10,108.9
52.8,34,62.8,10,115.6
56.25,35,66.25,10,122.5
59.8,36,69.8,10,129.6
63.45,37,73.45,10,136.9
67.2,38,77.2,10,144.4
71.05,39,81.05,10,152.1
75.0,40,85.0,10,160.0
79.05,41,89.05,10,168.1
83.2,42,93.2,10,176.4
87.45,43,97.45,10,184.9
91.8,44,101.8,10,193.6
96.25,45,106.25,10,202.5
100.8,46,110.8,10,211.6
105.45,47,115.45,10,220.9
110.2,48,120.2,10,230.4
115.05,49,125.05,10,240.1
120.0,50,130.0,10,250.0
125.05000000000001,51,135.05,10,260.1
130.2,52,140.2,10,270.4
135.45,53,145.45,10,280.9
140.8,54,150.8,10,291.6
146.25,55,156.25,10,302.5
151.8,56,161.8,10,313.6
157.45,57,167.45,10,324.9
163.2,58,173.2,10,336.4
169.05,59,179.05,10,348.1
175.0,60,185.0,10,360.0
181.05,61,191.05,10,372.1
187.2,62,197.2,10,384.4
193.45,63,203.45,10,396.9
199.8,64,209.8,10,409.6
206.25,65,216.25,10,422.5
212.8,66,222.8,10,435.6
219.45,67,229.45,10,448.9
226.2,68,236.2,10,462.4
233.05,69,243.05,10,476.1
240.0,70,250.0,10,490.0
247.05,71,257.05,10,504.1
254.2,72,264.2,10,518.4
261.45,73,271.45,10,532.9
268.8,74,278.8,10,547.6
276.25,75,286.25,10,562.5
283.8,76,293.8,10,577.6
291.45,77,301.45,10,592.9
299.2,78,309.2,10,608.4
307.05,79,317.05,10,624.1
315.0,80,325.0,10,640.0
323.05,81,333.05,10,656.1
331.2,82,341.2,10,672.4
339.45,83,349.45,10,688.9
347.8,84,357.8,10,705.6
356.25,85,366.25,10,722.5
364.8,86,374.8,10,739.6
373.45,87,383.45,10,756.9
382.2,88,392.2,10,774.4
391.05,89,401.05,10,792.1
400.0,90,410.0,10,810.0
409.05,91,419.05,10,828.1
418.2,92,428.2,10,846.4
427.45,93,437.45,10,864.9
436.8,94,446.8,10,883.6
446.25,95,456.25,10,902.5
455.8,96,465.8,10,921.6
465.45,97,475.45,10,940.9
475.2,98,485.2,10,960.4
485.05,99,495.05,10,980.1
495.0,100,505.0,10,1000.0
