a,b,c
142040613247507/140737488355328,55,7741864984435219/140737488355328
71671869069843/35184372088832,56,1971627961866771/35184372088832
867881178191189/281474976710656,57,4016882480141653/70368744177664
1167599903392351/281474976710656,58,511476520180243/8796093022208
368132782040557/70368744177664,59,4168044967634413/70368744177664
891337426250411/140737488355328,60,8491161797438123/140737488355328
1049015538204065/140737488355328,61,8648839909391777/140737488355328
604649949971039/70368744177664,62,4404562135564895/70368744177664
39/4,63,255/4
192210921596397/17592186044416,64,1142188967994861/17592186044416
1705790483862263/140737488355328,65,1163201856881247/17592186044416
1876499844737707/140737488355328,66,2369081053981355/35184372088832
2049815455397509/140737488355328,67,2412409956646305/35184372088832
2225737315841669/140737488355328,68,2456390421757345/35184372088832
2404265426070187/140737488355328,69,2501022449314475/35184372088832
2585399786083063/140737488355328,70,1273153019658847/17592186044416
346142549485037/17592186044416,71,1296120595883501/17592186044416
21,72,75
1572220182413919/70368744177664,73,5372132368007775/70368744177664
3335999723978145/140737488355328,74,341744502973933/4398046511104
3530165332912811/140737488355328,75,2782497426025131/35184372088832
1863468595815917/70368744177664,76,5663380781409773/70368744177664
3926315300135215/140737488355328,77,720383729457683/8796093022208
4128299658422955/140737488355328,78,2932031007402667/35184372088832
1083222566623763/35184372088832,79,2983178659420691/35184372088832
4540087124351507/140737488355328,80,3034977873884805/35184372088832
135/4,81,351/4
4962299589417491/140737488355328,82,3140530990151301/35184372088832
1294328799156755/35184372088832,83,3194284891953683/35184372088832
2697468526810453/70368744177664,84,6497380712404309/70368744177664
350947822524947/8796093022208,85,825936845724179/8796093022208
2918999758480877/70368744177664,86,6718911944074733/70368744177664
3031720061654357/70368744177664,87,6831632247248213/70368744177664
3145743489720017/70368744177664,88,6945655675313873/70368744177664
3261070042677855/70368744177664,89,7060982228271711/70368744177664
48,90,102
873908130817517/17592186044416,91,1823886177215981/17592186044416
3614868450904443/70368744177664,92,7414780636498299/70368744177664
3735407503430997/70368744177664,93,7535319689024853/70368744177664
1928624840424865/35184372088832,94,3828580933221793/35184372088832
1990197491580321/35184372088832,95,3890153584377249/35184372088832
4104843410363733/70368744177664,96,7904755595957589/70368744177664
4230594962459003/70368744177664,97,8030507148052859/70368744177664
1089412409861613/17592186044416,98,2039390456260077/17592186044416
255/4,99,471/4
4615668368097887/70368744177664,100,8415580553691743/70368744177664
