a,b,c
1.0199999999999996,26,26.02
2.08,27,27.08
3.1799999999999997,28,28.18
4.32,29,29.32
5.5,30,30.5
6.719999999999999,31,31.72
7.98,32,32.980000000000004
9.280000000000001,33,34.28
10.620000000000001,34,35.620000000000005
12.0,35,37.0
13.420000000000002,36,38.42
14.879999999999999,37,39.879999999999995
16.38,38,41.379999999999995
17.92,39,42.92
19.5,40,44.5
21.119999999999997,41,46.12
22.78,42,47.78
24.479999999999997,43,49.48
26.22,44,51.22
28.0,45,53.0
29.82,46,54.82
31.68,47,56.68
33.58,48,58.58
35.52,49,60.52
37.5,50,62.5
39.52,51,64.52000000000001
41.58,52,66.58
43.68,53,68.68
45.82,54,70.82
48.0,55,73.0
50.22,56,75.22
52.480000000000004,57,77.48
54.78,58,79.78
57.120000000000005,59,82.12
59.5,60,84.5
61.92,61,86.92
64.38,62,89.38
66.88,63,91.88
69.42,64,94.42
72.0,65,97.0
74.62,66,99.62
77.28,67,102.28
79.98,68,104.98
82.72,69,107.72
85.5,70,110.5
88.32,71,113.32
91.18,72,116.18
94.08,73,119.08
97.02,74,122.02
100.0,75,125.0
103.02,76,128.01999999999998
106.08,77,131.07999999999998
109.18,78,134.18
112.32,79,137.32
115.5,80,140.5
118.72,81,143.72
121.97999999999999,82,146.98
125.28,83,150.28
128.62,84,153.62
132.0,85,157.0
135.42,86,160.42
138.88,87,163.88
142.38,88,167.38
145.92,89,170.92
149.5,90,174.5
153.12,91,178.12
156.78,92,181.78
160.48,93,185.48
164.22,94,189.22
168.0,95,193.0
171.82,96,196.82
175.68,97,200.68
179.58,98,204.58
183.52,99,208.52
187.5,100,212.5
