a,b,c
594224950833607/562949953421312,10,5660774531625415/562949953421312
2501999792983609/1125899906842624,11,1579387369320903/140737488355328
7/2,12,25/2
1376099886140985/281474976710656,13,3909374676536889/281474976710656
1798312351206969/281474976710656,14,4331587141602873/281474976710656
8,15,17
1368281136787911/140737488355328,16,2634918531985863/140737488355328
813149932719673/70368744177664,17,1446468630318649/70368744177664
27/2,18,45/2
1094624909430329/70368744177664,19,1727943607029305/70368744177664
2494181043630535/140737488355328,20,3760818438828487/140737488355328
20,21,29
6301911978577465/281474976710656,22,8835186768973369/281474976710656
7005599420354105/281474976710656,23,1192359276343751/35184372088832
55/2,24,73/2
4253399648072135/140737488355328,25,5520037043270087/140737488355328
2326077932539449/70368744177664,26,2959396630138425/70368744177664
36,27,45
2748290397605433/70368744177664,28,3381609095204409/70368744177664
5942249508336071/140737488355328,29,7208886903534023/140737488355328
91/2,30,109/2
1720124857676231/35184372088832,31,2036784206475719/35184372088832
1843270159987143/35184372088832,32,2159929508786631/35184372088832
56,33,65
1050644444319289/17592186044416,34,1208974118719033/17592186044416
4472324629958201/70368744177664,35,5105643327557177/70368744177664
135/2,36,153/2
5035274583379513/70368744177664,37,5668593280978489/70368744177664
1332119421029945/17592186044416,38,1490449095429689/17592186044416
80,39,89
2969170066829767/35184372088832,40,3285829415629255/35184372088832
3127499741229511/35184372088832,41,3444159090028999/35184372088832
187/2,42,205/2
1727943607029305/17592186044416,43,1886273281429049/17592186044416
7251890024975929/70368744177664,44,7885208722574905/70368744177664
108,45,117
7955577466752569/70368744177664,46,8588896164351545/70368744177664
2079787327917625/17592186044416,47,2238117002317369/17592186044416
247/2,48,265/2
4534874624782791/35184372088832,49,4851533973582279/35184372088832
4728388671271367/35184372088832,50,5045048020070855/35184372088832
140,51,149
2563572444139065/17592186044416,52,2721902118538809/17592186044416
1333096764699079/8796093022208,53,1412261601898951/8796093022208
315/2,54,333/2
1438649880965575/8796093022208,55,1517814718165447/8796093022208
2985784909205049/17592186044416,56,3144114583604793/17592186044416
176,57,185
6417238531535303/35184372088832,58,6733897880334791/35184372088832
6645936950112711/35184372088832,59,6962596298912199/35184372088832
391/2,60,409/2
3557530955648569/17592186044416,61,3715860630048313/17592186044416
1838872113476039/8796093022208,62,1918036950675911/8796093022208
216,63,225
1962017415786951/8796093022208,64,2041182252986823/8796093022208
4050112164892217/17592186044416,65,4208441839291961/17592186044416
475/2,66,493/2
8616261787087303/35184372088832,67,8932921135886791/35184372088832
1110018072219193/4398046511104,68,1149600490819129/4398046511104
260,69,269
4709819141557817/17592186044416,70,4868148815957561/17592186044416
2423812299452871/8796093022208,71,2502977136652743/8796093022208
567/2,72,585/2
2564549787808199/8796093022208,73,2643714625008071/8796093022208
5272769094979129/17592186044416,74,5431098769378873/17592186044416
308,75,317
1391493048929849/4398046511104,76,1431075467529785/4398046511104
1428876444274233/4398046511104,77,1468458862874169/4398046511104
667/2,78,685/2
6020437001866809/17592186044416,79,6178766676266553/17592186044416
3087917322629575/8796093022208,80,3167082159829447/8796093022208
360,81,369
3246246997029319/8796093022208,82,3325411834229191/8796093022208
6653755699465785/17592186044416,83,6812085373865529/17592186044416
775/2,84,793/2
1745535793073721/4398046511104,85,1785118211673657/4398046511104
1787317234929209/4398046511104,86,1826899653529145/4398046511104
416,87,425
7489384536575545/17592186044416,88,7647714210975289/17592186044416
3831187183006151/8796093022208,89,3910352020206023/8796093022208
891/2,90,909/2
4007109043450311/8796093022208,91,4086273880650183/8796093022208
8193071978352185/17592186044416,92,8351401652751929/17592186044416
476,93,485
2139160955817529/4398046511104,94,2178743374417465/4398046511104
2185340444184121/4398046511104,95,2224922862784057/4398046511104
1015/2,96,1033/2
1139582718210503/2199023255552,97,1159373927510471/2199023255552
4653621880582599/8796093022208,98,4732786717782471/8796093022208
540,99,549
4847135927071175/8796093022208,100,4926300764271047/8796093022208
