a,b,c
141872468100129/140737488355328,63,8867596746130465/140737488355328
71503723922465/35184372088832,64,2252934793430049/35184372088832
432427282769193/140737488355328,65,1144768945099941/17592186044416
581109629338129/140737488355328,66,581677119210529/8796093022208
366030967698333/70368744177664,67,4728893106713501/70368744177664
885284200944805/140737488355328,68,2402752119743785/35184372088832
1040776425982547/140737488355328,69,2441625176003221/35184372088832
599269305254945/70368744177664,70,4962131444270113/70368744177664
339642688631709/35184372088832,71,2521073758139293/35184372088832
1520872858033383/140737488355328,72,1280824642007965/17592186044416
1685444921029533/140737488355328,73,2602792299764967/35184372088832
1852286943515285/140737488355328,74,2644502805386405/35184372088832
1010699462745319/70368744177664,75,5373561601760487/70368744177664
1096390433477797/70368744177664,76,5459252572492965/70368744177664
295804095988769/17592186044416,77,1386519630742561/17592186044416
317794328544289/17592186044416,78,1408509863298081/17592186044416
1360273224144037/70368744177664,79,5723135363159205/70368744177664
1450504113855719/70368744177664,80,5813366252870887/70368744177664
3083739966624405/140737488355328,81,2952366061163685/35184372088832
3268741665026973/140737488355328,82,2998616485764327/35184372088832
3456013322919143/140737488355328,83,1522717200118685/17592186044416
911388735075229/35184372088832,84,3092819804582813/35184372088832
1918683258586145/70368744177664,85,6281545397601313/70368744177664
4031448053533267/140737488355328,86,3189293082890901/35184372088832
4227799549383845/140737488355328,87,3238380956853545/35184372088832
2213210502362013/70368744177664,88,6576072641377181/70368744177664
4627312419553809/140737488355328,89,834564793599009/8796093022208
2415236896936597/70368744177664,90,6778099035951765/70368744177664
1258976281920545/35184372088832,91,3440407351428129/35184372088832
2621803210490385/70368744177664,92,6984665349505553/70368744177664
155/4,93,403/4
2832909443023377/70368744177664,94,7195771582038545/70368744177664
1470082514453537/35184372088832,95,3651513583961121/35184372088832
3048555594535573/70368744177664,96,7411417733550741/70368744177664
394760142488609/8796093022208,97,940117909865505/8796093022208
3268741665026973/70368744177664,98,7631603804042141/70368744177664
3380537169889875/70368744177664,99,7743399308905043/70368744177664
3493467654497577/70368744177664,100,7856329793512745/70368744177664
