a,b,c
9/8,5,41/8
5/2,6,13/2
33/8,7,65/8
6,8,10
65/8,9,97/8
21/2,10,29/2
105/8,11,137/8
16,12,20
153/8,13,185/8
45/2,14,53/2
209/8,15,241/8
30,16,34
273/8,17,305/8
77/2,18,85/2
345/8,19,377/8
48,20,52
425/8,21,457/8
117/2,22,125/2
513/8,23,545/8
70,24,74
609/8,25,641/8
165/2,26,173/2
713/8,27,745/8
96,28,100
825/8,29,857/8
221/2,30,229/2
945/8,31,977/8
126,32,130
1073/8,33,1105/8
285/2,34,293/2
1209/8,35,1241/8
160,36,164
1353/8,37,1385/8
357/2,38,365/2
1505/8,39,1537/8
198,40,202
1665/8,41,1697/8
437/2,42,445/2
1833/8,43,1865/8
240,44,244
2009/8,45,2041/8
525/2,46,533/2
2193/8,47,2225/8
286,48,290
2385/8,49,2417/8
621/2,50,629/2
2585/8,51,2617/8
336,52,340
2793/8,53,2825/8
725/2,54,733/2
3009/8,55,3041/8
390,56,394
3233/8,57,3265/8
837/2,58,845/2
3465/8,59,3497/8
448,60,452
3705/8,61,3737/8
957/2,62,965/2
3953/8,63,3985/8
510,64,514
4209/8,65,4241/8
1085/2,66,1093/2
4473/8,67,4505/8
576,68,580
4745/8,69,4777/8
1221/2,70,1229/2
5025/8,71,5057/8
646,72,650
5313/8,73,5345/8
1365/2,74,1373/2
5609/8,75,5641/8
720,76,724
5913/8,77,5945/8
1517/2,78,1525/2
6225/8,79,6257/8
798,80,802
6545/8,81,6577/8
1677/2,82,1685/2
6873/8,83,6905/8
880,84,884
7209/8,85,7241/8
1845/2,86,1853/2
7553/8,87,7585/8
966,88,970
7905/8,89,7937/8
2021/2,90,2029/2
8265/8,91,8297/8
1056,92,1060
8633/8,93,8665/8
2205/2,94,2213/2
9009/8,95,9041/8
1150,96,1154
9393/8,97,9425/8
2397/2,98,2405/2
9785/8,99,9817/8
1248,100,1252
