a,b,c
284181466871335/281474976710656,53,1865110031978181/35184372088832
286887957032015/140737488355328,54,7605237351509071/140737488355328
434391670789041/140737488355328,55,7752741065266097/140737488355328
584601874706747/140737488355328,56,7902951269183803/140737488355328
1475037137570265/281474976710656,57,2013966990815547/35184372088832
893141753024197/140737488355328,58,8211491147501253/140737488355328
1051471427423941/140737488355328,59,8369820821900997/140737488355328
303126897996091/35184372088832,60,2132714246615355/35184372088832
1376250246705467/140737488355328,61,8694599641182523/140737488355328
1542699391587249/140737488355328,62,8861048786064305/140737488355328
1711855026629711/140737488355328,63,564387776319173/8796093022208
470929287958213/35184372088832,64,2300516636577477/35184372088832
117/8,65,533/8
558890218180293/35184372088832,66,2388477566799557/35184372088832
2415542468406351/140737488355328,67,608368241430213/8796093022208
2598230554252209/140737488355328,68,619786246795579/8796093022208
2783625130258747/140737488355328,69,2525493631183951/35184372088832
742931549106491/35184372088832,70,2572518897725755/35184372088832
3162533752753861/140737488355328,71,2620220786807729/35184372088832
3356047799242437/140737488355328,72,2668599298429873/35184372088832
888067083972923/35184372088832,73,2717654432592187/35184372088832
3751195362701627/140737488355328,74,2767386189294671/35184372088832
3952828879672241/140737488355328,75,704448642134331/8796093022208
4157168886803535/140737488355328,76,717219892580037/8796093022208
1091053846023877/35184372088832,77,2920641194643141/35184372088832
65/2,78,169/2
1196606962290373/35184372088832,79,3026194310909637/35184372088832
5001593816935503/140737488355328,80,769996450713285/8796093022208
5219466274870193/140737488355328,81,783613479334203/8796093022208
1360011305741391/35184372088832,82,3189598654360655/35184372088832
1415832665305403/35184372088832,83,3245420013924667/35184372088832
1472330647409585/35184372088832,84,3301917996028849/35184372088832
1529505252053937/35184372088832,85,3359092600673201/35184372088832
1587356479238459/35184372088832,86,3416943827857723/35184372088832
1645884328963151/35184372088832,87,3475471677582415/35184372088832
3410177602456025/70368744177664,88,7069352299694553/70368744177664
3529939792066087/70368744177664,89,7189114489304615/70368744177664
1825527613378245/35184372088832,90,3655114961997509/35184372088832
429/8,91,845/8
1948672915689157/35184372088832,92,3778260264308421/35184372088832
4022521001309735/70368744177664,93,7681695698548263/70368744177664
4149049416321497/70368744177664,94,7808224113560025/70368744177664
2138465538206799/35184372088832,95,3968052886826063/35184372088832
2203082990793019/35184372088832,96,4032670339412283/35184372088832
2268377065919409/35184372088832,97,4097964414538673/35184372088832
2334347763585969/35184372088832,98,4163935112205233/35184372088832
2400995083792699/35184372088832,99,4230582432411963/35184372088832
2468319026539599/35184372088832,100,4297906375158863/35184372088832
