a,b,c
141728597428253/140737488355328,72,2533522567664135/35184372088832
285439413002355/140737488355328,73,2569450271557661/35184372088832
107783111680577/35184372088832,74,2605873529987649/35184372088832
289403849294055/70368744177664,75,5285584685908199/70368744177664
728465168599761/140737488355328,76,670051677614253/8796093022208
440052428378631/70368744177664,77,5436233264992775/70368744177664
1033726763060613/140737488355328,78,2756522109072225/35184372088832
594665443754907/70368744177664,79,5590846280369051/70368744177664
42091163440777/4398046511104,80,354352465729161/4398046511104
1506485790845765/140737488355328,81,2874711866018513/35184372088832
834018284866257/70368744177664,82,5830199121480401/70368744177664
915784783382557/70368744177664,83,5911965619996701/70368744177664
1997084781943563/140737488355328,84,2997361613792963/35184372088832
1082291107633931/70368744177664,85,6078471944248075/70368744177664
1167030933369005/70368744177664,86,6163211769983149/70368744177664
313190467044251/17592186044416,87,1562235676197787/17592186044416
167435489007241/8796093022208,88,791958093584009/8796093022208
1427197065011777/70368744177664,89,6423377901625921/70368744177664
3031802654077101/140737488355328,90,3256041081826347/35184372088832
1605596698138249/70368744177664,91,6601777534752393/70368744177664
3392566356621745/140737488355328,92,836558001865627/8796093022208
3575921535112841/140737488355328,93,1696035401042641/17592186044416
3761258931749787/140737488355328,94,3438405151244519/35184372088832
3948578546532583/140737488355328,95,1742617527470109/17592186044416
1034470094865307/35184372088832,96,3532560513172379/35184372088832
1082291107633931/35184372088832,97,3580381525941003/35184372088832
1130607674939017/35184372088832,98,3628698093246089/35184372088832
2358839593561131/70368744177664,99,7355020430175275/70368744177664
2457454946317153/70368744177664,100,7453635782931297/70368744177664
