a,b,c
72220553234971/70368744177664,20,1409226692610587/70368744177664
592578898338223/281474976710656,21,5940603455840687/281474976710656
455545028097509/140737488355328,22,3129557306848741/140737488355328
2488831373020537/562949953421312,23,1648110061003183/70368744177664
3185111578567949/562949953421312,24,3470290173393219/140737488355328
244438795564517/35184372088832,25,912941865252325/35184372088832
1166639706103377/140737488355328,26,3840651984854609/140737488355328
2725862932355827/281474976710656,27,8073887489858291/281474976710656
3133260924963355/281474976710656,28,8481285482465819/281474976710656
3555473390029339/281474976710656,29,8903497947531803/281474976710656
3992500327553779/281474976710656,30,2335131221264061/70368744177664
2222170868768337/140737488355328,31,4896183147519569/140737488355328
613874702497253/35184372088832,32,1282377772185061/35184372088832
5392467974877831/281474976710656,33,1342561566547537/35184372088832
5888752802236093/281474976710656,34,2809194339934639/70368744177664
3199926051026405/140737488355328,35,5873938329777637/140737488355328
432860367145499/17592186044416,36,767111901989403/17592186044416
1866623529765403/70368744177664,37,3203629669141019/70368744177664
57/2,38,95/2
2148098506476059/70368744177664,39,3485104645851675/70368744177664
573597855500827/17592186044416,40,907849390344731/17592186044416
4888775911290341/140737488355328,41,7562788190041573/140737488355328
2598088107401647/70368744177664,42,3935094246777263/70368744177664
5510983754545475/140737488355328,43,8184996033296707/140737488355328
1458299632629221/35184372088832,44,2126802702317029/35184372088832
6162820542717521/140737488355328,45,8836832821468753/140737488355328
6499849791147385/140737488355328,46,1146732758737327/17592186044416
6844286275806477/140737488355328,47,2379574638639427/35184372088832
7196129996694797/140737488355328,48,2467535568861507/35184372088832
7555380953812345/140737488355328,49,1278674154070447/17592186044416
495127446697445/8796093022208,50,662253214119397/8796093022208
2074026144183781/35184372088832,51,2742529213871589/35184372088832
2169394310635089/35184372088832,52,2837897380322897/35184372088832
4533228572287407/70368744177664,53,5870234711663023/70368744177664
4731372141419251/70368744177664,54,6068378280794867/70368744177664
1233304832166427/17592186044416,55,1567556367010331/17592186044416
5138770134026779/70368744177664,56,6475776273402395/70368744177664
76,57,95
5560982599092763/70368744177664,58,6897988738468379/70368744177664
1444411064699419/17592186044416,59,1778662599543323/17592186044416
5998009536617203/70368744177664,60,7335015675992819/70368744177664
6222078432551343/70368744177664,61,7559084571926959/70368744177664
3224925473300049/35184372088832,62,3893428542987857/35184372088832
3340663539381733/35184372088832,63,4009166609069541/35184372088832
864563353630181/8796093022208,64,1031689121052133/8796093022208
7155390197434045/70368744177664,65,8492396336809661/70368744177664
7397977183941255/70368744177664,66,8734983323316871/70368744177664
7644267788563079/70368744177664,67,8981273927938695/70368744177664
7894262011299517/70368744177664,68,2307817037668783/17592186044416
1018494981518821/8796093022208,69,1185620748940773/8796093022208
4202680655558117/35184372088832,70,4871183725245925/35184372088832
4333233194098257/35184372088832,71,5001736263786065/35184372088832
558204692711963/4398046511104,72,641767576422939/4398046511104
4599893698350457/35184372088832,73,5268396768038265/35184372088832
2368000832031259/17592186044416,74,2702252366875163/17592186044416
4873961438831885/35184372088832,75,5542464508519693/35184372088832
285/2,76,323/2
5155436415542541/35184372088832,77,5823939485230349/35184372088832
2649475808741915/17592186044416,78,2983727343585819/17592186044416
5444318628482425/35184372088832,79,6112821698170233/35184372088832
698942181067291/4398046511104,80,782505064778267/4398046511104
5740608077651537/35184372088832,81,6409111147339345/35184372088832
5891530515822053/35184372088832,82,6560033585509861/35184372088832
1511076190762469/8796093022208,83,1678201958184421/8796093022208
3099465409667503/17592186044416,84,3433716944511407/17592186044416
6355408684677443/35184372088832,85,7023911754365251/35184372088832
6513738359077187/35184372088832,86,7182241428764995/35184372088832
3336959921267119/17592186044416,87,3671211456111023/17592186044416
1708988283762149/8796093022208,88,1876114051184101/8796093022208
6999838236620261/35184372088832,89,7668341306308069/35184372088832
7165575147249233/35184372088832,90,7834078216937041/35184372088832
916645483366939/4398046511104,91,1000208367077915/4398046511104
7502604395679097/35184372088832,92,8171107465366905/35184372088832
3836948366739995/17592186044416,93,4171199901583899/17592186044416
7847040880338189/35184372088832,94,8515543950025997/35184372088832
228,95,247
8198884601226509/35184372088832,96,8867387670914317/35184372088832
4188792087628315/17592186044416,97,4523043622472219/17592186044416
8558135558344057/35184372088832,98,1153329828503983/4398046511104
1092567343811099/4398046511104,99,1176130227522075/4398046511104
557799609480677/2199023255552,100,599581051336165/2199023255552
