a,b,c
284747941556129/281474976710656,44,387130373128573/8796093022208
576041812803203/281474976710656,45,3169866452840353/70368744177664
873881613741223/281474976710656,46,1622163201537429/35184372088832
294566836092547/70368744177664,47,3320422835732099/70368744177664
1489199004690099/281474976710656,48,3398155750812077/70368744177664
1806676594700955/281474976710656,49,3477525148314791/70368744177664
532675028600689/70368744177664,50,3558531028240241/70368744177664
153829347737219/17592186044416,51,910293347647107/17592186044416
699596235719799/70368744177664,52,3725452235359351/70368744177664
1571023125826917/140737488355328,53,7622735125106021/140737488355328
1746126745059709/140737488355328,54,7797838744338813/140737488355328
962251664568987/70368744177664,55,3988107664208539/70368744177664
2106152878061711/140737488355328,56,8157864877340815/140737488355328
2291075391830921/140737488355328,57,8342787391110025/140737488355328
619817717611401/35184372088832,58,2132745717431177/35184372088832
2670739313905759/140737488355328,59,8722451313184863/140737488355328
716370180552847/35184372088832,60,2229298180372623/35184372088832
3063495095362489/140737488355328,61,1139400886830199/17592186044416
1632391216679531/70368744177664,62,4658247216319083/70368744177664
3469342736201109/140737488355328,63,2380263683870053/35184372088832
919294000972157/35184372088832,64,2432222000791933/35184372088832
972070559105405/35184372088832,65,2484998558925181/35184372088832
4102661433800085/140737488355328,66,2538593358269797/35184372088832
2160156798012011/70368744177664,67,5186012797651563/70368744177664
4541238723093433/140737488355328,68,1324118840296567/17592186044416
1191359203752079/35184372088832,69,2704287203571855/35184372088832
4992907871768671/140737488355328,70,345144370970243/4398046511104
1305912973343625/35184372088832,71,2818840973163401/35184372088832
5457668879825801/140737488355328,72,1438672609888113/17592186044416
5694958831122575/140737488355328,73,734166926900105/8796093022208
2967760873632411/70368744177664,74,5993616873271963/70368744177664
3089678814126271/70368744177664,75,6115534813765823/70368744177664
3213233237042867/70368744177664,76,6239089236682419/70368744177664
3338424142382199/70368744177664,77,6364280142021751/70368744177664
866312882536067/17592186044416,78,1622776882445955/17592186044416
3593715400329073/70368744177664,79,6619571399968625/70368744177664
3723815752936615/70368744177664,80,6749671752576167/70368744177664
3855552587966893/70368744177664,81,6881408587606445/70368744177664
3988925905419907/70368744177664,82,7014781905059459/70368744177664
2061967852647829/35184372088832,83,3574895852467605/35184372088832
4260581987594145/70368744177664,84,7286437987233697/70368744177664
549858094039421/8796093022208,85,928090093994365/8796093022208
129/2,86,215/2
585042466128253/8796093022208,87,963274466083197/8796093022208
4823531941015457/70368744177664,88,7849387940655009/70368744177664
2484180317713813/35184372088832,89,3997108317533589/35184372088832
5114825812262531/70368744177664,90,8140681811902083/70368744177664
5262927471520173/70368744177664,91,8288783471159725/70368744177664
5412665613200551/70368744177664,92,8438521612840103/70368744177664
5564040237303665/70368744177664,93,8589896236943217/70368744177664
1429262835957379/17592186044416,94,2185726835867267/17592186044416
5871698932778103/70368744177664,95,8897554932417655/70368744177664
6027983004149427/70368744177664,96,2263459750947245/17592186044416
6185903557943487/70368744177664,97,143933743087235/1099511627776
6345460594160283/70368744177664,98,2342829148449959/17592186044416
6506654112799815/70368744177664,99,1191563764054921/8796093022208
1667371028465521/17592186044416,100,2423835028375409/17592186044416
