a,b,c,k,b^2/k
1.015625,33,33.015625,32,34.03125
2.0625,34,34.0625,32,36.125
3.140625,35,35.140625,32,38.28125
4.25,36,36.25,32,40.5
5.390625,37,37.390625,32,42.78125
6.5625,38,38.5625,32,45.125
7.765625,39,39.765625,32,47.53125
9.0,40,41.0,32,50.0
10.265625,41,42.265625,32,52.53125
11.5625,42,43.5625,32,55.125
12.890625,43,44.890625,32,57.78125
14.25,44,46.25,32,60.5
15.640625,45,47.640625,32,63.28125
17.0625,46,49.0625,32,66.125
18.515625,47,50.515625,32,69.03125
20.0,48,52.0,32,72.0
21.515625,49,53.515625,32,75.03125
23.0625,50,55.0625,32,78.125
24.640625,51,56.640625,32,81.28125
26.25,52,58.25,32,84.5
27.890625,53,59.890625,32,87.78125
29.5625,54,61.5625,32,91.125
31.265625,55,63.265625,32,94.53125
33.0,56,65.0,32,98.0
34.765625,57,66.765625,32,101.53125
36.5625,58,68.5625,32,105.125
38.390625,59,70.390625,32,108.78125
40.25,60,72.25,32,112.5
42.140625,61,74.140625,32,116.28125
44.0625,62,76.0625,32,120.125
46.015625,63,78.015625,32,124.03125
48.0,64,80.0,32,128.0
50.015625,65,82.015625,32,132.03125
52.0625,66,84.0625,32,136.125
54.140625,67,86.140625,32,140.28125
56.25,68,88.25,32,144.5
58.390625,69,90.390625,32,148.78125
60.5625,70,92.5625,32,153.125
62.765625,71,94.765625,32,157.53125
65.0,72,97.0,32,162.0
67.265625,73,99.265625,32,166.53125
69.5625,74,101.5625,32,171.125
71.890625,75,103.890625,32,175.78125
74.25,76,106.25,32,180.5
76.640625,77,108.640625,32,185.28125
79.0625,78,111.0625,32,190.125
81.515625,79,113.515625,32,195.03125
84.0,80,116.0,32,200.0
86.515625,81,118.515625,32,205.03125
89.0625,82,121.0625,32,210.125
91.640625,83,123.640625,32,215.28125
94.25,84,126.25,32,220.5
96.890625,85,128.890625,32,225.78125
99.5625,86,131.5625,32,231.125
102.265625,87,134.265625,32,236.53125
105.0,88,137.0,32,242.0
107.765625,89,139.765625,32,247.53125
110.5625,90,142.5625,32,253.125
113.390625,91,145.390625,32,258.78125
116.25,92,148.25,32,264.5
119.140625,93,151.140625,32,270.28125
122.0625,94,154.0625,32,276.125
125.015625,95,157.015625,32,282.03125
128.0,96,160.0,32,288.0
131.015625,97,163.015625,32,294.03125
134.0625,98,166.0625,32,300.125
137.140625,99,169.140625,32,306.28125
140.25,100,172.25,32,312.5
