a,b,c,k,b^2/k
1.041666666666667,13,13.041666666666668,12,14.083333333333334
2.166666666666666,14,14.166666666666666,12,16.333333333333332
3.375,15,15.375,12,18.75
4.666666666666666,16,16.666666666666664,12,21.333333333333332
6.041666666666666,17,18.041666666666664,12,24.083333333333332
7.5,18,19.5,12,27.0
9.041666666666666,19,21.041666666666664,12,30.083333333333332
10.666666666666668,20,22.666666666666668,12,33.333333333333336
12.375,21,24.375,12,36.75
14.166666666666668,22,26.166666666666668,12,40.333333333333336
16.041666666666668,23,28.041666666666668,12,44.083333333333336
18.0,24,30.0,12,48.0
20.041666666666668,25,32.04166666666667,12,52.083333333333336
22.166666666666668,26,34.16666666666667,12,56.333333333333336
24.375,27,36.375,12,60.75
26.666666666666664,28,38.666666666666664,12,65.33333333333333
29.041666666666664,29,41.041666666666664,12,70.08333333333333
31.5,30,43.5,12,75.0
34.041666666666664,31,46.041666666666664,12,80.08333333333333
36.666666666666664,32,48.666666666666664,12,85.33333333333333
39.375,33,51.375,12,90.75
42.166666666666664,34,54.166666666666664,12,96.33333333333333
45.041666666666664,35,57.041666666666664,12,102.08333333333333
48.0,36,60.0,12,108.0
51.041666666666664,37,63.041666666666664,12,114.08333333333333
54.166666666666664,38,66.16666666666666,12,120.33333333333333
57.375,39,69.375,12,126.75
60.66666666666667,40,72.66666666666667,12,133.33333333333334
64.04166666666667,41,76.04166666666667,12,140.08333333333334
67.5,42,79.5,12,147.0
71.04166666666667,43,83.04166666666667,12,154.08333333333334
74.66666666666667,44,86.66666666666667,12,161.33333333333334
78.375,45,90.375,12,168.75
82.16666666666667,46,94.16666666666667,12,176.33333333333334
86.04166666666667,47,98.04166666666667,12,184.08333333333334
90.0,48,102.0,12,192.0
94.04166666666667,49,106.04166666666667,12,200.08333333333334
98.16666666666667,50,110.16666666666667,12,208.33333333333334
102.375,51,114.375,12,216.75
106.66666666666667,52,118.66666666666667,12,225.33333333333334
111.04166666666667,53,123.04166666666667,12,234.08333333333334
115.5,54,127.5,12,243.0
120.04166666666667,55,132.04166666666669,12,252.08333333333334
124.66666666666666,56,136.66666666666666,12,261.3333333333333
129.375,57,141.375,12,270.75
134.16666666666666,58,146.16666666666666,12,280.3333333333333
139.04166666666666,59,151.04166666666666,12,290.0833333333333
144.0,60,156.0,12,300.0
149.04166666666666,61,161.04166666666666,12,310.0833333333333
154.16666666666666,62,166.16666666666666,12,320.3333333333333
159.375,63,171.375,12,330.75
164.66666666666666,64,176.66666666666666,12,341.3333333333333
170.04166666666666,65,182.04166666666666,12,352.0833333333333
175.5,66,187.5,12,363.0
181.04166666666666,67,193.04166666666666,12,374.0833333333333
186.66666666666666,68,198.66666666666666,12,385.3333333333333
192.375,69,204.375,12,396.75
198.16666666666666,70,210.16666666666666,12,408.3333333333333
204.04166666666666,71,216.04166666666666,12,420.0833333333333
210.0,72,222.0,12,432.0
216.04166666666666,73,228.04166666666666,12,444.0833333333333
222.16666666666666,74,234.16666666666666,12,456.3333333333333
228.375,75,240.375,12,468.75
234.66666666666666,76,246.66666666666666,12,481.3333333333333
241.04166666666666,77,253.04166666666666,12,494.0833333333333
247.5,78,259.5,12,507.0
254.04166666666669,79,266.0416666666667,12,520.0833333333334
260.6666666666667,80,272.6666666666667,12,533.3333333333334
267.375,81,279.375,12,546.75
274.1666666666667,82,286.1666666666667,12,560.3333333333334
281.0416666666667,83,293.0416666666667,12,574.0833333333334
288.0,84,300.0,12,588.0
295.0416666666667,85,307.0416666666667,12,602.0833333333334
302.1666666666667,86,314.1666666666667,12,616.3333333333334
309.375,87,321.375,12,630.75
316.6666666666667,88,328.6666666666667,12,645.3333333333334
324.0416666666667,89,336.0416666666667,12,660.0833333333334
331.5,90,343.5,12,675.0
339.0416666666667,91,351.0416666666667,12,690.0833333333334
346.6666666666667,92,358.6666666666667,12,705.3333333333334
354.375,93,366.375,12,720.75
362.1666666666667,94,374.1666666666667,12,736.3333333333334
370.0416666666667,95,382.0416666666667,12,752.0833333333334
378.0,96,390.0,12,768.0
386.0416666666667,97,398.0416666666667,12,784.0833333333334
394.1666666666667,98,406.1666666666667,12,800.3333333333334
402.375,99,414.375,12,816.75
410.6666666666667,100,422.6666666666667,12,833.3333333333334
