a,b,c
285083630258229/281474976710656,40,2815651930493453/70368744177664
288692283805801/140737488355328,41,5777454329663593/140737488355328
876902812060121/281474976710656,42,1481803362971963/35184372088832
147954795450473/35184372088832,43,1520145306914921/35184372088832
1497591222242593/281474976710656,44,389847353561193/8796093022208
909380693988273/140737488355328,45,6398142739846065/140737488355328
2147148860805645/281474976710656,46,3281168238130307/70368744177664
2482753640729889/281474976710656,47,420633679138921/8796093022208
1412787863874639/140737488355328,48,6901549909732431/140737488355328
3175615121863811/281474976710656,49,3538284803394849/70368744177664
1766435911536745/140737488355328,50,7255197957394537/140737488355328
1948672915689157/140737488355328,51,7437434961546949/140737488355328
2134518573389141/140737488355328,52,7623280619246933/140737488355328
1161986442318349/70368744177664,53,3906367465247245/70368744177664
629258962357957/35184372088832,54,2001449473822405/35184372088832
1356853733887265/70368744177664,55,4101234756816161/70368744177664
728496934916201/35184372088832,56,2100687446380649/35184372088832
3117876665102651/140737488355328,57,8606638710960443/140737488355328
3325374244088071/140737488355328,58,8814136289945863/140737488355328
3536480476621063/140737488355328,59,1128155315309857/17592186044416
3751195362701627/140737488355328,60,2309989352139855/35184372088832
992379725582441/35184372088832,61,2364570237046889/35184372088832
2095725547752737/70368744177664,62,4840106570681633/70368744177664
1104247985557189/35184372088832,63,2476438497021637/35184372088832
2323070721249805/70368744177664,64,5067451744178701/70368744177664
4878899596318037/140737488355328,65,2591915410543957/35184372088832
5115266403684037/140737488355328,66,2651007112385457/35184372088832
5355241864597609/140737488355328,67,1355500488806925/17592186044416
2799412989529377/70368744177664,68,5543794012458273/70368744177664
5846018747067471/140737488355328,69,708423799557829/8796093022208
381051260538985/8796093022208,70,724098888405097/8796093022208
3175615121863811/70368744177664,71,5919996144792707/70368744177664
3304624486189529/70368744177664,72,6049005509118425/70368744177664
429429772161129/8796093022208,73,772477400027241/8796093022208
1784028097581161/35184372088832,74,3156218609045609/35184372088832
1851239269904699/35184372088832,75,3223429781369147/35184372088832
3838705211230261/70368744177664,76,6583086234159157/70368744177664
3976736209424909/70368744177664,77,6721117232353805/70368744177664
117/2,78,195/2
4258211186135565/70368744177664,79,7002592209064461/70368744177664
4401655164651573/70368744177664,80,7146036187580469/70368744177664
2273451734970683/35184372088832,81,3645642246435131/35184372088832
2346978051002473/35184372088832,82,3719168562466921/35184372088832
605351632605289/8796093022208,83,948399260471401/8796093022208
4993474346453465/70368744177664,84,7737855369382361/70368744177664
5145939958838403/70368744177664,85,7890320981767299/70368744177664
662526237249641/8796093022208,86,1005573865115753/8796093022208
5456284163929639/70368744177664,87,8200665186858535/70368744177664
5614162756635937/70368744177664,88,8358543779564833/70368744177664
5773845676116021/70368744177664,89,8518226699044917/70368744177664
2967666461184945/35184372088832,90,4339856972649393/35184372088832
6098624495397547/70368744177664,91,8843005518326443/70368744177664
6263720395198989/70368744177664,92,2252025354531971/17592186044416
3215310310887109/35184372088832,93,4587500822351557/35184372088832
6599325175123233/70368744177664,94,291990818689129/2199023255552
3384917027623017/35184372088832,95,4757107539087465/35184372088832
3471073631071311/35184372088832,96,4843264142535759/35184372088832
7116264795812995/70368744177664,97,2465161454685473/17592186044416
7292186656257155/70368744177664,98,2509141919796513/17592186044416
3734956421737551/35184372088832,99,5107146933201999/35184372088832
3824721678733417/35184372088832,100,5196912190197865/35184372088832
