a,b,c
141537133175529/140737488355328,89,1565804513555549/17592186044416
284673555991459/140737488355328,90,3167393132815081/35184372088832
429409268447791/140737488355328,91,800894265232291/8796093022208
143936067636131/35184372088832,92,3240160811453347/35184372088832
361839281140829/70368744177664,93,6554288768775261/70368744177664
436606071829597/70368744177664,94,6629055559464029/70368744177664
256086253669283/35184372088832,95,3352310997486499/35184372088832
1177077175335471/140737488355328,96,847623509412771/8796093022208
1331408625634211/140737488355328,97,3429076900225769/35184372088832
1487339365573353/140737488355328,98,1734029792605277/17592186044416
187/16,99,1595/16
1803998714372841/140737488355328,100,1773612211205213/17592186044416
