a,b,c
285384351387193/281474976710656,37,1302310439121351/35184372088832
144646863031865/70368744177664,38,2677921653427769/70368744177664
25/8,39,313/8
594224950833607/140737488355328,40,5660774531625415/140737488355328
752554625233351/140737488355328,41,5819104206025159/140737488355328
13/2,42,85/2
540471049031225/70368744177664,43,3073745839427129/70368744177664
2501999792983609/281474976710656,44,1579387369320903/35184372088832
81/8,45,369/8
3205687234760249/281474976710656,46,1667348299542983/35184372088832
892314769919545/70368744177664,47,3425589560315449/70368744177664
14,48,50
2159929508786631/140737488355328,49,7226479089578439/140737488355328
2353443555275207/140737488355328,50,7419993136067015/140737488355328
145/8,51,433/8
1376099886140985/70368744177664,52,3909374676536889/70368744177664
739360485700039/35184372088832,53,2005997880897991/35184372088832
45/2,54,117/2
844913601966535/35184372088832,55,2111550997164487/35184372088832
1798312351206969/70368744177664,56,4331587141602873/70368744177664
217/8,57,505/8
4042293415539143/140737488355328,58,1138605374541369/17592186044416
4270991834116551/140737488355328,59,1167192676863545/17592186044416
32,60,68
2370058397650489/70368744177664,61,4903333188046393/70368744177664
1245135834476999/35184372088832,62,2511773229674951/35184372088832
297/8,63,585/8
1368281136787911/35184372088832,64,2634918531985863/35184372088832
2862639606894137/70368744177664,65,5395914397290041/70368744177664
85/2,66,157/2
6241316671091143/140737488355328,67,1413483281485369/17592186044416
813149932719673/17592186044416,68,1446468630318649/17592186044416
385/8,69,673/8
3522346583559737/70368744177664,70,6055621373955641/70368744177664
1830076020453831/35184372088832,71,3096713415651783/35184372088832
54,72,90
1970813508809159/35184372088832,73,3237450904007111/35184372088832
4085296536981049/70368744177664,74,6618571327376953/70368744177664
481/8,75,769/8
1094624909430329/17592186044416,76,1727943607029305/17592186044416
1132008304774713/17592186044416,77,1765327002373689/17592186044416
133/2,78,205/2
4832964443868729/70368744177664,79,7366239234264633/70368744177664
2494181043630535/35184372088832,80,3760818438828487/35184372088832
585/8,81,873/8
2652510718030279/35184372088832,82,3919148113228231/35184372088832
5466283141467705/70368744177664,83,7999557931863609/70368744177664
80,84,116
1448667653574201/17592186044416,85,2081986351173177/17592186044416
1490449095429689/17592186044416,86,2123767793028665/17592186044416
697/8,87,985/8
6301911978577465/70368744177664,88,8835186768973369/70368744177664
3237450904007111/35184372088832,89,4504088299205063/35184372088832
189/2,90,261/2
3413372764451271/35184372088832,91,4680010159649223/35184372088832
7005599420354105/70368744177664,92,1192359276343751/8796093022208
817/8,93,1105/8
1842292816318009/17592186044416,94,2475611513916985/17592186044416
1888472304684601/17592186044416,95,2521791002283577/17592186044416
110,96,146
991148648460743/8796093022208,97,1307807997260231/8796093022208
4059885601583559/35184372088832,98,5326522996781511/35184372088832
945/8,99,1233/8
4253399648072135/35184372088832,100,5520037043270087/35184372088832
