a,b,c
603160664379977/562949953421312,8,4543810338329161/562949953421312
2573485501354569/1125899906842624,9,1306848106156617/140737488355328
4101492517783845/1125899906842624,10,2995697966420553/281474976710656
1447585594511945/281474976710656,11,3417910431486537/281474976710656
3820017541073189/562949953421312,12,7760667215022373/562949953421312
4825285315039817/562949953421312,13,8765934988989001/562949953421312
21/2,14,35/2
3538542564362533/281474976710656,15,5508867401337125/281474976710656
2080904292110921/140737488355328,16,3066066710598217/140737488355328
4825285315039817/281474976710656,17,6795610152014409/281474976710656
5528972756816457/281474976710656,18,7499297593791049/281474976710656
3136435454775881/140737488355328,19,4121597873263177/140737488355328
7056979773245733/281474976710656,20,2256826152555081/70368744177664
28,21,35
2186457408377417/70368744177664,22,2679038617621065/70368744177664
4825285315039817/140737488355328,23,5810447733527113/140737488355328
5297761168804133/140737488355328,24,6282923587291429/140737488355328
5790342378047781/140737488355328,25,6775504796535077/140737488355328
6303028942770761/140737488355328,26,7288191361258057/140737488355328
3417910431486537/70368744177664,27,3910491640730185/70368744177664
105/2,28,119/2
3980860384907849/70368744177664,29,4473441594151497/70368744177664
4277414378228005/70368744177664,30,4769995587471653/70368744177664
2292010524643913/35184372088832,31,2538301129265737/35184372088832
2450340199043657/35184372088832,32,2696630803665481/35184372088832
5227392424626469/70368744177664,33,5719973633870117/70368744177664
5564157128905289/70368744177664,34,6056738338148937/70368744177664
84,35,91
6267844570681929/70368744177664,36,6760425779925577/70368744177664
6634767308179749/70368744177664,37,7127348517423397/70368744177664
3505871361708617/35184372088832,38,3752161966330441/35184372088832
3699385408197193/35184372088832,39,3945676012819017/35184372088832
7795851587111205/70368744177664,40,8288432796354853/70368744177664
8202985035567689/70368744177664,41,8695566244811337/70368744177664
245/2,42,259/2
4523704982849829/35184372088832,43,4769995587471653/35184372088832
2371175361843785/17592186044416,44,2494320664154697/17592186044416
4966022803395145/35184372088832,45,5212313408016969/35184372088832
5194721221972553/35184372088832,46,5441011826594377/35184372088832
2714222989709897/17592186044416,47,2837368292020809/17592186044416
5667197075736869/35184372088832,48,5913487680358693/35184372088832
168,49,175
6159778284980517/35184372088832,50,6406068889602341/35184372088832
3206804198953545/17592186044416,51,3329949501264457/17592186044416
6672464849703497/35184372088832,52,6918755454325321/35184372088832
6936347640369737/35184372088832,53,7182638244991561/35184372088832
3602628384952905/17592186044416,54,3725773687263817/17592186044416
7479192238311717/35184372088832,55,7725482842933541/35184372088832
441/2,56,455/2
8042142191733029/35184372088832,57,8288432796354853/35184372088832
4165578338374217/17592186044416,58,4288723640685129/17592186044416
8625197500633673/35184372088832,59,8871488105255497/35184372088832
4462132331694373/17592186044416,60,4585277634005285/17592186044416
4614179082506825/17592186044416,61,4737324384817737/17592186044416
2384369501377097/8796093022208,62,2445942152532553/8796093022208
280,63,287
2542699175776841/8796093022208,64,2604271826932297/8796093022208
5247497780105801/17592186044416,65,5370643082416713/17592186044416
5412110378092837/17592186044416,66,5535255680403749/17592186044416
5579236145514789/17592186044416,67,5702381447825701/17592186044416
5748875082371657/17592186044416,68,5872020384682569/17592186044416
2960513594331721/8796093022208,69,3022086245487177/8796093022208
693/2,70,707/2
3136435454775881/8796093022208,71,3198008105931337/8796093022208
6452562524148297/17592186044416,72,6575707826459209/17592186044416
6634767308179749/17592186044416,73,6757912610490661/17592186044416
6819485261646117/17592186044416,74,6942630563957029/17592186044416
7006716384547401/17592186044416,75,7129861686858313/17592186044416
3598230338441801/8796093022208,76,3659802989597257/8796093022208
420,77,427
3791744384930377/8796093022208,78,3853317036085833/8796093022208
7780772570501705/17592186044416,79,7903917872812617/17592186044416
7980569540577573/17592186044416,80,8103714842888485/17592186044416
8182879680088357/17592186044416,81,8306024982399269/17592186044416
8387702989034057/17592186044416,82,8510848291344969/17592186044416
4297519733707337/8796093022208,83,4359092384862793/8796093022208
1001/2,84,1015/2
4508625966240329/8796093022208,85,4570198617395785/8796093022208
4616063959583013/8796093022208,86,4677636610738469/8796093022208
2362379268821577/4398046511104,87,2393165594399305/4398046511104
2417354850210377/4398046511104,88,2448141175788105/4398046511104
4945917447915813/8796093022208,89,5007490099071269/8796093022208
5058381780128329/8796093022208,90,5119954431283785/8796093022208
588,91,595
5287080198705737/8796093022208,92,5348652849861193/8796093022208
5403314285070629/8796093022208,93,5464886936226085/8796093022208
2760402478076489/4398046511104,94,2791188803654217/4398046511104
2819776105976393/4398046511104,95,2850562431554121/4398046511104
5759556052470053/8796093022208,96,5821128703625509/8796093022208
5880816477704777/8796093022208,97,5942389128860233/8796093022208
1365/2,98,1379/2
6127107082326601/8796093022208,99,6188679733482057/8796093022208
6252137261713701/8796093022208,100,6313709912869157/8796093022208
