a,b,c
142234695678257/140737488355328,48,6756896648378673/140737488355328
71865951500593/35184372088832,49,1725531439675697/35184372088832
435687330972345/140737488355328,50,7050349283672761/140737488355328
1173810541176353/281474976710656,51,450097951455537/8796093022208
1482235249699731/281474976710656,52,3677889788775141/70368744177664
898324393757413/140737488355328,53,7512986346457829/140737488355328
529262788655409/70368744177664,54,3836593765005617/70368744177664
1221721175510081/140737488355328,55,7836383128210497/140737488355328
1387911188355203/140737488355328,56,8002573141055619/140737488355328
778547807923091/70368744177664,57,4085878784273299/70368744177664
432318614495755/35184372088832,58,2085984102670859/35184372088832
1904447714765715/140737488355328,59,8519109667466131/140737488355328
2082615386194269/140737488355328,60,8697277338894685/140737488355328
282972184033585/17592186044416,61,1109804928121137/17592186044416
1223966986494475/70368744177664,62,4531297962844683/70368744177664
2635084888355077/140737488355328,63,2312436710263873/35184372088832
2825230218367063/140737488355328,64,1179986521383435/17592186044416
3018369963024907/140737488355328,65,2408257978931331/35184372088832
3214504122328609/140737488355328,66,307161439844657/4398046511104
3413632696278169/140737488355328,67,1253536831122323/17592186044416
1807877842436793/70368744177664,68,5115208818787001/70368744177664
1910436544057431/70368744177664,69,5217767520407639/70368744177664
1007246226500499/35184372088832,70,2660911714675603/35184372088832
1060022784633747/35184372088832,71,2713688272808851/35184372088832
2227095892856919/70368744177664,72,5534426869207127/70368744177664
2335643423769273/70368744177664,73,5642974400119481/70368744177664
4891376324009113/140737488355328,74,1438254784588691/17592186044416
5114460215125537/140737488355328,75,366535067744561/4398046511104
5340538520887819/140737488355328,76,2988800118397059/35184372088832
5569611241295959/140737488355328,77,1523034149249547/17592186044416
2900839188174979/70368744177664,78,6208170164525187/70368744177664
3018369963024907/70368744177664,79,6325700939375115/70368744177664
784349486299441/17592186044416,80,1611182230386993/17592186044416
1628961567346775/35184372088832,81,3282627055521879/35184372088832
1689972765756133/35184372088832,82,3343638253931237/35184372088832
1751732567826955/35184372088832,83,3405398056002059/35184372088832
3628481947118483/70368744177664,84,6935812923468691/70368744177664
3754995965905985/70368744177664,85,7062326942256193/70368744177664
3883007192016417/70368744177664,86,7190338168366625/70368744177664
4012515625449777/70368744177664,87,7319846601799985/70368744177664
2071760633103033/35184372088832,88,3725426121278137/35184372088832
4276024114285285/70368744177664,89,7583355090635493/70368744177664
551253021210929/8796093022208,90,964669393254705/8796093022208
4545521432412509/70368744177664,91,7852852408762717/70368744177664
2341257951230257/35184372088832,92,3994923439405361/35184372088832
4821007579831449/70368744177664,93,8128338556181657/70368744177664
141/2,94,235/2
5102482556542105/70368744177664,95,8409813532892313/70368744177664
2622732927940913/35184372088832,96,4276398416116017/35184372088832
5389946362544477/70368744177664,97,8697277338894685/70368744177664
691990509566257/8796093022208,98,1105406881610033/8796093022208
5683398997838565/70368744177664,99,8990729974188773/70368744177664
2916185563235001/35184372088832,100,4569851051410105/35184372088832
