a,b,c
144646863031865/140737488355328,19,2677921653427769/140737488355328
594224950833607/281474976710656,20,5660774531625415/281474976710656
13/4,21,85/4
2501999792983609/562949953421312,22,1579387369320903/70368744177664
3205687234760249/562949953421312,23,1667348299542983/70368744177664
7,24,25
2353443555275207/281474976710656,25,7419993136067015/281474976710656
1376099886140985/140737488355328,26,3909374676536889/140737488355328
45/4,27,117/4
1798312351206969/140737488355328,28,4331587141602873/140737488355328
4042293415539143/281474976710656,29,1138605374541369/35184372088832
16,30,34
1245135834476999/70368744177664,31,2511773229674951/70368744177664
1368281136787911/70368744177664,32,2634918531985863/70368744177664
85/4,33,157/4
813149932719673/35184372088832,34,1446468630318649/35184372088832
3522346583559737/140737488355328,35,6055621373955641/140737488355328
27,36,45
4085296536981049/140737488355328,37,6618571327376953/140737488355328
1094624909430329/35184372088832,38,1727943607029305/35184372088832
133/4,39,205/4
2494181043630535/70368744177664,40,3760818438828487/70368744177664
2652510718030279/70368744177664,41,3919148113228231/70368744177664
40,42,58
1490449095429689/35184372088832,43,2123767793028665/35184372088832
6301911978577465/140737488355328,44,8835186768973369/140737488355328
189/4,45,261/4
7005599420354105/140737488355328,46,1192359276343751/17592186044416
1842292816318009/35184372088832,47,2475611513916985/35184372088832
55,48,73
4059885601583559/70368744177664,49,5326522996781511/70368744177664
4253399648072135/70368744177664,50,5520037043270087/70368744177664
253/4,51,325/4
2326077932539449/35184372088832,52,2959396630138425/35184372088832
1214349508899271/17592186044416,53,1531008857698759/17592186044416
72,54,90
1319902625165767/17592186044416,55,1636561973965255/17592186044416
2748290397605433/35184372088832,56,3381609095204409/35184372088832
325/4,57,397/4
5942249508336071/70368744177664,58,7208886903534023/70368744177664
6170947926913479/70368744177664,59,7437585322111431/70368744177664
91,60,109
3320036444048953/35184372088832,61,3953355141647929/35184372088832
1720124857676231/17592186044416,62,2036784206475719/17592186044416
405/4,63,477/4
1843270159987143/17592186044416,64,2159929508786631/17592186044416
3812617653292601/35184372088832,65,4445936350891577/35184372088832
112,66,130
8141272763888071/70368744177664,67,1175988769885753/8796093022208
1050644444319289/8796093022208,68,1208974118719033/8796093022208
493/4,69,565/4
4472324629958201/35184372088832,70,5105643327557177/35184372088832
2305065043653063/17592186044416,71,2621724392452551/17592186044416
135,72,153
2445802532008391/17592186044416,73,2762461880807879/17592186044416
5035274583379513/35184372088832,74,5668593280978489/35184372088832
589/4,75,661/4
1332119421029945/8796093022208,76,1490449095429689/8796093022208
1369502816374329/8796093022208,77,1527832490774073/8796093022208
160,78,178
5782942490267193/35184372088832,79,6416261187866169/35184372088832
2969170066829767/17592186044416,80,3285829415629255/17592186044416
693/4,81,765/4
3127499741229511/17592186044416,82,3444159090028999/17592186044416
6416261187866169/35184372088832,83,7049579885465145/35184372088832
187,84,205
1686162165173817/8796093022208,85,1844491839573561/8796093022208
1727943607029305/8796093022208,86,1886273281429049/8796093022208
805/4,87,877/4
7251890024975929/35184372088832,88,7885208722574905/35184372088832
3712439927206343/17592186044416,89,4029099276005831/17592186044416
216,90,234
3888361787650503/17592186044416,91,4205021136449991/17592186044416
7955577466752569/35184372088832,92,8588896164351545/35184372088832
925/4,93,997/4
2079787327917625/8796093022208,94,2238117002317369/8796093022208
2125966816284217/8796093022208,95,2284296490683961/8796093022208
247,96,265
1109895904260551/4398046511104,97,1189060741460423/4398046511104
4534874624782791/17592186044416,98,4851533973582279/17592186044416
1053/4,99,1125/4
4728388671271367/17592186044416,100,5045048020070855/17592186044416
