a,b,c
141595643772129/140737488355328,83,365064677778407/4398046511104
284907598377859/140737488355328,84,2956345410878689/35184372088832
429935863817191/140737488355328,85,1496301238619261/17592186044416
144170110022531/35184372088832,86,3029288621306755/35184372088832
181285331799165/35184372088832,87,3066403843083389/35184372088832
218829631284199/35184372088832,88,3103948142568423/35184372088832
513606016955267/70368744177664,89,6283843039523715/70368744177664
590410926758937/70368744177664,90,6360647949327385/70368744177664
1336147983958815/140737488355328,91,402394438409241/4398046511104
746595212616679/70368744177664,92,6516832235185127/70368744177664
825974588670751/70368744177664,93,6596211611239199/70368744177664
113276515017703/8796093022208,94,834556142838759/8796093022208
493653903514649/35184372088832,95,3378772414798873/35184372088832
2138523298667545/140737488355328,96,1709874667975555/17592186044416
144009205881881/8796093022208,97,865288833702937/8796093022208
308935950048281/17592186044416,98,1751495205690393/17592186044416
1320272108748001/70368744177664,99,7090509131316449/70368744177664
2811317145439357/140737488355328,100,3587947797644063/35184372088832
