a,b,c
129/128,65,8321/128
65/32,66,2113/32
393/128,67,8585/128
33/8,68,545/8
665/128,69,8857/128
201/32,70,2249/32
945/128,71,9137/128
17/2,72,145/2
1233/128,73,9425/128
345/32,74,2393/32
1529/128,75,9721/128
105/8,76,617/8
1833/128,77,10025/128
497/32,78,2545/32
2145/128,79,10337/128
18,80,82
2465/128,81,10657/128
657/32,82,2705/32
2793/128,83,10985/128
185/8,84,697/8
3129/128,85,11321/128
825/32,86,2873/32
3473/128,87,11665/128
57/2,88,185/2
3825/128,89,12017/128
1001/32,90,3049/32
4185/128,91,12377/128
273/8,92,785/8
4553/128,93,12745/128
1185/32,94,3233/32
4929/128,95,13121/128
40,96,104
5313/128,97,13505/128
1377/32,98,3425/32
5705/128,99,13897/128
369/8,100,881/8
