a,b,c
1182194902184755/1125899906842624,11,3110298492652749/281474976710656
2476979795053773/1125899906842624,12,3433994715870003/281474976710656
971088669651763/281474976710656,13,3785838436758323/281474976710656
1351079888211149/281474976710656,14,4165829655317709/281474976710656
25/4,15,65/4
2195504818343117/281474976710656,16,5010254585449677/281474976710656
2659938529915699/281474976710656,17,5474688297022259/281474976710656
3152519739159347/281474976710656,18,5967269506265907/281474976710656
3673248446074061/281474976710656,19,6487998213180621/281474976710656
15,20,25
4799148352916685/281474976710656,21,7613898120023245/281474976710656
5404319552844595/281474976710656,22,8219069319951155/281474976710656
6037638250443571/281474976710656,23,8852388017550131/281474976710656
6699104445713613/281474976710656,24,2378463553205043/70368744177664
105/4,25,145/4
2026619832316723/70368744177664,26,2730307274093363/70368744177664
2213097004387533/70368744177664,27,2916784446164173/70368744177664
2406611050876109/70368744177664,28,3110298492652749/70368744177664
2607161971782451/70368744177664,29,3310849413559091/70368744177664
40,30,50
3029374436848435/70368744177664,31,3733061878625075/70368744177664
3251035981008077/70368744177664,32,3954723422784717/70368744177664
3479734399585485/70368744177664,33,4183421841362125/70368744177664
3715469692580659/70368744177664,34,4419157134357299/70368744177664
225/4,35,265/4
4208050901824307/70368744177664,36,4911738343600947/70368744177664
4464896818072781/70368744177664,37,5168584259849421/70368744177664
4728779608739021/70368744177664,38,5432467050515661/70368744177664
4999699273823027/70368744177664,39,5703386715599667/70368744177664
75,40,85
5562649227244339/70368744177664,41,6266336669020979/70368744177664
5854679515581645/70368744177664,42,6558366957358285/70368744177664
6153746678336717/70368744177664,43,6857434120113357/70368744177664
6459850715509555/70368744177664,44,7163538157286195/70368744177664
385/4,45,425/4
7093169413108531/70368744177664,46,7796856854885171/70368744177664
7420384073534669/70368744177664,47,8124071515311309/70368744177664
7754635608378573/70368744177664,48,8458323050155213/70368744177664
8095924017640243/70368744177664,49,8799611459416883/70368744177664
120,50,130
2199902864854221/17592186044416,51,2375824725298381/17592186044416
2290502622982963/17592186044416,52,2466424483427123/17592186044416
2382861599716147/17592186044416,53,2558783460160307/17592186044416
2476979795053773/17592186044416,54,2652901655497933/17592186044416
585/4,55,625/4
2670493841542349/17592186044416,56,2846415701986509/17592186044416
2769889692693299/17592186044416,57,2945811553137459/17592186044416
2871044762448691/17592186044416,58,3046966622892851/17592186044416
2973959050808525/17592186044416,59,3149880911252685/17592186044416
175,60,185
3185065283341517/17592186044416,61,3360987143785677/17592186044416
3293257227514675/17592186044416,62,3469179087958835/17592186044416
3403208390292275/17592186044416,63,3579130250736435/17592186044416
3514918771674317/17592186044416,64,3690840632118477/17592186044416
825/4,65,865/4
3743617190251725/17592186044416,66,3919539050695885/17592186044416
3860605227447091/17592186044416,67,4036527087891251/17592186044416
3979352483246899/17592186044416,68,4155274343691059/17592186044416
4099858957651149/17592186044416,69,4275780818095309/17592186044416
240,70,250
4346149562272973/17592186044416,71,4522071422717133/17592186044416
4471933692490547/17592186044416,72,4647855552934707/17592186044416
4599477041312563/17592186044416,73,4775398901756723/17592186044416
4728779608739021/17592186044416,74,4904701469183181/17592186044416
1105/4,75,1145/4
4992662399405261/17592186044416,76,5168584259849421/17592186044416
5127242622645043/17592186044416,77,5303164483089203/17592186044416
5263582064489267/17592186044416,78,5439503924933427/17592186044416
5401680724937933/17592186044416,79,5577602585382093/17592186044416
315,80,325
5683155701648589/17592186044416,81,5859077562092749/17592186044416
5826532017910579/17592186044416,82,6002453878354739/17592186044416
5971667552777011/17592186044416,83,6147589413221171/17592186044416
6118562306247885/17592186044416,84,6294484166692045/17592186044416
1425/4,85,1465/4
6417629469002957/17592186044416,86,6593551329447117/17592186044416
6569801878287155/17592186044416,87,6745723738731315/17592186044416
6723733506175795/17592186044416,88,6899655366619955/17592186044416
6879424352668877/17592186044416,89,7055346213113037/17592186044416
400,90,410
7196083701468365/17592186044416,91,7372005561912525/17592186044416
7357052203774771/17592186044416,92,7532974064218931/17592186044416
7519779924685619/17592186044416,93,7695701785129779/17592186044416
7684266864200909/17592186044416,94,7860188724645069/17592186044416
1785/4,95,1825/4
8018518399044813/17592186044416,96,8194440259488973/17592186044416
8188282994373427/17592186044416,97,8364204854817587/17592186044416
8359806808306483/17592186044416,98,8535728668750643/17592186044416
8533089840843981/17592186044416,99,8709011701288141/17592186044416
495,100,505
