a,b,c
17/16,9,145/16
9/4,10,41/4
57/16,11,185/16
5,12,13
105/16,13,233/16
33/4,14,65/4
161/16,15,289/16
12,16,20
225/16,17,353/16
65/4,18,97/4
297/16,19,425/16
21,20,29
377/16,21,505/16
105/4,22,137/4
465/16,23,593/16
32,24,40
561/16,25,689/16
153/4,26,185/4
665/16,27,793/16
45,28,53
777/16,29,905/16
209/4,30,241/4
897/16,31,1025/16
60,32,68
1025/16,33,1153/16
273/4,34,305/4
1161/16,35,1289/16
77,36,85
1305/16,37,1433/16
345/4,38,377/4
1457/16,39,1585/16
96,40,104
1617/16,41,1745/16
425/4,42,457/4
1785/16,43,1913/16
117,44,125
1961/16,45,2089/16
513/4,46,545/4
2145/16,47,2273/16
140,48,148
2337/16,49,2465/16
609/4,50,641/4
2537/16,51,2665/16
165,52,173
2745/16,53,2873/16
713/4,54,745/4
2961/16,55,3089/16
192,56,200
3185/16,57,3313/16
825/4,58,857/4
3417/16,59,3545/16
221,60,229
3657/16,61,3785/16
945/4,62,977/4
3905/16,63,4033/16
252,64,260
4161/16,65,4289/16
1073/4,66,1105/4
4425/16,67,4553/16
285,68,293
4697/16,69,4825/16
1209/4,70,1241/4
4977/16,71,5105/16
320,72,328
5265/16,73,5393/16
1353/4,74,1385/4
5561/16,75,5689/16
357,76,365
5865/16,77,5993/16
1505/4,78,1537/4
6177/16,79,6305/16
396,80,404
6497/16,81,6625/16
1665/4,82,1697/4
6825/16,83,6953/16
437,84,445
7161/16,85,7289/16
1833/4,86,1865/4
7505/16,87,7633/16
480,88,488
7857/16,89,7985/16
2009/4,90,2041/4
8217/16,91,8345/16
525,92,533
8585/16,93,8713/16
2193/4,94,2225/4
8961/16,95,9089/16
572,96,580
9345/16,97,9473/16
2385/4,98,2417/4
9737/16,99,9865/16
621,100,629
