a,b,c,k,b^2/k
1.1,6,6.1,5,7.2
2.4000000000000004,7,7.4,5,9.8
3.9000000000000004,8,8.9,5,12.8
5.6,9,10.6,5,16.2
7.5,10,12.5,5,20.0
9.6,11,14.6,5,24.2
11.9,12,16.9,5,28.8
14.399999999999999,13,19.4,5,33.8
17.1,14,22.1,5,39.2
20.0,15,25.0,5,45.0
23.1,16,28.1,5,51.2
26.4,17,31.4,5,57.8
29.9,18,34.9,5,64.8
33.6,19,38.6,5,72.2
37.5,20,42.5,5,80.0
41.6,21,46.6,5,88.2
45.9,22,50.9,5,96.8
50.4,23,55.4,5,105.8
55.1,24,60.1,5,115.2
60.0,25,65.0,5,125.0
65.1,26,70.1,5,135.2
70.4,27,75.4,5,145.8
75.9,28,80.9,5,156.8
81.6,29,86.6,5,168.2
87.5,30,92.5,5,180.0
93.6,31,98.6,5,192.2
99.9,32,104.9,5,204.8
106.4,33,111.4,5,217.8
113.1,34,118.1,5,231.2
120.0,35,125.0,5,245.0
127.1,36,132.1,5,259.2
134.4,37,139.4,5,273.8
141.9,38,146.9,5,288.8
149.6,39,154.6,5,304.2
157.5,40,162.5,5,320.0
165.6,41,170.6,5,336.2
173.9,42,178.9,5,352.8
182.4,43,187.4,5,369.8
191.1,44,196.1,5,387.2
200.0,45,205.0,5,405.0
209.1,46,214.1,5,423.2
218.4,47,223.4,5,441.8
227.9,48,232.9,5,460.8
237.6,49,242.6,5,480.2
247.5,50,252.5,5,500.0
257.6,51,262.6,5,520.2
267.9,52,272.9,5,540.8
278.4,53,283.4,5,561.8
289.1,54,294.1,5,583.2
300.0,55,305.0,5,605.0
311.1,56,316.1,5,627.2
322.4,57,327.4,5,649.8
333.9,58,338.9,5,672.8
345.6,59,350.6,5,696.2
357.5,60,362.5,5,720.0
369.6,61,374.6,5,744.2
381.9,62,386.9,5,768.8
394.4,63,399.4,5,793.8
407.1,64,412.1,5,819.2
420.0,65,425.0,5,845.0
433.1,66,438.1,5,871.2
446.4,67,451.4,5,897.8
459.9,68,464.9,5,924.8
473.6,69,478.6,5,952.2
487.5,70,492.5,5,980.0
501.6,71,506.6,5,1008.2
515.9,72,520.9,5,1036.8
530.4,73,535.4,5,1065.8
545.1,74,550.1,5,1095.2
560.0,75,565.0,5,1125.0
575.1,76,580.1,5,1155.2
590.4,77,595.4,5,1185.8
605.9,78,610.9,5,1216.8
621.6,79,626.6,5,1248.2
637.5,80,642.5,5,1280.0
653.6,81,658.6,5,1312.2
669.9,82,674.9,5,1344.8
686.4,83,691.4,5,1377.8
703.1,84,708.1,5,1411.2
720.0,85,725.0,5,1445.0
737.1,86,742.1,5,1479.2
754.4,87,759.4,5,1513.8
771.9,88,776.9,5,1548.8
789.6,89,794.6,5,1584.2
807.5,90,812.5,5,1620.0
825.6,91,830.6,5,1656.2
843.9,92,848.9,5,1692.8
862.4,93,867.4,5,1729.8
881.1,94,886.1,5,1767.2
900.0,95,905.0,5,1805.0
919.1,96,924.1,5,1843.2
938.4,97,943.4,5,1881.8
957.9,98,962.9,5,1920.8
977.6,99,982.6,5,1960.2
997.5,100,1002.5,5,2000.0
