a,b,c
1.0714285714285712,8,8.071428571428571
2.2857142857142856,9,9.285714285714285
3.6428571428571432,10,10.642857142857142
5.142857142857142,11,12.142857142857142
6.7857142857142865,12,13.785714285714286
8.571428571428571,13,15.571428571428571
10.5,14,17.5
12.571428571428573,15,19.571428571428573
14.785714285714285,16,21.785714285714285
17.142857142857142,17,24.142857142857142
19.642857142857142,18,26.642857142857142
22.285714285714285,19,29.285714285714285
25.071428571428573,20,32.07142857142857
28.0,21,35.0
31.07142857142857,22,38.07142857142857
34.285714285714285,23,41.285714285714285
37.642857142857146,24,44.642857142857146
41.142857142857146,25,48.142857142857146
44.785714285714285,26,51.785714285714285
48.57142857142857,27,55.57142857142857
52.5,28,59.5
56.57142857142857,29,63.57142857142857
60.78571428571429,30,67.78571428571429
65.14285714285714,31,72.14285714285714
69.64285714285714,32,76.64285714285714
74.28571428571429,33,81.28571428571429
79.07142857142857,34,86.07142857142857
84.0,35,91.0
89.07142857142857,36,96.07142857142857
94.28571428571429,37,101.28571428571429
99.64285714285714,38,106.64285714285714
105.14285714285714,39,112.14285714285714
110.78571428571429,40,117.78571428571429
116.57142857142857,41,123.57142857142857
122.5,42,129.5
128.57142857142858,43,135.57142857142858
134.78571428571428,44,141.78571428571428
141.14285714285714,45,148.14285714285714
147.64285714285714,46,154.64285714285714
154.28571428571428,47,161.28571428571428
161.07142857142858,48,168.07142857142858
168.0,49,175.0
175.07142857142858,50,182.07142857142858
182.28571428571428,51,189.28571428571428
189.64285714285714,52,196.64285714285714
197.14285714285714,53,204.14285714285714
204.78571428571428,54,211.78571428571428
212.57142857142858,55,219.57142857142858
220.5,56,227.5
228.57142857142858,57,235.57142857142858
236.78571428571428,58,243.78571428571428
245.14285714285714,59,252.14285714285714
253.64285714285717,60,260.64285714285717
262.2857142857143,61,269.2857142857143
271.07142857142856,62,278.07142857142856
280.0,63,287.0
289.07142857142856,64,296.07142857142856
298.2857142857143,65,305.2857142857143
307.64285714285717,66,314.64285714285717
317.14285714285717,67,324.14285714285717
326.7857142857143,68,333.7857142857143
336.57142857142856,69,343.57142857142856
346.5,70,353.5
356.57142857142856,71,363.57142857142856
366.7857142857143,72,373.7857142857143
377.14285714285717,73,384.14285714285717
387.64285714285717,74,394.64285714285717
398.2857142857143,75,405.2857142857143
409.07142857142856,76,416.07142857142856
420.0,77,427.0
431.07142857142856,78,438.07142857142856
442.2857142857143,79,449.2857142857143
453.64285714285717,80,460.64285714285717
465.14285714285717,81,472.14285714285717
476.7857142857143,82,483.7857142857143
488.57142857142856,83,495.57142857142856
500.5,84,507.5
512.5714285714286,85,519.5714285714286
524.7857142857143,86,531.7857142857143
537.1428571428571,87,544.1428571428571
549.6428571428571,88,556.6428571428571
562.2857142857143,89,569.2857142857143
575.0714285714286,90,582.0714285714286
588.0,91,595.0
601.0714285714286,92,608.0714285714286
614.2857142857143,93,621.2857142857143
627.6428571428571,94,634.6428571428571
641.1428571428571,95,648.1428571428571
654.7857142857143,96,661.7857142857143
668.5714285714286,97,675.5714285714286
682.5,98,689.5
696.5714285714286,99,703.5714285714286
710.7857142857143,100,717.7857142857143
