a,b,c
33/32,17,545/32
17/8,18,145/8
105/32,19,617/32
9/2,20,41/2
185/32,21,697/32
57/8,22,185/8
273/32,23,785/32
10,24,26
369/32,25,881/32
105/8,26,233/8
473/32,27,985/32
33/2,28,65/2
585/32,29,1097/32
161/8,30,289/8
705/32,31,1217/32
24,32,40
833/32,33,1345/32
225/8,34,353/8
969/32,35,1481/32
65/2,36,97/2
1113/32,37,1625/32
297/8,38,425/8
1265/32,39,1777/32
42,40,58
1425/32,41,1937/32
377/8,42,505/8
1593/32,43,2105/32
105/2,44,137/2
1769/32,45,2281/32
465/8,46,593/8
1953/32,47,2465/32
64,48,80
2145/32,49,2657/32
561/8,50,689/8
2345/32,51,2857/32
153/2,52,185/2
2553/32,53,3065/32
665/8,54,793/8
2769/32,55,3281/32
90,56,106
2993/32,57,3505/32
777/8,58,905/8
3225/32,59,3737/32
209/2,60,241/2
3465/32,61,3977/32
897/8,62,1025/8
3713/32,63,4225/32
120,64,136
3969/32,65,4481/32
1025/8,66,1153/8
4233/32,67,4745/32
273/2,68,305/2
4505/32,69,5017/32
1161/8,70,1289/8
4785/32,71,5297/32
154,72,170
5073/32,73,5585/32
1305/8,74,1433/8
5369/32,75,5881/32
345/2,76,377/2
5673/32,77,6185/32
1457/8,78,1585/8
5985/32,79,6497/32
192,80,208
6305/32,81,6817/32
1617/8,82,1745/8
6633/32,83,7145/32
425/2,84,457/2
6969/32,85,7481/32
1785/8,86,1913/8
7313/32,87,7825/32
234,88,250
7665/32,89,8177/32
1961/8,90,2089/8
8025/32,91,8537/32
513/2,92,545/2
8393/32,93,8905/32
2145/8,94,2273/8
8769/32,95,9281/32
280,96,296
9153/32,97,9665/32
2337/8,98,2465/8
9545/32,99,10057/32
609/2,100,641/2
