a,b,c,k,b^2/k
1.0250000000000004,21,21.025,20,22.05
2.0999999999999996,22,22.1,20,24.2
3.2249999999999996,23,23.225,20,26.45
4.4,24,24.4,20,28.8
5.625,25,25.625,20,31.25
6.899999999999999,26,26.9,20,33.8
8.225000000000001,27,28.225,20,36.45
9.600000000000001,28,29.6,20,39.2
11.024999999999999,29,31.025,20,42.05
12.5,30,32.5,20,45.0
14.024999999999999,31,34.025,20,48.05
15.600000000000001,32,35.6,20,51.2
17.225,33,37.225,20,54.45
18.9,34,38.9,20,57.8
20.625,35,40.625,20,61.25
22.4,36,42.4,20,64.8
24.225,37,44.225,20,68.45
26.1,38,46.1,20,72.2
28.025,39,48.025,20,76.05
30.0,40,50.0,20,80.0
32.025,41,52.025,20,84.05
34.1,42,54.1,20,88.2
36.225,43,56.225,20,92.45
38.4,44,58.4,20,96.8
40.625,45,60.625,20,101.25
42.9,46,62.9,20,105.8
45.225,47,65.225,20,110.45
47.6,48,67.6,20,115.2
50.025,49,70.025,20,120.05
52.5,50,72.5,20,125.0
55.025000000000006,51,75.025,20,130.05
57.599999999999994,52,77.6,20,135.2
60.224999999999994,53,80.225,20,140.45
62.900000000000006,54,82.9,20,145.8
65.625,55,85.625,20,151.25
68.4,56,88.4,20,156.8
71.225,57,91.225,20,162.45
74.1,58,94.1,20,168.2
77.025,59,97.025,20,174.05
80.0,60,100.0,20,180.0
83.025,61,103.025,20,186.05
86.1,62,106.1,20,192.2
89.225,63,109.225,20,198.45
92.4,64,112.4,20,204.8
95.625,65,115.625,20,211.25
98.9,66,118.9,20,217.8
102.225,67,122.225,20,224.45
105.6,68,125.6,20,231.2
109.025,69,129.025,20,238.05
112.5,70,132.5,20,245.0
116.025,71,136.025,20,252.05
119.6,72,139.6,20,259.2
123.225,73,143.225,20,266.45
126.9,74,146.9,20,273.8
130.625,75,150.625,20,281.25
134.4,76,154.4,20,288.8
138.225,77,158.225,20,296.45
142.1,78,162.1,20,304.2
146.025,79,166.025,20,312.05
150.0,80,170.0,20,320.0
154.025,81,174.025,20,328.05
158.1,82,178.1,20,336.2
162.225,83,182.225,20,344.45
166.4,84,186.4,20,352.8
170.625,85,190.625,20,361.25
174.9,86,194.9,20,369.8
179.225,87,199.225,20,378.45
183.6,88,203.6,20,387.2
188.025,89,208.025,20,396.05
192.5,90,212.5,20,405.0
197.025,91,217.025,20,414.05
201.6,92,221.6,20,423.2
206.225,93,226.225,20,432.45
210.9,94,230.9,20,441.8
215.625,95,235.625,20,451.25
220.4,96,240.4,20,460.8
225.225,97,245.225,20,470.45
230.1,98,250.1,20,480.2
235.025,99,255.025,20,490.05
240.0,100,260.0,20,500.0
