a,b,c
71541556580625/70368744177664,31,2182603881910545/70368744177664
581714951868689/281474976710656,32,564122765824273/17592186044416
443323088319283/140737488355328,33,4665447738979123/140737488355328
300239975158033/70368744177664,34,2411302300487953/70368744177664
1524656123849387/281474976710656,35,2492226356292267/70368744177664
928867423145165/140737488355328,36,5150992073805005/140737488355328
2200196067954961/281474976710656,37,665277835579665/17592186044416
2552039788843281/281474976710656,38,687268068135185/17592186044416
1456633004477645/140737488355328,39,5678757655137485/140737488355328
3283874728290987/281474976710656,40,2932031007402667/70368744177664
915966486712593/70368744177664,41,3027028812042513/70368744177664
2026619832316723/140737488355328,42,6248744482976563/140737488355328
4451995881640209/281474976710656,43,806015323934993/17592186044416
1215033649467665/70368744177664,44,3326095974797585/70368744177664
75/4,45,195/4
1426139882000657/70368744177664,46,3537202207330577/70368744177664
3070422870952073/140737488355328,47,7292547521611913/140737488355328
3293257227514675/140737488355328,48,7515381878174515/140737488355328
1760391416844561/70368744177664,49,3871453742174481/70368744177664
3752999689475413/140737488355328,50,7975124340135253/140737488355328
3989907794873549/140737488355328,51,8212032445533389/140737488355328
4231507149883529/140737488355328,52,8453631800543369/140737488355328
4477797754505353/140737488355328,53,8699922405165193/140737488355328
4728779608739021/140737488355328,54,8950904259398861/140737488355328
4984452712584533/140737488355328,55,2301644340811093/35184372088832
2622408533020945/70368744177664,56,4733470858350865/70368744177664
5509872669111091/140737488355328,57,2432999329942733/35184372088832
5779619521792137/140737488355328,58,1250218021556497/17592186044416
3027028812042513/70368744177664,59,5138091137372433/70368744177664
45,60,75
3308503788753169/70368744177664,61,5419566114083089/70368744177664
863189928579345/17592186044416,62,1390955509911825/17592186044416
1799680632343757/35184372088832,63,2855211795008717/35184372088832
3748308439863569/70368744177664,64,5859370765193489/70368744177664
3899601239845547/70368744177664,65,6010663565175467/70368744177664
2026619832316723/35184372088832,66,3082150994981683/35184372088832
1052305928556817/17592186044416,67,1580071509889297/17592186044416
1091888347156753/17592186044416,68,1619653928489233/17592186044416
2264114343916339/35184372088832,69,3319645506581299/35184372088832
4691249611844267/70368744177664,70,6802311937174187/70368744177664
4856616160661777/70368744177664,71,6967678485991697/70368744177664
2512164167142605/35184372088832,72,3567695329807565/35184372088832
1298596533178641/17592186044416,73,1826362114511121/17592186044416
5366789555949841/70368744177664,74,7477851881279761/70368744177664
315/4,75,435/4
5718633276838161/70368744177664,76,7829695602168081/70368744177664
1474518393622801/17592186044416,77,2002283974955281/17592186044416
3039929748475085/35184372088832,78,4095460911140045/35184372088832
6263991044215057/70368744177664,79,8375053369544977/70368744177664
6450468216285867/70368744177664,80,8561530541615787/70368744177664
3319645506581299/35184372088832,81,4375176669246259/35184372088832
1707614858711313/17592186044416,82,2235380440043793/17592186044416
1755993370333457/17592186044416,83,2283758951665937/17592186044416
3609916576314163/35184372088832,84,4665447738979123/35184372088832
7418038448728747/70368744177664,85,2382275193514667/17592186044416
7618589369635089/70368744177664,86,608103230935313/4398046511104
3910742957673677/35184372088832,87,4966274120338637/35184372088832
2006682021466385/17592186044416,88,2534447602798865/17592186044416
4117157940594825/35184372088832,89,5172689103259785/35184372088832
120,90,150
4328264173127817/35184372088832,91,5383795335792777/35184372088832
2217788253999377/17592186044416,92,2745553835331857/17592186044416
4544061655272653/35184372088832,93,5599592817937613/35184372088832
4653719614949513/35184372088832,94,5709250777614473/35184372088832
4764550387029333/35184372088832,95,5820081549694293/35184372088832
4876553971512115/35184372088832,96,5932085134177075/35184372088832
2494865184198929/17592186044416,97,3022630765531409/17592186044416
2552039788843281/17592186044416,98,3079805370175761/17592186044416
5219601599378227/35184372088832,99,6275132762043187/35184372088832
5336296433472853/35184372088832,100,6391827596137813/35184372088832
