a,b,c,k,b^2/k
1.0102040816326543,50,50.01020408163265,49,51.02040816326531
2.0408163265306136,51,51.04081632653062,49,53.08163265306123
3.091836734693878,52,52.09183673469388,49,55.183673469387756
4.163265306122447,53,53.16326530612245,49,57.326530612244895
5.255102040816325,54,54.255102040816325,49,59.51020408163265
6.367346938775512,55,55.36734693877551,49,61.734693877551024
7.5,56,56.5,49,64.0
8.653061224489797,57,57.6530612244898,49,66.3061224489796
9.826530612244895,58,58.826530612244895,49,68.65306122448979
11.020408163265309,59,60.02040816326531,49,71.04081632653062
12.234693877551024,60,61.234693877551024,49,73.46938775510205
13.46938775510204,61,62.46938775510204,49,75.93877551020408
14.724489795918366,62,63.724489795918366,49,78.44897959183673
16.0,63,65.0,49,81.0
17.295918367346935,64,66.29591836734693,49,83.59183673469387
18.612244897959187,65,67.61224489795919,49,86.22448979591837
19.948979591836732,66,68.94897959183673,49,88.89795918367346
21.306122448979593,67,70.3061224489796,49,91.61224489795919
22.683673469387756,68,71.68367346938776,49,94.36734693877551
24.081632653061227,69,73.08163265306123,49,97.16326530612245
25.5,70,74.5,49,100.0
26.93877551020408,71,75.93877551020408,49,102.87755102040816
28.39795918367347,72,77.39795918367346,49,105.79591836734694
29.877551020408163,73,78.87755102040816,49,108.75510204081633
31.377551020408163,74,80.37755102040816,49,111.75510204081633
32.89795918367347,75,81.89795918367346,49,114.79591836734694
34.43877551020408,76,83.43877551020408,49,117.87755102040816
36.0,77,85.0,49,121.0
37.58163265306123,78,86.58163265306123,49,124.16326530612245
39.183673469387756,79,88.18367346938776,49,127.36734693877551
40.80612244897959,80,89.8061224489796,49,130.6122448979592
42.44897959183673,81,91.44897959183673,49,133.89795918367346
44.11224489795919,82,93.11224489795919,49,137.22448979591837
45.79591836734694,83,94.79591836734694,49,140.59183673469389
47.5,84,96.5,49,144.0
49.22448979591837,85,98.22448979591837,49,147.44897959183675
50.96938775510205,86,99.96938775510205,49,150.9387755102041
52.734693877551024,87,101.73469387755102,49,154.46938775510205
54.5204081632653,88,103.5204081632653,49,158.0408163265306
56.326530612244895,89,105.3265306122449,49,161.6530612244898
58.15306122448979,90,107.15306122448979,49,165.30612244897958
60.0,91,109.0,49,169.0
61.86734693877551,92,110.86734693877551,49,172.73469387755102
63.755102040816325,93,112.75510204081633,49,176.51020408163265
65.66326530612245,94,114.66326530612245,49,180.3265306122449
67.59183673469387,95,116.59183673469387,49,184.18367346938774
69.54081632653062,96,118.54081632653062,49,188.08163265306123
71.51020408163265,97,120.51020408163265,49,192.0204081632653
73.5,98,122.5,49,196.0
75.51020408163265,99,124.51020408163265,49,200.0204081632653
77.54081632653062,100,126.54081632653062,49,204.08163265306123
