a,b,c
70814115976257/70368744177664,80,5629944906011713/70368744177664
142518975549699/70368744177664,81,5701649765585155/70368744177664
430229157440655/140737488355328,82,721780671094473/8796093022208
288600925488141/70368744177664,83,5847731715523597/70368744177664
725956031706281/140737488355328,84,1480527201472149/17592186044416
438245849815325/70368744177664,85,5997376639850781/70368744177664
1028808854749391/140737488355328,86,759191902176269/8796093022208
147863437132813/17592186044416,87,1537646134641677/17592186044416
1338787626569987/140737488355328,88,3114262301660225/35184372088832
748224621635921/70368744177664,89,6307355411671377/70368744177664
413973086792017/35184372088832,90,3193538481809745/35184372088832
1817116938258665/140737488355328,91,1616922314791197/17592186044416
990061508271817/70368744177664,92,6549192298307273/70368744177664
1072455291011487/70368744177664,93,6631586081046943/70368744177664
2311479634696685/140737488355328,94,3357435303691899/35184372088832
2479830174564767/140737488355328,95,424940367332365/4398046511104
662490550406805/35184372088832,96,3442055945424533/35184372088832
2821875715884045/140737488355328,97,3485034323988739/35184372088832
2995570717335241/140737488355328,98,1764229037175769/17592186044416
396380900747601/17592186044416,99,1786163598256465/17592186044416
3348305181820747/140737488355328,100,3616641690472915/35184372088832
