a,b,c,k,b^2/k
1.0238095238095237,22,22.023809523809526,21,23.047619047619047
2.095238095238095,23,23.095238095238095,21,25.19047619047619
3.2142857142857135,24,24.214285714285715,21,27.428571428571427
4.380952380952381,25,25.38095238095238,21,29.761904761904763
5.595238095238095,26,26.595238095238095,21,32.19047619047619
6.857142857142858,27,27.857142857142858,21,34.714285714285715
8.166666666666668,28,29.166666666666668,21,37.333333333333336
9.523809523809526,29,30.523809523809526,21,40.04761904761905
10.928571428571427,30,31.928571428571427,21,42.857142857142854
12.38095238095238,31,33.38095238095238,21,45.76190476190476
13.88095238095238,32,34.88095238095238,21,48.76190476190476
15.428571428571427,33,36.42857142857143,21,51.857142857142854
17.023809523809526,34,38.023809523809526,21,55.04761904761905
18.666666666666668,35,39.66666666666667,21,58.333333333333336
20.357142857142858,36,41.35714285714286,21,61.714285714285715
22.095238095238095,37,43.095238095238095,21,65.19047619047619
23.88095238095238,38,44.88095238095238,21,68.76190476190476
25.714285714285715,39,46.714285714285715,21,72.42857142857143
27.595238095238095,40,48.595238095238095,21,76.19047619047619
29.523809523809526,41,50.523809523809526,21,80.04761904761905
31.5,42,52.5,21,84.0
33.523809523809526,43,54.523809523809526,21,88.04761904761905
35.595238095238095,44,56.595238095238095,21,92.19047619047619
37.714285714285715,45,58.714285714285715,21,96.42857142857143
39.88095238095238,46,60.88095238095238,21,100.76190476190476
42.095238095238095,47,63.095238095238095,21,105.19047619047619
44.357142857142854,48,65.35714285714286,21,109.71428571428571
46.666666666666664,49,67.66666666666666,21,114.33333333333333
49.023809523809526,50,70.02380952380952,21,119.04761904761905
51.42857142857143,51,72.42857142857143,21,123.85714285714286
53.88095238095238,52,74.88095238095238,21,128.76190476190476
56.38095238095238,53,77.38095238095238,21,133.76190476190476
58.92857142857143,54,79.92857142857143,21,138.85714285714286
61.52380952380952,55,82.52380952380952,21,144.04761904761904
64.16666666666667,56,85.16666666666667,21,149.33333333333334
66.85714285714286,57,87.85714285714286,21,154.71428571428572
69.5952380952381,58,90.5952380952381,21,160.1904761904762
72.38095238095238,59,93.38095238095238,21,165.76190476190476
75.21428571428571,60,96.21428571428571,21,171.42857142857142
78.0952380952381,61,99.0952380952381,21,177.1904761904762
81.02380952380952,62,102.02380952380952,21,183.04761904761904
84.0,63,105.0,21,189.0
87.02380952380952,64,108.02380952380952,21,195.04761904761904
90.0952380952381,65,111.0952380952381,21,201.1904761904762
93.21428571428571,66,114.21428571428571,21,207.42857142857142
96.38095238095238,67,117.38095238095238,21,213.76190476190476
99.5952380952381,68,120.5952380952381,21,220.1904761904762
102.85714285714286,69,123.85714285714286,21,226.71428571428572
106.16666666666667,70,127.16666666666667,21,233.33333333333334
109.52380952380952,71,130.52380952380952,21,240.04761904761904
112.92857142857143,72,133.92857142857144,21,246.85714285714286
116.38095238095238,73,137.38095238095238,21,253.76190476190476
119.88095238095238,74,140.88095238095238,21,260.76190476190476
123.42857142857142,75,144.42857142857142,21,267.85714285714283
127.02380952380952,76,148.02380952380952,21,275.04761904761904
130.66666666666666,77,151.66666666666666,21,282.3333333333333
134.35714285714286,78,155.35714285714286,21,289.7142857142857
138.0952380952381,79,159.0952380952381,21,297.1904761904762
141.88095238095238,80,162.88095238095238,21,304.76190476190476
145.71428571428572,81,166.71428571428572,21,312.42857142857144
149.5952380952381,82,170.5952380952381,21,320.1904761904762
153.52380952380952,83,174.52380952380952,21,328.04761904761904
157.5,84,178.5,21,336.0
161.52380952380952,85,182.52380952380952,21,344.04761904761904
165.5952380952381,86,186.5952380952381,21,352.1904761904762
169.71428571428572,87,190.71428571428572,21,360.42857142857144
173.88095238095238,88,194.88095238095238,21,368.76190476190476
178.0952380952381,89,199.0952380952381,21,377.1904761904762
182.35714285714286,90,203.35714285714286,21,385.7142857142857
186.66666666666666,91,207.66666666666666,21,394.3333333333333
191.02380952380952,92,212.02380952380952,21,403.04761904761904
195.42857142857142,93,216.42857142857142,21,411.85714285714283
199.88095238095238,94,220.88095238095238,21,420.76190476190476
204.38095238095238,95,225.38095238095238,21,429.76190476190476
208.92857142857142,96,229.92857142857142,21,438.85714285714283
213.52380952380952,97,234.52380952380952,21,448.04761904761904
218.16666666666666,98,239.16666666666666,21,457.3333333333333
222.85714285714286,99,243.85714285714286,21,466.7142857142857
227.5952380952381,100,248.5952380952381,21,476.1904761904762
