a,b,c,k,b^2/k
1.0100000000000016,51,51.010000000000005,50,52.02
2.039999999999999,52,52.04,50,54.08
3.09,53,53.09,50,56.18
4.16,54,54.16,50,58.32
5.25,55,55.25,50,60.5
6.359999999999999,56,56.36,50,62.72
7.490000000000002,57,57.49,50,64.98
8.64,58,58.64,50,67.28
9.810000000000002,59,59.81,50,69.62
11.0,60,61.0,50,72.0
12.21,61,62.21,50,74.42
13.439999999999998,62,63.44,50,76.88
14.689999999999998,63,64.69,50,79.38
15.96,64,65.96000000000001,50,81.92
17.25,65,67.25,50,84.5
18.560000000000002,66,68.56,50,87.12
19.89,67,69.89,50,89.78
21.240000000000002,68,71.24000000000001,50,92.48
22.61,69,72.61,50,95.22
24.0,70,74.0,50,98.0
25.409999999999997,71,75.41,50,100.82
26.840000000000003,72,76.84,50,103.68
28.29,73,78.28999999999999,50,106.58
29.759999999999998,74,79.75999999999999,50,109.52
31.25,75,81.25,50,112.5
32.76,76,82.75999999999999,50,115.52
34.29,77,84.28999999999999,50,118.58
35.84,78,85.84,50,121.68
37.41,79,87.41,50,124.82
39.0,80,89.0,50,128.0
40.61,81,90.61,50,131.22
42.239999999999995,82,92.24,50,134.48
43.89,83,93.89,50,137.78
45.56,84,95.56,50,141.12
47.25,85,97.25,50,144.5
48.959999999999994,86,98.96,50,147.92
50.69,87,100.69,50,151.38
52.44,88,102.44,50,154.88
54.209999999999994,89,104.21,50,158.42
56.0,90,106.0,50,162.0
57.81,91,107.81,50,165.62
59.64,92,109.64,50,169.28
61.489999999999995,93,111.49,50,172.98
63.36,94,113.36,50,176.72
65.25,95,115.25,50,180.5
67.16,96,117.16,50,184.32
69.09,97,119.09,50,188.18
71.04,98,121.04,50,192.08
73.01,99,123.01,50,196.02
75.0,100,125.0,50,200.0
