a,b,c
1.0250000000000004,21,21.025
2.0999999999999996,22,22.1
3.2249999999999996,23,23.225
4.4,24,24.4
5.625,25,25.625
6.899999999999999,26,26.9
8.225000000000001,27,28.225
9.600000000000001,28,29.6
11.024999999999999,29,31.025
12.5,30,32.5
14.024999999999999,31,34.025
15.600000000000001,32,35.6
17.225,33,37.225
18.9,34,38.9
20.625,35,40.625
22.4,36,42.4
24.225,37,44.225
26.1,38,46.1
28.025,39,48.025
30.0,40,50.0
32.025,41,52.025
34.1,42,54.1
36.225,43,56.225
38.4,44,58.4
40.625,45,60.625
42.9,46,62.9
45.225,47,65.225
47.6,48,67.6
50.025,49,70.025
52.5,50,72.5
55.025000000000006,51,75.025
57.599999999999994,52,77.6
60.224999999999994,53,80.225
62.900000000000006,54,82.9
65.625,55,85.625
68.4,56,88.4
71.225,57,91.225
74.1,58,94.1
77.025,59,97.025
80.0,60,100.0
83.025,61,103.025
86.1,62,106.1
89.225,63,109.225
92.4,64,112.4
95.625,65,115.625
98.9,66,118.9
102.225,67,122.225
105.6,68,125.6
109.025,69,129.025
112.5,70,132.5
116.025,71,136.025
119.6,72,139.6
123.225,73,143.225
126.9,74,146.9
130.625,75,150.625
134.4,76,154.4
138.225,77,158.225
142.1,78,162.1
146.025,79,166.025
150.0,80,170.0
154.025,81,174.025
158.1,82,178.1
162.225,83,182.225
166.4,84,186.4
170.625,85,190.625
174.9,86,194.9
179.225,87,199.225
183.6,88,203.6
188.025,89,208.025
192.5,90,212.5
197.025,91,217.025
201.6,92,221.6
206.225,93,226.225
210.9,94,230.9
215.625,95,235.625
220.4,96,240.4
225.225,97,245.225
230.1,98,250.1
235.025,99,255.025
240.0,100,260.0
