a,b,c
1.0124999999999993,41,41.0125
2.0500000000000007,42,42.05
3.1125000000000007,43,43.1125
4.199999999999999,44,44.2
5.3125,45,45.3125
6.449999999999999,46,46.45
7.612500000000001,47,47.6125
8.8,48,48.8
10.0125,49,50.0125
11.25,50,51.25
12.512500000000003,51,52.5125
13.799999999999997,52,53.8
15.112499999999997,53,55.1125
16.450000000000003,54,56.45
17.8125,55,57.8125
19.200000000000003,56,59.2
20.612499999999997,57,60.6125
22.049999999999997,58,62.05
23.512500000000003,59,63.5125
25.0,60,65.0
26.512500000000003,61,66.5125
28.049999999999997,62,68.05
29.612499999999997,63,69.6125
31.200000000000003,64,71.2
32.8125,65,72.8125
34.45,66,74.45
36.1125,67,76.1125
37.8,68,77.8
39.5125,69,79.5125
41.25,70,81.25
43.0125,71,83.0125
44.8,72,84.8
46.6125,73,86.6125
48.45,74,88.45
50.3125,75,90.3125
52.2,76,92.2
54.1125,77,94.1125
56.05,78,96.05
58.0125,79,98.0125
60.0,80,100.0
62.0125,81,102.0125
64.05,82,104.05
66.1125,83,106.1125
68.2,84,108.2
70.3125,85,110.3125
72.45,86,112.45
74.6125,87,114.6125
76.8,88,116.8
79.0125,89,119.0125
81.25,90,121.25
83.5125,91,123.5125
85.8,92,125.8
88.1125,93,128.1125
90.45,94,130.45
92.8125,95,132.8125
95.2,96,135.2
97.6125,97,137.6125
100.05,98,140.05
102.5125,99,142.5125
105.0,100,145.0
