a,b,c
1.041666666666667,13,13.041666666666668
2.166666666666666,14,14.166666666666666
3.375,15,15.375
4.666666666666666,16,16.666666666666664
6.041666666666666,17,18.041666666666664
7.5,18,19.5
9.041666666666666,19,21.041666666666664
10.666666666666668,20,22.666666666666668
12.375,21,24.375
14.166666666666668,22,26.166666666666668
16.041666666666668,23,28.041666666666668
18.0,24,30.0
20.041666666666668,25,32.04166666666667
22.166666666666668,26,34.16666666666667
24.375,27,36.375
26.666666666666664,28,38.666666666666664
29.041666666666664,29,41.041666666666664
31.5,30,43.5
34.041666666666664,31,46.041666666666664
36.666666666666664,32,48.666666666666664
39.375,33,51.375
42.166666666666664,34,54.166666666666664
45.041666666666664,35,57.041666666666664
48.0,36,60.0
51.041666666666664,37,63.041666666666664
54.166666666666664,38,66.16666666666666
57.375,39,69.375
60.66666666666667,40,72.66666666666667
64.04166666666667,41,76.04166666666667
67.5,42,79.5
71.04166666666667,43,83.04166666666667
74.66666666666667,44,86.66666666666667
78.375,45,90.375
82.16666666666667,46,94.16666666666667
86.04166666666667,47,98.04166666666667
90.0,48,102.0
94.04166666666667,49,106.04166666666667
98.16666666666667,50,110.16666666666667
102.375,51,114.375
106.66666666666667,52,118.66666666666667
111.04166666666667,53,123.04166666666667
115.5,54,127.5
120.04166666666667,55,132.04166666666669
124.66666666666666,56,136.66666666666666
129.375,57,141.375
134.16666666666666,58,146.16666666666666
139.04166666666666,59,151.04166666666666
144.0,60,156.0
149.04166666666666,61,161.04166666666666
154.16666666666666,62,166.16666666666666
159.375,63,171.375
164.66666666666666,64,176.66666666666666
170.04166666666666,65,182.04166666666666
175.5,66,187.5
181.04166666666666,67,193.04166666666666
186.66666666666666,68,198.66666666666666
192.375,69,204.375
198.16666666666666,70,210.16666666666666
204.04166666666666,71,216.04166666666666
210.0,72,222.0
216.04166666666666,73,228.04166666666666
222.16666666666666,74,234.16666666666666
228.375,75,240.375
234.66666666666666,76,246.66666666666666
241.04166666666666,77,253.04166666666666
247.5,78,259.5
254.04166666666669,79,266.0416666666667
260.6666666666667,80,272.6666666666667
267.375,81,279.375
274.1666666666667,82,286.1666666666667
281.0416666666667,83,293.0416666666667
288.0,84,300.0
295.0416666666667,85,307.0416666666667
302.1666666666667,86,314.1666666666667
309.375,87,321.375
316.6666666666667,88,328.6666666666667
324.0416666666667,89,336.0416666666667
331.5,90,343.5
339.0416666666667,91,351.0416666666667
346.6666666666667,92,358.6666666666667
354.375,93,366.375
362.1666666666667,94,374.1666666666667
370.0416666666667,95,382.0416666666667
378.0,96,390.0
386.0416666666667,97,398.0416666666667
394.1666666666667,98,406.1666666666667
402.375,99,414.375
410.6666666666667,100,422.6666666666667
