a,b,c
70893884059587/70368744177664,68,4785599743963075/70368744177664
285676095766039/140737488355328,69,1214385976946627/17592186044416
107916245735149/35184372088832,70,2465269175686893/35184372088832
144938607410711/35184372088832,71,2502291537362455/35184372088832
729944435872783/140737488355328,72,634959759729985/8796093022208
441117500815207/70368744177664,73,5155823360718695/70368744177664
1036626126915737/140737488355328,74,1308254730840339/17592186044416
1193117811728751/140737488355328,75,663908095720983/8796093022208
84481878504341/8796093022208,76,673820110992277/8796093022208
1512402859937853/140737488355328,77,2735453644936207/35184372088832
1675196223333941/140737488355328,78,2776151985785229/35184372088832
1840090146257721/140737488355328,79,1408687733258087/17592186044416
2007084628709193/140737488355328,80,1429562043564521/17592186044416
2176179670688355/140737488355328,81,2901397847623833/35184372088832
1173687636097605/70368744177664,82,5888393496001093/70368744177664
2520671433229755/140737488355328,83,2987520788259183/35184372088832
337008519223999/17592186044416,84,1515684984199871/17592186044416
2873565433881921/140737488355328,85,192234018026389/2199023255552
3053163273499541/140737488355328,86,3120643748326629/35184372088832
3234861672644853/140737488355328,87,3166068348112957/35184372088832
106833144728683/4398046511104,88,401502260972651/4398046511104
1802280074759275/70368744177664,89,6516985934662763/70368744177664
474070028405867/17592186044416,90,1652746493381739/17592186044416
3982660864503013/140737488355328,91,3353018146077497/35184372088832
2087431030643391/70368744177664,92,6802136890546879/70368744177664
2184581908799121/70368744177664,93,6899287768702609/70368744177664
2282783066718697/70368744177664,94,6997488926622185/70368744177664
2382034504402119/70368744177664,95,7096740364305607/70368744177664
1241168110924693/35184372088832,96,3598521040876437/35184372088832
2583688219060499/70368744177664,97,7298394078963987/70368744177664
1343045248017729/35184372088832,98,3700398177969473/35184372088832
1394771526387131/35184372088832,99,3752124456338875/35184372088832
2894045889276913/70368744177664,100,7608751749180401/70368744177664
